game,manuscript_random,yaml_random,manuscript_human,yaml_human,match
alien,227.8,227.8,7127.7,7127.7,True
amidar,5.8,5.8,1719.5,1719.5,True
assault,222.4,222.4,742.0,742.0,True
asterix,210.0,210.0,8503.3,8503.3,True
bank_heist,14.2,14.2,753.1,753.1,True
battle_zone,2360.0,2360.0,37187.5,37187.5,True
boxing,0.1,0.1,12.1,12.1,True
breakout,1.7,1.7,30.5,30.5,True
chopper_command,811.0,811.0,7387.8,7387.8,True
crazy_climber,10780.5,10780.5,35829.4,35829.4,True
demon_attack,152.1,152.1,1971.0,1971.0,True
freeway,0.0,0.0,29.6,29.6,True
frostbite,65.2,65.2,4334.7,4334.7,True
gopher,257.6,257.6,2412.5,2412.5,True
hero,1027.0,1027.0,30826.4,30826.4,True
jamesbond,29.0,29.0,302.8,302.8,True
kangaroo,52.0,52.0,3035.0,3035.0,True
krull,1598.0,1598.0,2665.5,2665.5,True
kung_fu_master,258.5,258.5,22736.3,22736.3,True
ms_pacman,307.3,307.3,6951.6,6951.6,True
pong,-20.7,-20.7,14.6,14.6,True
private_eye,24.9,24.9,69571.3,69571.3,True
qbert,163.9,163.9,13455.0,13455.0,True
road_runner,11.5,11.5,7845.0,7845.0,True
seaquest,68.4,68.4,42054.7,42054.7,True
up_n_down,533.4,533.4,11693.2,11693.2,True
