method,game,seed,agent_steps,return
Constraint suite (seed 0; training episodes),alien,0,828,290.0
Constraint suite (seed 0; training episodes),alien,0,1636,230.0
Constraint suite (seed 0; training episodes),alien,0,2250,130.0
Constraint suite (seed 0; training episodes),alien,0,2874,240.0
Constraint suite (seed 0; training episodes),alien,0,3492,110.0
Constraint suite (seed 0; training episodes),alien,0,4302,270.0
Constraint suite (seed 0; training episodes),alien,0,4886,200.0
Constraint suite (seed 0; training episodes),alien,0,5467,110.0
Constraint suite (seed 0; training episodes),alien,0,6116,130.0
Constraint suite (seed 0; training episodes),alien,0,6844,90.0
Constraint suite (seed 0; training episodes),alien,0,7671,260.0
Constraint suite (seed 0; training episodes),alien,0,8298,140.0
Constraint suite (seed 0; training episodes),alien,0,8989,150.0
Constraint suite (seed 0; training episodes),alien,0,9537,100.0
Constraint suite (seed 0; training episodes),alien,0,10049,170.0
Constraint suite (seed 0; training episodes),alien,0,10488,210.0
Constraint suite (seed 0; training episodes),alien,0,11209,330.0
Constraint suite (seed 0; training episodes),alien,0,11899,260.0
Constraint suite (seed 0; training episodes),alien,0,12599,210.0
Constraint suite (seed 0; training episodes),alien,0,13597,240.0
Constraint suite (seed 0; training episodes),alien,0,14137,190.0
Constraint suite (seed 0; training episodes),alien,0,14643,180.0
Constraint suite (seed 0; training episodes),alien,0,15198,220.0
Constraint suite (seed 0; training episodes),alien,0,16139,250.0
Constraint suite (seed 0; training episodes),alien,0,16577,160.0
Constraint suite (seed 0; training episodes),alien,0,17060,200.0
Constraint suite (seed 0; training episodes),alien,0,17508,160.0
Constraint suite (seed 0; training episodes),alien,0,18073,220.0
Constraint suite (seed 0; training episodes),alien,0,18796,170.0
Constraint suite (seed 0; training episodes),alien,0,19662,820.0
Constraint suite (seed 0; training episodes),alien,0,20399,340.0
Constraint suite (seed 0; training episodes),alien,0,20988,170.0
Constraint suite (seed 0; training episodes),alien,0,21753,430.0
Constraint suite (seed 0; training episodes),alien,0,22317,80.0
Constraint suite (seed 0; training episodes),alien,0,22778,90.0
Constraint suite (seed 0; training episodes),alien,0,23179,260.0
Constraint suite (seed 0; training episodes),alien,0,23751,290.0
Constraint suite (seed 0; training episodes),alien,0,24229,170.0
Constraint suite (seed 0; training episodes),alien,0,24774,140.0
Constraint suite (seed 0; training episodes),alien,0,25316,140.0
Constraint suite (seed 0; training episodes),alien,0,25958,190.0
Constraint suite (seed 0; training episodes),alien,0,26703,330.0
Constraint suite (seed 0; training episodes),alien,0,27376,270.0
Constraint suite (seed 0; training episodes),alien,0,27988,270.0
Constraint suite (seed 0; training episodes),alien,0,28961,500.0
Constraint suite (seed 0; training episodes),alien,0,29375,230.0
Constraint suite (seed 0; training episodes),alien,0,29941,180.0
Constraint suite (seed 0; training episodes),alien,0,30471,320.0
Constraint suite (seed 0; training episodes),alien,0,30842,240.0
Constraint suite (seed 0; training episodes),alien,0,31274,160.0
Constraint suite (seed 0; training episodes),alien,0,32247,430.0
Constraint suite (seed 0; training episodes),alien,0,33030,320.0
Constraint suite (seed 0; training episodes),alien,0,33534,310.0
Constraint suite (seed 0; training episodes),alien,0,34270,330.0
Constraint suite (seed 0; training episodes),alien,0,34988,320.0
