method,game,seed,bin,return,agent_steps
DreamerV3,alien,0,0.0,191.42857142857142,
DreamerV3,alien,0,1.0,196.25,
DreamerV3,alien,0,2.0,245.55555555555554,
DreamerV3,alien,0,3.0,185.55555555555554,
DreamerV3,alien,0,4.0,272.5,
DreamerV3,alien,0,5.0,521.4285714285714,
DreamerV3,alien,0,6.0,318.75,
DreamerV3,alien,0,7.0,408.75,
DreamerV3,alien,0,8.0,408.57142857142856,
DreamerV3,alien,0,9.0,482.5,
DreamerV3,alien,0,10.0,611.4285714285714,
DreamerV3,alien,0,11.0,606.6666666666666,
DreamerV3,alien,0,12.0,627.1428571428571,
DreamerV3,alien,0,13.0,572.8571428571429,
DreamerV3,alien,0,14.0,664.2857142857143,
DreamerV3,alien,0,15.0,477.14285714285717,
DreamerV3,alien,0,16.0,666.6666666666666,
DreamerV3,alien,0,17.0,711.4285714285714,
DreamerV3,alien,0,18.0,825.0,
DreamerV3,alien,0,19.0,925.7142857142857,
DreamerV3,alien,1,0.0,172.5,
DreamerV3,alien,1,1.0,161.25,
DreamerV3,alien,1,2.0,221.25,
DreamerV3,alien,1,3.0,304.44444444444446,
DreamerV3,alien,1,4.0,329.0,
DreamerV3,alien,1,5.0,396.0,
DreamerV3,alien,1,6.0,566.25,
DreamerV3,alien,1,7.0,478.8888888888889,
DreamerV3,alien,1,8.0,475.0,
DreamerV3,alien,1,9.0,583.3333333333334,
DreamerV3,alien,1,10.0,537.5,
DreamerV3,alien,1,11.0,481.8181818181818,
DreamerV3,alien,1,12.0,544.4444444444445,
DreamerV3,alien,1,13.0,690.0,
DreamerV3,alien,1,14.0,653.75,
DreamerV3,alien,1,15.0,655.0,
DreamerV3,alien,1,16.0,614.2857142857143,
DreamerV3,alien,1,17.0,710.0,
DreamerV3,alien,1,18.0,612.5,
DreamerV3,alien,1,19.0,804.2857142857143,
DreamerV3,alien,2,0.0,336.6666666666667,
DreamerV3,alien,2,1.0,183.75,
DreamerV3,alien,2,2.0,181.25,
DreamerV3,alien,2,3.0,388.75,
DreamerV3,alien,2,4.0,366.25,
DreamerV3,alien,2,5.0,452.5,
DreamerV3,alien,2,6.0,422.0,
DreamerV3,alien,2,7.0,610.0,
DreamerV3,alien,2,8.0,701.25,
DreamerV3,alien,2,9.0,490.0,
DreamerV3,alien,2,10.0,581.25,
DreamerV3,alien,2,11.0,585.7142857142857,
DreamerV3,alien,2,12.0,697.1428571428571,
DreamerV3,alien,2,13.0,1048.5714285714287,
DreamerV3,alien,2,14.0,688.3333333333334,
DreamerV3,alien,2,15.0,1078.0,
DreamerV3,alien,2,16.0,1373.3333333333333,
DreamerV3,alien,2,17.0,833.75,
DreamerV3,alien,2,18.0,723.75,
DreamerV3,alien,2,19.0,807.1428571428571,
DreamerV3,alien,3,0.0,207.14285714285714,
DreamerV3,alien,3,1.0,257.14285714285717,
DreamerV3,alien,3,2.0,200.0,
DreamerV3,alien,3,3.0,266.25,
DreamerV3,alien,3,4.0,247.77777777777777,
DreamerV3,alien,3,5.0,330.0,
DreamerV3,alien,3,6.0,326.25,
DreamerV3,alien,3,7.0,405.0,
DreamerV3,alien,3,8.0,461.25,
DreamerV3,alien,3,9.0,417.77777777777777,
DreamerV3,alien,3,10.0,460.0,
DreamerV3,alien,3,11.0,466.6666666666667,
DreamerV3,alien,3,12.0,530.0,
DreamerV3,alien,3,13.0,561.4285714285714,
DreamerV3,alien,3,14.0,458.75,
DreamerV3,alien,3,15.0,572.5,
DreamerV3,alien,3,16.0,512.8571428571429,
DreamerV3,alien,3,17.0,565.0,
DreamerV3,alien,3,18.0,495.0,
DreamerV3,alien,3,19.0,617.5,
DreamerV3,alien,4,0.0,228.57142857142858,
DreamerV3,alien,4,1.0,195.71428571428572,
DreamerV3,alien,4,2.0,190.0,
DreamerV3,alien,4,3.0,391.6666666666667,
DreamerV3,alien,4,4.0,361.25,
DreamerV3,alien,4,5.0,481.42857142857144,
DreamerV3,alien,4,6.0,557.5,
DreamerV3,alien,4,7.0,515.0,
DreamerV3,alien,4,8.0,735.0,
DreamerV3,alien,4,9.0,510.0,
DreamerV3,alien,4,10.0,692.5,
DreamerV3,alien,4,11.0,600.0,
DreamerV3,alien,4,12.0,620.0,
DreamerV3,alien,4,13.0,582.8571428571429,
DreamerV3,alien,4,14.0,676.6666666666666,
DreamerV3,alien,4,15.0,915.0,
DreamerV3,alien,4,16.0,753.3333333333334,
DreamerV3,alien,4,17.0,1161.6666666666667,
DreamerV3,alien,4,18.0,748.3333333333334,
DreamerV3,alien,4,19.0,943.3333333333334,
DreamerV3,amidar,0,0.0,2.375,
DreamerV3,amidar,0,1.0,2.625,
DreamerV3,amidar,0,2.0,4.555555555555555,
DreamerV3,amidar,0,3.0,22.0,
DreamerV3,amidar,0,4.0,29.2,
DreamerV3,amidar,0,5.0,75.14285714285714,
DreamerV3,amidar,0,6.0,60.0,
DreamerV3,amidar,0,7.0,153.28571428571428,
DreamerV3,amidar,0,8.0,111.6,
DreamerV3,amidar,0,9.0,120.14285714285714,
DreamerV3,amidar,0,10.0,132.4,
DreamerV3,amidar,0,11.0,102.16666666666667,
DreamerV3,amidar,0,12.0,143.0,
DreamerV3,amidar,0,13.0,138.16666666666666,
DreamerV3,amidar,0,14.0,141.28571428571428,
DreamerV3,amidar,0,15.0,151.14285714285714,
DreamerV3,amidar,0,16.0,148.0,
DreamerV3,amidar,0,17.0,154.71428571428572,
DreamerV3,amidar,0,18.0,164.0,
DreamerV3,amidar,0,19.0,137.85714285714286,
DreamerV3,amidar,1,0.0,2.25,
DreamerV3,amidar,1,1.0,1.4444444444444444,
DreamerV3,amidar,1,2.0,17.88888888888889,
DreamerV3,amidar,1,3.0,33.0,
DreamerV3,amidar,1,4.0,34.125,
DreamerV3,amidar,1,5.0,38.875,
DreamerV3,amidar,1,6.0,53.857142857142854,
DreamerV3,amidar,1,7.0,44.875,
DreamerV3,amidar,1,8.0,42.857142857142854,
DreamerV3,amidar,1,9.0,54.625,
DreamerV3,amidar,1,10.0,75.28571428571429,
DreamerV3,amidar,1,11.0,74.0,
DreamerV3,amidar,1,12.0,94.33333333333333,
DreamerV3,amidar,1,13.0,73.85714285714286,
DreamerV3,amidar,1,14.0,108.16666666666667,
DreamerV3,amidar,1,15.0,107.16666666666667,
DreamerV3,amidar,1,16.0,123.4,
DreamerV3,amidar,1,17.0,93.16666666666667,
DreamerV3,amidar,1,18.0,103.0,
DreamerV3,amidar,1,19.0,105.16666666666667,
DreamerV3,amidar,2,0.0,5.0,
DreamerV3,amidar,2,1.0,0.8888888888888888,
DreamerV3,amidar,2,2.0,6.0,
DreamerV3,amidar,2,3.0,38.5,
DreamerV3,amidar,2,4.0,52.25,
DreamerV3,amidar,2,5.0,47.125,
DreamerV3,amidar,2,6.0,36.5,
DreamerV3,amidar,2,7.0,46.55555555555556,
DreamerV3,amidar,2,8.0,50.77777777777778,
DreamerV3,amidar,2,9.0,51.5,
DreamerV3,amidar,2,10.0,55.77777777777778,
DreamerV3,amidar,2,11.0,64.71428571428571,
DreamerV3,amidar,2,12.0,68.625,
DreamerV3,amidar,2,13.0,70.14285714285714,
DreamerV3,amidar,2,14.0,72.5,
DreamerV3,amidar,2,15.0,72.42857142857143,
DreamerV3,amidar,2,16.0,68.375,
DreamerV3,amidar,2,17.0,88.85714285714286,
DreamerV3,amidar,2,18.0,72.71428571428571,
DreamerV3,amidar,2,19.0,78.88888888888889,
DreamerV3,amidar,3,0.0,3.125,
DreamerV3,amidar,3,1.0,3.3333333333333335,
DreamerV3,amidar,3,2.0,32.625,
DreamerV3,amidar,3,3.0,47.857142857142854,
DreamerV3,amidar,3,4.0,34.25,
DreamerV3,amidar,3,5.0,37.625,
DreamerV3,amidar,3,6.0,46.0,
DreamerV3,amidar,3,7.0,48.875,
DreamerV3,amidar,3,8.0,64.5,
DreamerV3,amidar,3,9.0,62.75,
DreamerV3,amidar,3,10.0,68.875,
DreamerV3,amidar,3,11.0,71.875,
DreamerV3,amidar,3,12.0,73.625,
DreamerV3,amidar,3,13.0,69.77777777777777,
DreamerV3,amidar,3,14.0,103.33333333333333,
DreamerV3,amidar,3,15.0,95.83333333333333,
DreamerV3,amidar,3,16.0,101.8,
DreamerV3,amidar,3,17.0,88.33333333333333,
DreamerV3,amidar,3,18.0,96.57142857142857,
DreamerV3,amidar,3,19.0,92.0,
DreamerV3,amidar,4,0.0,1.875,
DreamerV3,amidar,4,1.0,3.6666666666666665,
DreamerV3,amidar,4,2.0,31.875,
DreamerV3,amidar,4,3.0,33.0,
DreamerV3,amidar,4,4.0,33.77777777777778,
DreamerV3,amidar,4,5.0,35.625,
DreamerV3,amidar,4,6.0,55.857142857142854,
DreamerV3,amidar,4,7.0,50.111111111111114,
DreamerV3,amidar,4,8.0,55.5,
DreamerV3,amidar,4,9.0,70.625,
DreamerV3,amidar,4,10.0,54.875,
DreamerV3,amidar,4,11.0,89.85714285714286,
DreamerV3,amidar,4,12.0,94.5,
DreamerV3,amidar,4,13.0,85.0,
DreamerV3,amidar,4,14.0,56.77777777777778,
DreamerV3,amidar,4,15.0,78.5,
DreamerV3,amidar,4,16.0,97.14285714285714,
DreamerV3,amidar,4,17.0,119.14285714285714,
DreamerV3,amidar,4,18.0,116.5,
DreamerV3,amidar,4,19.0,121.57142857142857,
DreamerV3,assault,0,0.0,276.0,
DreamerV3,assault,0,1.0,307.125,
DreamerV3,assault,0,2.0,488.25,
DreamerV3,assault,0,3.0,415.8,
DreamerV3,assault,0,4.0,428.4,
DreamerV3,assault,0,5.0,560.0,
DreamerV3,assault,0,6.0,420.0,
DreamerV3,assault,0,7.0,453.6,
DreamerV3,assault,0,8.0,420.0,
DreamerV3,assault,0,9.0,462.0,
DreamerV3,assault,0,10.0,541.8,
DreamerV3,assault,0,11.0,468.0,
DreamerV3,assault,0,12.0,596.4,
DreamerV3,assault,0,13.0,575.4,
DreamerV3,assault,0,14.0,462.0,
DreamerV3,assault,0,15.0,571.2,
DreamerV3,assault,0,16.0,570.5,
DreamerV3,assault,0,17.0,504.0,
DreamerV3,assault,0,18.0,638.4,
DreamerV3,assault,0,19.0,595.0,
DreamerV3,assault,1,0.0,212.33333333333334,
DreamerV3,assault,1,1.0,201.0,
DreamerV3,assault,1,2.0,432.6,
DreamerV3,assault,1,3.0,437.5,
DreamerV3,assault,1,4.0,504.0,
DreamerV3,assault,1,5.0,635.25,
DreamerV3,assault,1,6.0,527.5,
DreamerV3,assault,1,7.0,613.2,
DreamerV3,assault,1,8.0,458.5,
DreamerV3,assault,1,9.0,602.0,
DreamerV3,assault,1,10.0,584.5,
DreamerV3,assault,1,11.0,520.8,
DreamerV3,assault,1,12.0,546.0,
DreamerV3,assault,1,13.0,663.6,
DreamerV3,assault,1,14.0,651.0,
DreamerV3,assault,1,15.0,533.6666666666666,
DreamerV3,assault,1,16.0,592.2,
DreamerV3,assault,1,17.0,684.6,
DreamerV3,assault,1,18.0,640.5,
DreamerV3,assault,1,19.0,577.5,
DreamerV3,assault,2,0.0,255.0,
DreamerV3,assault,2,1.0,210.0,
DreamerV3,assault,2,2.0,420.0,
DreamerV3,assault,2,3.0,495.6,
DreamerV3,assault,2,4.0,559.0,
DreamerV3,assault,2,5.0,388.4,
DreamerV3,assault,2,6.0,590.5,
DreamerV3,assault,2,7.0,546.0,
DreamerV3,assault,2,8.0,552.2,
DreamerV3,assault,2,9.0,577.4,
DreamerV3,assault,2,10.0,590.5,
DreamerV3,assault,2,11.0,529.2,
DreamerV3,assault,2,12.0,611.5,
DreamerV3,assault,2,13.0,556.4,
DreamerV3,assault,2,14.0,661.4,
DreamerV3,assault,2,15.0,621.1666666666666,
DreamerV3,assault,2,16.0,713.8,
DreamerV3,assault,2,17.0,571.2,
DreamerV3,assault,2,18.0,626.5,
DreamerV3,assault,2,19.0,701.4,
DreamerV3,assault,3,0.0,225.75,
DreamerV3,assault,3,1.0,252.0,
DreamerV3,assault,3,2.0,343.875,
DreamerV3,assault,3,3.0,322.875,
DreamerV3,assault,3,4.0,457.8,
DreamerV3,assault,3,5.0,352.8,
DreamerV3,assault,3,6.0,424.2,
DreamerV3,assault,3,7.0,382.2,
DreamerV3,assault,3,8.0,540.75,
DreamerV3,assault,3,9.0,613.2,
DreamerV3,assault,3,10.0,570.3333333333334,
DreamerV3,assault,3,11.0,554.4,
DreamerV3,assault,3,12.0,629.75,
DreamerV3,assault,3,13.0,590.0,
DreamerV3,assault,3,14.0,630.0,
DreamerV3,assault,3,15.0,656.25,
DreamerV3,assault,3,16.0,686.6,
DreamerV3,assault,3,17.0,661.5,
DreamerV3,assault,3,18.0,454.42857142857144,
DreamerV3,assault,3,19.0,669.8,
DreamerV3,assault,4,0.0,249.66666666666666,
DreamerV3,assault,4,1.0,236.25,
DreamerV3,assault,4,2.0,385.0,
DreamerV3,assault,4,3.0,435.75,
DreamerV3,assault,4,4.0,414.75,
DreamerV3,assault,4,5.0,326.6666666666667,
DreamerV3,assault,4,6.0,329.7,
DreamerV3,assault,4,7.0,328.125,
DreamerV3,assault,4,8.0,399.0,
DreamerV3,assault,4,9.0,424.2,
