method,game,bin,mean,std,seeds,sem,agent_steps,checkpoint
CoRe-WM old,alien,,201.6,8.384509526501835,5,3.749666651850536,10000.0,
CoRe-WM old,alien,,278.4,46.2849867667692,5,20.699275349634828,20000.0,
CoRe-WM old,alien,,245.4,91.64223916950088,5,40.98365527865956,30000.0,
CoRe-WM old,alien,,354.0,59.06775770248944,5,26.415904300250634,40000.0,
CoRe-WM old,alien,,368.8,118.3245536649093,5,52.91634908041181,50000.0,
CoRe-WM old,alien,,444.6,338.66989827854496,5,151.4577828967531,60000.0,
CoRe-WM old,alien,,548.0,146.26858856227472,5,65.4133013996389,70000.0,
CoRe-WM old,alien,,391.4,35.68332944107094,5,15.958070058750838,80000.0,
CoRe-WM old,alien,,434.4,56.8796976081976,5,25.43737407831241,90000.0,
CoRe-WM old,alien,,518.24,80.44990988186375,5,35.97829345591588,100000.0,
CoRe-WM old,amidar,,7.359999999999999,7.067036153862524,5,3.160474647897053,10000.0,
CoRe-WM old,amidar,,29.02,14.405276810946743,5,6.442235636795662,20000.0,
CoRe-WM old,amidar,,56.08,16.945117290830417,5,7.578086829800777,30000.0,
CoRe-WM old,amidar,,60.48,10.125067901006888,5,4.528068020690503,40000.0,
CoRe-WM old,amidar,,69.32000000000001,18.53097407045836,5,8.287303542166173,50000.0,
CoRe-WM old,amidar,,72.46000000000001,12.4568455075914,5,5.570870668037448,60000.0,
CoRe-WM old,amidar,,99.62,15.574081032279237,5,6.964940775053294,70000.0,
CoRe-WM old,amidar,,96.44,21.728966841522865,5,9.717489387696803,80000.0,
CoRe-WM old,amidar,,106.98,16.360684582253878,5,7.316720576870484,90000.0,
CoRe-WM old,amidar,,112.588,34.28553149653655,5,15.332955814193165,100000.0,
CoRe-WM old,assault,,194.46,68.95870503424496,5,30.839270419385738,10000.0,
CoRe-WM old,assault,,395.22,41.10853925889366,5,18.38429764772101,20000.0,
CoRe-WM old,assault,,505.68,74.17787405958734,5,33.17335376473111,30000.0,
CoRe-WM old,assault,,492.66,69.42080379828515,5,31.04592726912824,40000.0,
CoRe-WM old,assault,,568.6800000000001,75.06435239179781,5,33.56979892701177,50000.0,
CoRe-WM old,assault,,558.6,64.19614474405769,5,28.709388708225767,60000.0,
CoRe-WM old,assault,,591.36,75.09665771524053,5,33.58424630686237,70000.0,
CoRe-WM old,assault,,583.3799999999999,31.5139968902708,5,14.093487857872498,80000.0,
CoRe-WM old,assault,,667.38,27.154226190410963,5,12.143739127632813,90000.0,
CoRe-WM old,assault,,626.492,30.431430626902845,5,13.60934950686476,100000.0,
CoRe-WM old,asterix,,206.0,34.8926926447358,5,15.604486534327236,10000.0,
CoRe-WM old,asterix,,217.0,68.33739825307956,5,30.56141357987225,20000.0,
CoRe-WM old,asterix,,215.0,35.531676008879735,5,15.8902485820707,30000.0,
CoRe-WM old,asterix,,246.0,42.190046219457976,5,18.867962264113206,40000.0,
CoRe-WM old,asterix,,307.0,89.27485648266257,5,39.924929555354254,50000.0,
CoRe-WM old,asterix,,354.0,75.3657747256671,5,33.70459909270544,60000.0,
CoRe-WM old,asterix,,451.0,36.81032463861192,5,16.462077633154326,70000.0,
CoRe-WM old,asterix,,460.0,60.41522986797286,5,27.018512172212592,80000.0,
CoRe-WM old,asterix,,528.0,61.40032573203501,5,27.45906043549196,90000.0,
CoRe-WM old,asterix,,544.9,19.135699621388305,5,8.557745030088247,100000.0,
CoRe-WM old,bank_heist,,12.8,6.1400325732035,5,2.745906043549196,10000.0,
CoRe-WM old,bank_heist,,11.8,5.718391382198319,5,2.557342370508884,20000.0,
CoRe-WM old,bank_heist,,8.8,8.757853618324527,5,3.916631205513228,30000.0,
CoRe-WM old,bank_heist,,17.0,5.291502622129181,5,2.3664319132398464,40000.0,
CoRe-WM old,bank_heist,,20.2,9.833615815151616,5,4.3977266854592045,50000.0,
CoRe-WM old,bank_heist,,20.4,7.503332592921629,5,3.355592347112504,60000.0,
CoRe-WM old,bank_heist,,22.0,7.842193570679061,5,3.507135583350036,70000.0,
CoRe-WM old,bank_heist,,20.6,3.646916505762094,5,1.6309506430300091,80000.0,
CoRe-WM old,bank_heist,,21.8,6.058052492344383,5,2.709243436828813,90000.0,
CoRe-WM old,bank_heist,,27.079999999999995,5.666303909957529,5,2.5340481447675764,100000.0,
CoRe-WM old,battle_zone,,2460.0,1013.903348450926,5,453.4313619501853,10000.0,
CoRe-WM old,battle_zone,,2740.0,850.2940667792526,5,380.26306683663086,20000.0,
CoRe-WM old,battle_zone,,2840.0,1467.310464761974,5,656.2011886609166,30000.0,
CoRe-WM old,battle_zone,,2440.0,1270.0393694685215,5,567.9788728465171,40000.0,
CoRe-WM old,battle_zone,,1640.0,1619.5678435928517,5,724.2927584892727,50000.0,
CoRe-WM old,battle_zone,,3600.0,1606.237840420901,5,718.3313998427187,60000.0,
CoRe-WM old,battle_zone,,4900.0,1488.2876066137217,5,665.5824516917494,70000.0,
CoRe-WM old,battle_zone,,3440.0,829.4576541331088,5,370.9447398198281,80000.0,
CoRe-WM old,battle_zone,,7180.0,4778.284210885744,5,2136.913662270893,90000.0,
CoRe-WM old,battle_zone,,11022.0,4528.616786613767,5,2025.258995783008,100000.0,
CoRe-WM old,boxing,,-6.76,13.45429299517444,5,6.016942745281859,10000.0,
CoRe-WM old,boxing,,0.3200000000000003,28.306659993718792,5,12.659123192385795,20000.0,
CoRe-WM old,boxing,,18.56,25.95607828621265,5,11.607911095455544,30000.0,
CoRe-WM old,boxing,,33.660000000000004,34.68591933335485,5,15.512014698291129,40000.0,
CoRe-WM old,boxing,,49.38,10.084245137837536,5,4.509811525995294,50000.0,
CoRe-WM old,boxing,,55.54,10.94248600638813,5,4.893628510624811,60000.0,
CoRe-WM old,boxing,,69.67999999999999,4.919552825206775,5,2.200090907212698,70000.0,
CoRe-WM old,boxing,,68.86,9.550026177974594,5,4.270901544170739,80000.0,
CoRe-WM old,boxing,,67.46000000000001,10.472726483585827,5,4.6835456654120495,90000.0,
CoRe-WM old,boxing,,76.7,5.756400785212924,5,2.5743406922938528,100000.0,
CoRe-WM old,breakout,,1.5,0.5244044240850758,5,0.2345207879911715,10000.0,
CoRe-WM old,breakout,,1.7599999999999998,0.691375440697744,5,0.309192496674806,20000.0,
