method,game,seed,bin,return
Harmony,alien,0,0,185.71428571428572
Harmony,alien,0,1,217.14285714285714
Harmony,alien,0,2,201.25
Harmony,alien,0,3,256.6666666666667
Harmony,alien,0,4,215.0
Harmony,alien,0,5,225.55555555555554
Harmony,alien,0,6,283.75
Harmony,alien,0,7,255.0
Harmony,alien,0,8,286.25
Harmony,alien,0,9,332.5
Harmony,alien,0,10,346.25
Harmony,alien,0,11,447.5
Harmony,alien,0,12,417.14285714285717
Harmony,alien,0,13,535.7142857142857
Harmony,alien,0,14,525.7142857142857
Harmony,alien,0,15,402.85714285714283
Harmony,alien,0,16,522.8571428571429
Harmony,alien,0,17,457.14285714285717
Harmony,alien,0,18,582.8571428571429
Harmony,alien,0,19,655.0
Harmony,alien,2,0,226.66666666666666
Harmony,alien,2,1,181.25
Harmony,alien,2,2,205.0
Harmony,alien,2,3,238.88888888888889
Harmony,alien,2,4,285.55555555555554
Harmony,alien,2,5,288.8888888888889
Harmony,alien,2,6,366.25
Harmony,alien,2,7,652.5
Harmony,alien,2,8,401.1111111111111
Harmony,alien,2,9,431.1111111111111
Harmony,alien,2,10,408.0
Harmony,alien,2,11,415.0
Harmony,alien,2,12,832.5
Harmony,alien,2,13,618.75
Harmony,alien,2,14,632.8571428571429
Harmony,alien,2,15,997.5
Harmony,alien,2,16,701.6666666666666
Harmony,alien,2,17,660.0
Harmony,alien,2,18,900.0
Harmony,alien,2,19,1185.7142857142858
Harmony,alien,3,0,177.14285714285714
Harmony,alien,3,1,176.66666666666666
Harmony,alien,3,2,274.2857142857143
Harmony,alien,3,3,335.55555555555554
Harmony,alien,3,4,247.5
Harmony,alien,3,5,276.6666666666667
Harmony,alien,3,6,403.75
Harmony,alien,3,7,376.25
Harmony,alien,3,8,482.5
Harmony,alien,3,9,488.75
Harmony,alien,3,10,446.25
Harmony,alien,3,11,548.75
Harmony,alien,3,12,685.0
Harmony,alien,3,13,476.6666666666667
Harmony,alien,3,14,534.2857142857143
Harmony,alien,3,15,806.0
Harmony,alien,3,16,781.25
Harmony,alien,3,17,767.5
Harmony,alien,3,18,673.75
Harmony,alien,3,19,851.1111111111111
Harmony,alien,4,0,158.75
Harmony,alien,4,1,194.28571428571428
Harmony,alien,4,2,217.14285714285714
Harmony,alien,4,3,421.42857142857144
Harmony,alien,4,4,223.75
Harmony,alien,4,5,301.42857142857144
Harmony,alien,4,6,221.25
Harmony,alien,4,7,257.0
Harmony,alien,4,8,280.0
Harmony,alien,4,9,348.75
Harmony,alien,4,10,475.7142857142857
Harmony,alien,4,11,466.6666666666667
Harmony,alien,4,12,578.75
Harmony,alien,4,13,512.5
Harmony,alien,4,14,558.8888888888889
Harmony,alien,4,15,575.7142857142857
Harmony,alien,4,16,512.8571428571429
Harmony,alien,4,17,646.0
Harmony,alien,4,18,535.0
Harmony,alien,4,19,555.7142857142857
Harmony,alien,5,0,187.5
Harmony,alien,5,1,167.5
Harmony,alien,5,2,182.85714285714286
Harmony,alien,5,3,264.2857142857143
Harmony,alien,5,4,327.77777777777777
Harmony,alien,5,5,120.0
Harmony,alien,5,6,324.44444444444446
Harmony,alien,5,7,318.8888888888889
Harmony,alien,5,8,287.77777777777777
Harmony,alien,5,9,291.42857142857144
Harmony,alien,5,10,388.75
Harmony,alien,5,11,361.42857142857144
Harmony,alien,5,12,602.5
Harmony,alien,5,13,427.77777777777777
Harmony,alien,5,14,630.0
Harmony,alien,5,15,576.25
Harmony,alien,5,16,463.3333333333333
Harmony,alien,5,17,838.3333333333334
Harmony,alien,5,18,788.3333333333334
Harmony,alien,5,19,478.3333333333333
Harmony,amidar,0,0,1.875
Harmony,amidar,0,1,3.111111111111111
Harmony,amidar,0,2,22.88888888888889
Harmony,amidar,0,3,12.846153846153847
Harmony,amidar,0,4,30.0
Harmony,amidar,0,5,56.5
Harmony,amidar,0,6,60.0
Harmony,amidar,0,7,62.333333333333336
Harmony,amidar,0,8,77.33333333333333
Harmony,amidar,0,9,65.33333333333333
Harmony,amidar,0,10,71.375
Harmony,amidar,0,11,76.66666666666667
Harmony,amidar,0,12,82.0
Harmony,amidar,0,13,82.2
Harmony,amidar,0,14,106.33333333333333
Harmony,amidar,0,15,106.16666666666667
Harmony,amidar,0,16,118.2
Harmony,amidar,0,17,99.33333333333333
Harmony,amidar,0,18,89.5
Harmony,amidar,0,19,111.25
Harmony,amidar,2,0,1.625
Harmony,amidar,2,1,9.88888888888889
Harmony,amidar,2,2,34.375
Harmony,amidar,2,3,32.55555555555556
Harmony,amidar,2,4,31.77777777777778
Harmony,amidar,2,5,39.25
Harmony,amidar,2,6,70.33333333333333
Harmony,amidar,2,7,54.625
Harmony,amidar,2,8,62.166666666666664
Harmony,amidar,2,9,91.33333333333333
Harmony,amidar,2,10,78.16666666666667
Harmony,amidar,2,11,81.0
Harmony,amidar,2,12,82.5
Harmony,amidar,2,13,105.4
Harmony,amidar,2,14,129.33333333333334
Harmony,amidar,2,15,85.14285714285714
Harmony,amidar,2,16,78.0
Harmony,amidar,2,17,109.5
Harmony,amidar,2,18,106.71428571428571
Harmony,amidar,2,19,118.6
Harmony,amidar,3,0,3.875
Harmony,amidar,3,1,14.75
Harmony,amidar,3,2,18.181818181818183
Harmony,amidar,3,3,18.0
Harmony,amidar,3,4,25.25
Harmony,amidar,3,5,63.142857142857146
Harmony,amidar,3,6,56.714285714285715
Harmony,amidar,3,7,51.42857142857143
Harmony,amidar,3,8,58.142857142857146
Harmony,amidar,3,9,58.714285714285715
Harmony,amidar,3,10,55.57142857142857
Harmony,amidar,3,11,64.25
Harmony,amidar,3,12,65.0
Harmony,amidar,3,13,66.57142857142857
Harmony,amidar,3,14,96.42857142857143
Harmony,amidar,3,15,64.5
Harmony,amidar,3,16,77.83333333333333
Harmony,amidar,3,17,94.33333333333333
Harmony,amidar,3,18,88.71428571428571
Harmony,amidar,3,19,114.66666666666667
Harmony,amidar,4,0,2.25
Harmony,amidar,4,1,1.75
Harmony,amidar,4,2,9.625
Harmony,amidar,4,3,10.0
Harmony,amidar,4,4,63.666666666666664
Harmony,amidar,4,5,40.125
Harmony,amidar,4,6,53.0
Harmony,amidar,4,7,51.0
Harmony,amidar,4,8,72.71428571428571
Harmony,amidar,4,9,82.0
Harmony,amidar,4,10,66.16666666666667
Harmony,amidar,4,11,84.14285714285714
Harmony,amidar,4,12,78.42857142857143
Harmony,amidar,4,13,89.42857142857143
Harmony,amidar,4,14,80.71428571428571
Harmony,amidar,4,15,145.66666666666666
Harmony,amidar,4,16,116.83333333333333
Harmony,amidar,4,17,135.57142857142858
Harmony,amidar,4,18,133.66666666666666
Harmony,amidar,4,19,128.42857142857142
Harmony,amidar,5,0,0.625
Harmony,amidar,5,1,2.3333333333333335
Harmony,amidar,5,2,6.777777777777778
Harmony,amidar,5,3,15.125
Harmony,amidar,5,4,26.181818181818183
Harmony,amidar,5,5,54.5
Harmony,amidar,5,6,62.142857142857146
Harmony,amidar,5,7,60.285714285714285
Harmony,amidar,5,8,60.57142857142857
Harmony,amidar,5,9,71.28571428571429
Harmony,amidar,5,10,79.16666666666667
Harmony,amidar,5,11,75.16666666666667
Harmony,amidar,5,12,70.85714285714286
Harmony,amidar,5,13,86.0
Harmony,amidar,5,14,81.6
Harmony,amidar,5,15,89.16666666666667
Harmony,amidar,5,16,100.83333333333333
Harmony,amidar,5,17,114.66666666666667
Harmony,amidar,5,18,106.0
Harmony,amidar,5,19,101.33333333333333
Harmony,assault,0,0,247.33333333333334
Harmony,assault,0,1,225.0
Harmony,assault,0,2,399.0
Harmony,assault,0,3,466.2
Harmony,assault,0,4,380.625
Harmony,assault,0,5,366.0
Harmony,assault,0,6,327.0
Harmony,assault,0,7,466.2
Harmony,assault,0,8,436.8
Harmony,assault,0,9,567.0
Harmony,assault,0,10,423.5
Harmony,assault,0,11,399.0
Harmony,assault,0,12,500.5
Harmony,assault,0,13,427.0
Harmony,assault,0,14,656.25
Harmony,assault,0,15,609.0
Harmony,assault,0,16,642.6
Harmony,assault,0,17,511.0
Harmony,assault,0,18,553.0
Harmony,assault,0,19,661.5
Harmony,assault,2,0,267.75
Harmony,assault,2,1,278.25
Harmony,assault,2,2,380.625
Harmony,assault,2,3,405.0
Harmony,assault,2,4,404.25
Harmony,assault,2,5,345.0
Harmony,assault,2,6,490.0
Harmony,assault,2,7,402.0
Harmony,assault,2,8,472.5
Harmony,assault,2,9,588.0
Harmony,assault,2,10,582.75
Harmony,assault,2,11,602.6
Harmony,assault,2,12,588.0
Harmony,assault,2,13,432.0
Harmony,assault,2,14,615.6666666666666
Harmony,assault,2,15,600.6
Harmony,assault,2,16,558.4
Harmony,assault,2,17,614.25
Harmony,assault,2,18,693.0
Harmony,assault,2,19,677.25
Harmony,assault,3,0,204.75
Harmony,assault,3,1,207.66666666666666
Harmony,assault,3,2,226.8
Harmony,assault,3,3,234.5
Harmony,assault,3,4,333.6666666666667
Harmony,assault,3,5,390.0
Harmony,assault,3,6,449.4
Harmony,assault,3,7,535.5
Harmony,assault,3,8,399.0
Harmony,assault,3,9,462.0
Harmony,assault,3,10,438.0
Harmony,assault,3,11,596.4
Harmony,assault,3,12,512.4
Harmony,assault,3,13,603.0
Harmony,assault,3,14,596.4
Harmony,assault,3,15,562.8
Harmony,assault,3,16,630.0
Harmony,assault,3,17,667.8
Harmony,assault,3,18,617.4
Harmony,assault,3,19,575.4
Harmony,assault,4,0,224.0
Harmony,assault,4,1,199.5
Harmony,assault,4,2,287.0
Harmony,assault,4,3,333.375
Harmony,assault,4,4,378.0
Harmony,assault,4,5,364.875
Harmony,assault,4,6,390.0
Harmony,assault,4,7,516.6
Harmony,assault,4,8,507.5
Harmony,assault,4,9,487.2
Harmony,assault,4,10,406.0
Harmony,assault,4,11,583.8
Harmony,assault,4,12,499.8
Harmony,assault,4,13,546.0
Harmony,assault,4,14,554.4
Harmony,assault,4,15,476.0
Harmony,assault,4,16,504.0
Harmony,assault,4,17,571.2
Harmony,assault,4,18,556.5
Harmony,assault,4,19,551.25
Harmony,assault,5,0,276.0
Harmony,assault,5,1,181.125
Harmony,assault,5,2,332.5
Harmony,assault,5,3,399.0
Harmony,assault,5,4,474.6
Harmony,assault,5,5,583.8
Harmony,assault,5,6,467.25
Harmony,assault,5,7,451.5
Harmony,assault,5,8,402.0
Harmony,assault,5,9,491.4
Harmony,assault,5,10,624.75
Harmony,assault,5,11,562.8
Harmony,assault,5,12,592.2
Harmony,assault,5,13,556.5
Harmony,assault,5,14,525.0
Harmony,assault,5,15,525.0
Harmony,assault,5,16,563.5
Harmony,assault,5,17,562.8
Harmony,assault,5,18,646.8
Harmony,assault,5,19,592.2
Harmony,asterix,0,0,291.6666666666667
Harmony,asterix,0,1,234.375
Harmony,asterix,0,2,185.2941176470588
Harmony,asterix,0,3,238.46153846153845
Harmony,asterix,0,4,194.11764705882354
Harmony,asterix,0,5,231.25
Harmony,asterix,0,6,228.125
Harmony,asterix,0,7,258.8235294117647
Harmony,asterix,0,8,352.94117647058823
Harmony,asterix,0,9,400.0
Harmony,asterix,0,10,392.85714285714283
Harmony,asterix,0,11,492.3076923076923
Harmony,asterix,0,12,373.3333333333333
Harmony,asterix,0,13,368.75
Harmony,asterix,0,14,572.7272727272727
Harmony,asterix,0,15,488.46153846153845
Harmony,asterix,0,16,442.3076923076923
Harmony,asterix,0,17,478.57142857142856
Harmony,asterix,0,18,561.5384615384615
Harmony,asterix,0,19,486.6666666666667
Harmony,asterix,2,0,257.89473684210526
Harmony,asterix,2,1,257.14285714285717
Harmony,asterix,2,2,491.6666666666667
Harmony,asterix,2,3,170.0
Harmony,asterix,2,4,121.875
Harmony,asterix,2,5,220.58823529411765
Harmony,asterix,2,6,380.7692307692308
Harmony,asterix,2,7,343.3333333333333
Harmony,asterix,2,8,400.0
Harmony,asterix,2,9,404.54545454545456
Harmony,asterix,2,10,333.3333333333333
Harmony,asterix,2,11,411.53846153846155
Harmony,asterix,2,12,415.38461538461536
Harmony,asterix,2,13,442.85714285714283
Harmony,asterix,2,14,376.9230769230769
Harmony,asterix,2,15,541.6666666666666
Harmony,asterix,2,16,550.0
