method,game,seed,bin,return
CoRe-WM old,alien,0,0,202.85714285714286
CoRe-WM old,alien,0,1,172.5
CoRe-WM old,alien,0,2,181.42857142857142
CoRe-WM old,alien,0,3,227.14285714285714
CoRe-WM old,alien,0,4,221.11111111111111
CoRe-WM old,alien,0,5,183.33333333333334
CoRe-WM old,alien,0,6,326.25
CoRe-WM old,alien,0,7,261.0
CoRe-WM old,alien,0,8,328.8888888888889
CoRe-WM old,alien,0,9,430.0
CoRe-WM old,alien,0,10,466.25
CoRe-WM old,alien,0,11,401.42857142857144
CoRe-WM old,alien,0,12,815.7142857142857
CoRe-WM old,alien,0,13,526.25
CoRe-WM old,alien,0,14,768.75
CoRe-WM old,alien,0,15,475.0
CoRe-WM old,alien,0,16,805.7142857142857
CoRe-WM old,alien,0,17,571.4285714285714
CoRe-WM old,alien,0,18,754.2857142857143
CoRe-WM old,alien,0,19,828.75
CoRe-WM old,alien,1,0,155.0
CoRe-WM old,alien,1,1,182.85714285714286
CoRe-WM old,alien,1,2,308.57142857142856
CoRe-WM old,alien,1,3,174.44444444444446
CoRe-WM old,alien,1,4,208.75
CoRe-WM old,alien,1,5,267.5
CoRe-WM old,alien,1,6,268.57142857142856
CoRe-WM old,alien,1,7,334.44444444444446
CoRe-WM old,alien,1,8,402.5
CoRe-WM old,alien,1,9,381.25
CoRe-WM old,alien,1,10,428.8888888888889
CoRe-WM old,alien,1,11,474.44444444444446
CoRe-WM old,alien,1,12,352.22222222222223
CoRe-WM old,alien,1,13,533.75
CoRe-WM old,alien,1,14,438.8888888888889
CoRe-WM old,alien,1,15,427.0
CoRe-WM old,alien,1,16,377.0
CoRe-WM old,alien,1,17,450.0
CoRe-WM old,alien,1,18,428.0
CoRe-WM old,alien,1,19,547.0
CoRe-WM old,alien,2,0,275.7142857142857
CoRe-WM old,alien,2,1,165.0
CoRe-WM old,alien,2,2,234.28571428571428
CoRe-WM old,alien,2,3,247.77777777777777
CoRe-WM old,alien,2,4,208.0
CoRe-WM old,alien,2,5,211.0
CoRe-WM old,alien,2,6,311.1111111111111
CoRe-WM old,alien,2,7,528.75
CoRe-WM old,alien,2,8,350.0
CoRe-WM old,alien,2,9,346.6666666666667
CoRe-WM old,alien,2,10,383.3333333333333
CoRe-WM old,alien,2,11,542.5
CoRe-WM old,alien,2,12,381.25
CoRe-WM old,alien,2,13,464.44444444444446
CoRe-WM old,alien,2,14,357.27272727272725
CoRe-WM old,alien,2,15,396.6666666666667
CoRe-WM old,alien,2,16,408.0
CoRe-WM old,alien,2,17,408.8888888888889
CoRe-WM old,alien,2,18,470.0
CoRe-WM old,alien,2,19,441.0
CoRe-WM old,alien,3,0,220.0
CoRe-WM old,alien,3,1,295.7142857142857
CoRe-WM old,alien,3,2,252.85714285714286
CoRe-WM old,alien,3,3,245.55555555555554
CoRe-WM old,alien,3,4,241.11111111111111
CoRe-WM old,alien,3,5,229.0
CoRe-WM old,alien,3,6,228.88888888888889
CoRe-WM old,alien,3,7,317.77777777777777
CoRe-WM old,alien,3,8,360.0
CoRe-WM old,alien,3,9,343.75
CoRe-WM old,alien,3,10,342.22222222222223
CoRe-WM old,alien,3,11,325.0
CoRe-WM old,alien,3,12,423.75
CoRe-WM old,alien,3,13,361.25
CoRe-WM old,alien,3,14,394.44444444444446
CoRe-WM old,alien,3,15,521.4285714285714
CoRe-WM old,alien,3,16,538.5714285714286
CoRe-WM old,alien,3,17,540.0
CoRe-WM old,alien,3,18,495.7142857142857
CoRe-WM old,alien,3,19,492.5
CoRe-WM old,alien,4,0,184.28571428571428
CoRe-WM old,alien,4,1,280.0
CoRe-WM old,alien,4,2,188.75
CoRe-WM old,alien,4,3,263.3333333333333
CoRe-WM old,alien,4,4,302.85714285714283
CoRe-WM old,alien,4,5,288.0
CoRe-WM old,alien,4,6,256.6666666666667
CoRe-WM old,alien,4,7,293.3333333333333
CoRe-WM old,alien,4,8,323.3333333333333
CoRe-WM old,alien,4,9,410.0
CoRe-WM old,alien,4,10,393.3333333333333
CoRe-WM old,alien,4,11,368.75
CoRe-WM old,alien,4,12,381.25
CoRe-WM old,alien,4,13,420.0
CoRe-WM old,alien,4,14,520.0
CoRe-WM old,alien,4,15,364.44444444444446
CoRe-WM old,alien,4,16,432.85714285714283
CoRe-WM old,alien,4,17,484.44444444444446
CoRe-WM old,alien,4,18,380.0
CoRe-WM old,alien,4,19,473.0
CoRe-WM old,amidar,0,0,1.875
CoRe-WM old,amidar,0,1,3.7777777777777777
CoRe-WM old,amidar,0,2,30.285714285714285
CoRe-WM old,amidar,0,3,31.5
CoRe-WM old,amidar,0,4,40.75
CoRe-WM old,amidar,0,5,55.285714285714285
CoRe-WM old,amidar,0,6,48.625
CoRe-WM old,amidar,0,7,52.142857142857146
CoRe-WM old,amidar,0,8,57.166666666666664
