method,game,seed,agent_steps,return
CoRe-WM old,alien,1,647,170.0
CoRe-WM old,alien,1,1236,100.0
CoRe-WM old,alien,1,1926,120.0
CoRe-WM old,alien,1,2535,120.0
CoRe-WM old,alien,1,3223,150.0
CoRe-WM old,alien,1,3781,150.0
CoRe-WM old,alien,1,4369,210.0
CoRe-WM old,alien,1,4943,220.0
CoRe-WM old,alien,1,5421,160.0
CoRe-WM old,alien,1,6001,120.0
CoRe-WM old,alien,1,6634,180.0
CoRe-WM old,alien,1,7357,190.0
CoRe-WM old,alien,1,8141,260.0
CoRe-WM old,alien,1,8857,220.0
CoRe-WM old,alien,1,9377,150.0
CoRe-WM old,alien,1,10314,680.0
CoRe-WM old,alien,1,11213,150.0
CoRe-WM old,alien,1,11811,240.0
CoRe-WM old,alien,1,12441,250.0
CoRe-WM old,alien,1,12985,250.0
CoRe-WM old,alien,1,13677,220.0
CoRe-WM old,alien,1,14757,370.0
CoRe-WM old,alien,1,15562,270.0
CoRe-WM old,alien,1,16226,220.0
CoRe-WM old,alien,1,16756,100.0
CoRe-WM old,alien,1,17299,250.0
CoRe-WM old,alien,1,17863,340.0
CoRe-WM old,alien,1,18329,140.0
CoRe-WM old,alien,1,18693,30.0
CoRe-WM old,alien,1,19193,80.0
CoRe-WM old,alien,1,19582,140.0
CoRe-WM old,alien,1,20374,220.0
CoRe-WM old,alien,1,20926,140.0
CoRe-WM old,alien,1,21750,290.0
CoRe-WM old,alien,1,22321,240.0
CoRe-WM old,alien,1,22868,160.0
CoRe-WM old,alien,1,23399,160.0
CoRe-WM old,alien,1,23996,160.0
CoRe-WM old,alien,1,24568,300.0
CoRe-WM old,alien,1,25276,330.0
CoRe-WM old,alien,1,25925,230.0
CoRe-WM old,alien,1,26482,250.0
CoRe-WM old,alien,1,27066,300.0
CoRe-WM old,alien,1,27605,270.0
CoRe-WM old,alien,1,28369,290.0
CoRe-WM old,alien,1,28915,160.0
CoRe-WM old,alien,1,29565,310.0
CoRe-WM old,alien,1,30118,290.0
CoRe-WM old,alien,1,30724,180.0
CoRe-WM old,alien,1,31374,310.0
CoRe-WM old,alien,1,32028,220.0
CoRe-WM old,alien,1,32719,440.0
CoRe-WM old,alien,1,33312,200.0
CoRe-WM old,alien,1,34382,240.0
CoRe-WM old,alien,1,35378,310.0
CoRe-WM old,alien,1,35829,390.0
CoRe-WM old,alien,1,36504,200.0
CoRe-WM old,alien,1,37045,310.0
CoRe-WM old,alien,1,37587,330.0
CoRe-WM old,alien,1,38285,400.0
CoRe-WM old,alien,1,38907,360.0
CoRe-WM old,alien,1,39291,360.0
CoRe-WM old,alien,1,39987,350.0
CoRe-WM old,alien,1,40553,240.0
CoRe-WM old,alien,1,41424,870.0
CoRe-WM old,alien,1,42380,370.0
CoRe-WM old,alien,1,42715,350.0
CoRe-WM old,alien,1,43272,410.0
CoRe-WM old,alien,1,43711,340.0
CoRe-WM old,alien,1,44188,370.0
CoRe-WM old,alien,1,44672,270.0
CoRe-WM old,alien,1,45132,210.0
CoRe-WM old,alien,1,45848,430.0
CoRe-WM old,alien,1,46419,400.0
CoRe-WM old,alien,1,47302,400.0
CoRe-WM old,alien,1,47983,400.0
CoRe-WM old,alien,1,48587,300.0
CoRe-WM old,alien,1,49174,430.0
CoRe-WM old,alien,1,49747,480.0
CoRe-WM old,alien,1,50335,320.0
CoRe-WM old,alien,1,51315,570.0
CoRe-WM old,alien,1,51747,320.0
CoRe-WM old,alien,1,52102,300.0
CoRe-WM old,alien,1,52577,400.0
CoRe-WM old,alien,1,53050,350.0
CoRe-WM old,alien,1,53431,350.0
CoRe-WM old,alien,1,54160,950.0
CoRe-WM old,alien,1,54544,300.0
CoRe-WM old,alien,1,55191,360.0
CoRe-WM old,alien,1,55712,490.0
CoRe-WM old,alien,1,56357,440.0
CoRe-WM old,alien,1,56863,430.0
CoRe-WM old,alien,1,57413,1000.0
CoRe-WM old,alien,1,57888,340.0
CoRe-WM old,alien,1,58434,370.0
CoRe-WM old,alien,1,59184,430.0
CoRe-WM old,alien,1,59828,410.0
CoRe-WM old,alien,1,60462,300.0
CoRe-WM old,alien,1,61054,360.0
CoRe-WM old,alien,1,61446,390.0
CoRe-WM old,alien,1,62104,420.0
CoRe-WM old,alien,1,62685,450.0
CoRe-WM old,alien,1,63186,330.0
CoRe-WM old,alien,1,63898,440.0
CoRe-WM old,alien,1,64397,230.0
CoRe-WM old,alien,1,64852,250.0
CoRe-WM old,alien,1,65471,270.0
CoRe-WM old,alien,1,66052,410.0
CoRe-WM old,alien,1,66867,510.0
CoRe-WM old,alien,1,67335,210.0
CoRe-WM old,alien,1,67716,260.0
CoRe-WM old,alien,1,68528,1860.0
CoRe-WM old,alien,1,69342,430.0
CoRe-WM old,alien,1,69814,320.0
CoRe-WM old,alien,1,70191,370.0
CoRe-WM old,alien,1,70740,370.0
CoRe-WM old,alien,1,71403,870.0
CoRe-WM old,alien,1,71743,360.0
CoRe-WM old,alien,1,72318,490.0
CoRe-WM old,alien,1,72805,330.0
CoRe-WM old,alien,1,73191,320.0
CoRe-WM old,alien,1,73803,440.0
CoRe-WM old,alien,1,74305,400.0
CoRe-WM old,alien,1,75179,910.0
CoRe-WM old,alien,1,75632,400.0
CoRe-WM old,alien,1,76159,340.0
CoRe-WM old,alien,1,76903,320.0
CoRe-WM old,alien,1,77290,410.0
CoRe-WM old,alien,1,77973,440.0
CoRe-WM old,alien,1,78393,370.0
CoRe-WM old,alien,1,78853,420.0
CoRe-WM old,alien,1,79287,370.0
CoRe-WM old,alien,1,79646,290.0
CoRe-WM old,alien,1,80157,350.0
CoRe-WM old,alien,1,80639,400.0
CoRe-WM old,alien,1,81104,360.0
CoRe-WM old,alien,1,81535,360.0
CoRe-WM old,alien,1,82182,410.0
CoRe-WM old,alien,1,82611,360.0
CoRe-WM old,alien,1,83193,400.0
CoRe-WM old,alien,1,83534,290.0
CoRe-WM old,alien,1,84049,430.0
CoRe-WM old,alien,1,84854,410.0
CoRe-WM old,alien,1,85403,490.0
CoRe-WM old,alien,1,86043,450.0
CoRe-WM old,alien,1,86705,450.0
CoRe-WM old,alien,1,87113,320.0
CoRe-WM old,alien,1,87539,410.0
CoRe-WM old,alien,1,88068,410.0
CoRe-WM old,alien,1,88567,600.0
CoRe-WM old,alien,1,88975,370.0
CoRe-WM old,alien,1,89765,550.0
CoRe-WM old,alien,1,90239,450.0
CoRe-WM old,alien,1,90687,540.0
CoRe-WM old,alien,1,91000,360.0
CoRe-WM old,alien,1,91393,430.0
CoRe-WM old,alien,1,91858,370.0
CoRe-WM old,alien,1,92546,630.0
CoRe-WM old,alien,1,92995,370.0
CoRe-WM old,alien,1,93373,320.0
CoRe-WM old,alien,1,94102,410.0
CoRe-WM old,alien,1,94501,400.0
CoRe-WM old,alien,1,95091,470.0
CoRe-WM old,alien,1,95739,370.0
CoRe-WM old,alien,1,96144,440.0
CoRe-WM old,alien,1,96562,400.0
CoRe-WM old,alien,1,96948,420.0
CoRe-WM old,alien,1,97675,1150.0
CoRe-WM old,alien,1,98072,350.0
CoRe-WM old,alien,1,98561,460.0
CoRe-WM old,alien,1,99140,880.0
CoRe-WM old,alien,1,99551,530.0
CoRe-WM old,alien,2,671,260.0
CoRe-WM old,alien,2,1290,90.0
CoRe-WM old,alien,2,2097,780.0
CoRe-WM old,alien,2,2925,240.0
CoRe-WM old,alien,2,3726,310.0
CoRe-WM old,alien,2,4370,140.0
CoRe-WM old,alien,2,4914,110.0
CoRe-WM old,alien,2,5451,110.0
CoRe-WM old,alien,2,6142,270.0
CoRe-WM old,alien,2,6778,130.0
CoRe-WM old,alien,2,7224,140.0
