game,training_seed,checkpoint,episodes,random,human,return_mean,hns,checkpoint_hash
alien,0,100000,100,227.8,7127.7,637.8,0.05942115103117436,9880c2a8fc42308d70193c21f9c294c0923556ecea588b639332ee1678163d51
amidar,0,100000,100,5.8,1719.5,111.76,0.061831125634591824,d8612929f6acc8008add61ceae4a9a79a180e5a572ed1b898df55fcd920a1631
assault,0,100000,100,222.4,742.0,613.62,0.7529253271747498,83567cd28cfdc9825eb58a64e62a4c212178ba01881a003a323a1ac4381a2a83
asterix,0,100000,100,210.0,8503.3,504.0,0.03545030325684589,38d12c4fdf77b9fb4574c20fdc1cf566e0a3c65f9b5d05e3ef720fa73e3dbd0f
bank_heist,0,100000,100,14.2,753.1,37.8,0.031939369332791984,67b324c5e4c94ae9d63b9049ea86c3ef229519f0fff7331ff1d025052c7e319f
battle_zone,0,100000,100,2360.0,37187.5,18290.0,0.45739717177517764,ba1329b8e8d77f26802f1cd4c289ba1ff91c52c8ed332ff8270b0d1998913251
boxing,0,100000,100,0.1,12.1,41.39,3.4408333333333334,5f4aa1d955f50480c783e9aefd0d218f3a939f056b0ad69fe1a56e95f60276af
breakout,0,100000,100,1.7,30.5,7.49,0.20104166666666667,81a0f807d004a579b8d1d1fff70173a1d2003c0c0c9e43251d294fb0189f0db0
chopper_command,0,100000,100,811.0,7387.8,1012.0,0.030561975428779954,d089116d7ed12c7dc44eca0187620df221478147689c007b7898d1ebf687eafc
crazy_climber,0,100000,100,10780.5,35829.4,70558.0,2.386432138736631,cdf28e41fb924b8907e6906c425319586075054cdd5724a73f5f332945256ba2
demon_attack,0,100000,100,152.1,1971.0,182.55,0.01674088734949696,5b0a8be2deb05652f4253b8d5d4a6f62d8eeedf1a9a008789c8329d49bcb6667
freeway,0,100000,100,0.0,29.6,0.0,0.0,179c67532a84a7676d5538f96f5a2296f3ced4b77fd48c42ce649354b6828a77
frostbite,0,100000,100,65.2,4334.7,2921.4,0.6689776320412227,02a644ae42fba413683ef1539095cf46d32962db116257e720a4d87a731bc433
gopher,0,100000,100,257.6,2412.5,1029.2,0.3580676597521927,e4b3d558ec3a212607d586801aaea0e16f980f9eab241323f33b8e9aea0b7820
hero,0,100000,100,1027.0,30826.4,7626.6,0.22146754632643612,cbd1ee5aec8c6e4b43b811e735e9931c883e38f473407f060893c467bdc96aec
jamesbond,0,100000,100,29.0,302.8,191.5,0.5934989043097151,c9de5fc0abfbf4693e94ed0af45bd822294056c14cd05cabd47057025b774954
kangaroo,0,100000,100,52.0,3035.0,596.0,0.18236674488769694,6a7087801736c4809258253f6ba54bd402bd9853e87ae54fdeb5a4eec1e5dc2a
krull,0,100000,100,1598.0,2665.5,12106.6,9.844121779859485,9e426266136ce70660c0b7fa150626e3c95881d831f4283b6c8c5c291ffda245
kung_fu_master,0,100000,100,258.5,22736.3,29438.0,1.2981475055387983,9169ed76901ca3ff947765df7a7f4d3628643595dffcdfad7335494e718a7d17
ms_pacman,0,100000,100,307.3,6951.6,1072.2,0.11512123173246243,08211e94edbddd64b26311b24c37109e18c17daf8799b9f745fc8214c9184b31
pong,0,100000,100,-20.7,14.6,-4.91,0.4473087818696884,8f6caf4af17761ebb5c4022b81d84202334df922d0b67ab6f21d8affe79e031c
private_eye,0,100000,100,24.9,69571.3,1496.79,0.02116414365085755,86716c22e78968cccbb3aef638d8f487e24c91690c0c86e35ec67b1ef5343026
qbert,0,100000,100,163.9,13455.0,630.0,0.035068579726283,7f832bb985bae869ef4e7a389e137e87578cf6a08ca2f7637793ad6aac72d3dc
road_runner,0,100000,100,11.5,7845.0,14620.0,1.8648752154209485,447da9b495cff18868dc47bf745950f278db254eaa7e7c727731c894f0377ff8
seaquest,0,100000,100,68.4,42054.7,237.2,0.00402035902187142,332ce825d2ea373dbb99d80305134689093ccc91b23db14aa6bfcdaaef748c1b
up_n_down,0,100000,100,533.4,11693.2,196432.5,17.553997383465653,3689389846cac13778e71d888cfe4d4c85ba5a4777a6f5305c5f1d6fe0896a3d
