method,game,seed,agent_steps,return
Reborn + Harmony,alien,0,539,180.0
Reborn + Harmony,alien,0,1130,130.0
Reborn + Harmony,alien,0,1998,270.0
Reborn + Harmony,alien,0,2866,210.0
Reborn + Harmony,alien,0,3616,190.0
Reborn + Harmony,alien,0,4111,130.0
Reborn + Harmony,alien,0,4773,190.0
Reborn + Harmony,alien,0,5744,260.0
Reborn + Harmony,alien,0,6283,190.0
Reborn + Harmony,alien,0,6970,200.0
Reborn + Harmony,alien,0,7528,160.0
Reborn + Harmony,alien,0,8190,260.0
Reborn + Harmony,alien,0,8908,260.0
Reborn + Harmony,alien,0,9561,190.0
Reborn + Harmony,alien,0,10430,210.0
Reborn + Harmony,alien,0,11225,190.0
Reborn + Harmony,alien,0,11839,140.0
Reborn + Harmony,alien,0,12398,140.0
Reborn + Harmony,alien,0,12871,190.0
Reborn + Harmony,alien,0,13455,260.0
Reborn + Harmony,alien,0,14117,230.0
Reborn + Harmony,alien,0,14863,250.0
Reborn + Harmony,alien,0,15447,250.0
Reborn + Harmony,alien,0,16101,240.0
Reborn + Harmony,alien,0,16507,340.0
Reborn + Harmony,alien,0,17367,160.0
Reborn + Harmony,alien,0,18009,270.0
Reborn + Harmony,alien,0,18531,390.0
Reborn + Harmony,alien,0,18955,310.0
Reborn + Harmony,alien,0,19312,200.0
Reborn + Harmony,alien,0,19813,150.0
Reborn + Harmony,alien,0,20236,120.0
Reborn + Harmony,alien,0,20722,40.0
Reborn + Harmony,alien,0,21148,130.0
Reborn + Harmony,alien,0,21536,140.0
Reborn + Harmony,alien,0,21941,100.0
Reborn + Harmony,alien,0,22430,100.0
Reborn + Harmony,alien,0,23056,200.0
Reborn + Harmony,alien,0,23457,260.0
Reborn + Harmony,alien,0,24411,880.0
Reborn + Harmony,alien,0,24875,180.0
Reborn + Harmony,alien,0,25663,360.0
Reborn + Harmony,alien,0,26008,80.0
Reborn + Harmony,alien,0,26527,170.0
Reborn + Harmony,alien,0,27217,230.0
Reborn + Harmony,alien,0,27700,230.0
Reborn + Harmony,alien,0,28371,220.0
Reborn + Harmony,alien,0,28715,220.0
Reborn + Harmony,alien,0,29111,230.0
Reborn + Harmony,alien,0,29819,290.0
Reborn + Harmony,alien,0,30527,300.0
Reborn + Harmony,alien,0,31157,230.0
Reborn + Harmony,alien,0,31854,320.0
Reborn + Harmony,alien,0,32544,370.0
Reborn + Harmony,alien,0,33138,230.0
Reborn + Harmony,alien,0,33673,280.0
Reborn + Harmony,alien,0,34158,270.0
Reborn + Harmony,alien,0,34486,270.0
Reborn + Harmony,alien,0,35161,290.0
Reborn + Harmony,alien,0,35810,230.0
Reborn + Harmony,alien,0,36444,290.0
Reborn + Harmony,alien,0,37067,150.0
Reborn + Harmony,alien,0,37582,280.0
Reborn + Harmony,alien,0,38676,270.0
Reborn + Harmony,alien,0,39261,260.0
Reborn + Harmony,alien,0,39868,270.0
Reborn + Harmony,alien,0,40369,220.0
Reborn + Harmony,alien,0,40852,260.0
Reborn + Harmony,alien,0,41440,410.0
Reborn + Harmony,alien,0,41762,270.0
Reborn + Harmony,alien,0,42385,480.0
Reborn + Harmony,alien,0,42916,230.0
Reborn + Harmony,alien,0,43473,230.0
Reborn + Harmony,alien,0,44316,190.0
Reborn + Harmony,alien,0,45119,340.0
Reborn + Harmony,alien,0,45973,200.0
Reborn + Harmony,alien,0,46621,330.0
Reborn + Harmony,alien,0,47126,340.0
Reborn + Harmony,alien,0,47708,400.0
Reborn + Harmony,alien,0,48191,270.0
Reborn + Harmony,alien,0,48935,490.0
Reborn + Harmony,alien,0,49580,290.0
Reborn + Harmony,alien,0,50335,440.0
Reborn + Harmony,alien,0,50826,220.0
Reborn + Harmony,alien,0,51347,320.0
Reborn + Harmony,alien,0,51741,350.0
Reborn + Harmony,alien,0,52293,380.0
Reborn + Harmony,alien,0,53005,340.0
Reborn + Harmony,alien,0,53490,330.0
Reborn + Harmony,alien,0,54303,390.0
Reborn + Harmony,alien,0,55111,340.0
Reborn + Harmony,alien,0,55914,330.0
Reborn + Harmony,alien,0,56678,890.0
Reborn + Harmony,alien,0,57240,400.0
Reborn + Harmony,alien,0,57774,380.0
Reborn + Harmony,alien,0,58524,430.0
Reborn + Harmony,alien,0,59220,400.0
Reborn + Harmony,alien,0,59870,410.0
Reborn + Harmony,alien,0,60458,400.0
Reborn + Harmony,alien,0,60989,450.0
Reborn + Harmony,alien,0,61849,450.0
Reborn + Harmony,alien,0,62436,370.0
Reborn + Harmony,alien,0,63104,400.0
Reborn + Harmony,alien,0,63717,360.0
Reborn + Harmony,alien,0,64683,490.0
Reborn + Harmony,alien,0,65233,460.0
Reborn + Harmony,alien,0,65889,320.0
Reborn + Harmony,alien,0,66552,900.0
Reborn + Harmony,alien,0,67205,280.0
Reborn + Harmony,alien,0,67814,430.0
Reborn + Harmony,alien,0,68605,1060.0
Reborn + Harmony,alien,0,69296,300.0
Reborn + Harmony,alien,0,70085,500.0
Reborn + Harmony,alien,0,70507,320.0
Reborn + Harmony,alien,0,71321,1010.0
Reborn + Harmony,alien,0,72035,440.0
Reborn + Harmony,alien,0,72793,520.0
Reborn + Harmony,alien,0,73667,500.0
Reborn + Harmony,alien,0,74397,390.0
Reborn + Harmony,alien,0,75032,450.0
Reborn + Harmony,alien,0,75546,390.0
Reborn + Harmony,alien,0,76633,390.0
Reborn + Harmony,alien,0,77479,360.0
Reborn + Harmony,alien,0,78372,430.0
Reborn + Harmony,alien,0,79190,360.0
Reborn + Harmony,alien,0,79716,440.0
Reborn + Harmony,alien,0,80588,370.0
Reborn + Harmony,alien,0,81325,950.0
Reborn + Harmony,alien,0,82182,520.0
Reborn + Harmony,alien,0,82934,460.0
Reborn + Harmony,alien,0,83698,480.0
Reborn + Harmony,alien,0,84360,410.0
Reborn + Harmony,alien,0,84998,470.0
Reborn + Harmony,alien,0,85729,490.0
Reborn + Harmony,alien,0,86314,460.0
Reborn + Harmony,alien,0,86951,450.0
Reborn + Harmony,alien,0,87760,440.0
Reborn + Harmony,alien,0,88528,410.0
Reborn + Harmony,alien,0,89256,520.0
Reborn + Harmony,alien,0,89970,430.0
Reborn + Harmony,alien,0,90718,400.0
Reborn + Harmony,alien,0,91490,470.0
Reborn + Harmony,alien,0,92047,540.0
Reborn + Harmony,alien,0,92772,610.0
Reborn + Harmony,alien,0,93486,1080.0
Reborn + Harmony,alien,0,94216,500.0
Reborn + Harmony,alien,0,94997,480.0
Reborn + Harmony,alien,0,95658,490.0
Reborn + Harmony,alien,0,96760,1000.0
Reborn + Harmony,alien,0,97312,400.0
Reborn + Harmony,alien,0,98188,490.0
Reborn + Harmony,alien,0,98973,940.0
Reborn + Harmony,alien,0,99898,610.0
Reborn + Harmony,amidar,0,578,1.0
Reborn + Harmony,amidar,0,1108,0.0
Reborn + Harmony,amidar,0,1701,3.0
Reborn + Harmony,amidar,0,2266,6.0
Reborn + Harmony,amidar,0,2813,0.0
Reborn + Harmony,amidar,0,3428,4.0
Reborn + Harmony,amidar,0,3967,0.0
Reborn + Harmony,amidar,0,4547,1.0
Reborn + Harmony,amidar,0,5106,0.0
Reborn + Harmony,amidar,0,5656,0.0
Reborn + Harmony,amidar,0,6234,6.0
Reborn + Harmony,amidar,0,6836,6.0
Reborn + Harmony,amidar,0,7412,1.0
Reborn + Harmony,amidar,0,7960,3.0
Reborn + Harmony,amidar,0,8477,0.0
Reborn + Harmony,amidar,0,9130,9.0
Reborn + Harmony,amidar,0,9796,3.0
Reborn + Harmony,amidar,0,10399,3.0
Reborn + Harmony,amidar,0,11329,72.0
Reborn + Harmony,amidar,0,12077,33.0
Reborn + Harmony,amidar,0,12482,12.0
Reborn + Harmony,amidar,0,12883,19.0
Reborn + Harmony,amidar,0,13478,31.0
Reborn + Harmony,amidar,0,13869,12.0
Reborn + Harmony,amidar,0,14263,12.0
Reborn + Harmony,amidar,0,14659,12.0
Reborn + Harmony,amidar,0,15052,12.0
Reborn + Harmony,amidar,0,15442,12.0
Reborn + Harmony,amidar,0,15832,12.0
Reborn + Harmony,amidar,0,16226,12.0
Reborn + Harmony,amidar,0,16617,12.0
Reborn + Harmony,amidar,0,17009,12.0
Reborn + Harmony,amidar,0,17402,12.0
Reborn + Harmony,amidar,0,17793,12.0
Reborn + Harmony,amidar,0,18186,12.0
Reborn + Harmony,amidar,0,18577,23.0
Reborn + Harmony,amidar,0,18967,12.0
Reborn + Harmony,amidar,0,19362,12.0
Reborn + Harmony,amidar,0,19756,12.0
Reborn + Harmony,amidar,0,20145,12.0
Reborn + Harmony,amidar,0,20539,12.0
Reborn + Harmony,amidar,0,20941,12.0
Reborn + Harmony,amidar,0,21330,12.0
Reborn + Harmony,amidar,0,21999,33.0
Reborn + Harmony,amidar,0,22590,52.0
Reborn + Harmony,amidar,0,23205,58.0
Reborn + Harmony,amidar,0,23841,46.0
Reborn + Harmony,amidar,0,24328,33.0
Reborn + Harmony,amidar,0,25062,71.0
Reborn + Harmony,amidar,0,25816,49.0
Reborn + Harmony,amidar,0,26301,31.0
Reborn + Harmony,amidar,0,26963,42.0
Reborn + Harmony,amidar,0,27616,50.0
Reborn + Harmony,amidar,0,28042,82.0
Reborn + Harmony,amidar,0,28803,64.0
Reborn + Harmony,amidar,0,29569,63.0
Reborn + Harmony,amidar,0,30374,66.0
Reborn + Harmony,amidar,0,31373,66.0
Reborn + Harmony,amidar,0,32337,63.0
Reborn + Harmony,amidar,0,32926,35.0
Reborn + Harmony,amidar,0,33923,55.0
Reborn + Harmony,amidar,0,34628,75.0
Reborn + Harmony,amidar,0,35450,67.0
Reborn + Harmony,amidar,0,36328,44.0
Reborn + Harmony,amidar,0,37110,66.0
Reborn + Harmony,amidar,0,37728,52.0
Reborn + Harmony,amidar,0,38345,52.0
