role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,all1,boxing,0,10000,1.3,10
ablation,all1,boxing,0,20000,52.9,10
ablation,all1,boxing,0,30000,61.4,10
ablation,all1,boxing,0,40000,67.4,10
ablation,all1,boxing,0,50000,76.5,10
ablation,all1,boxing,0,60000,73.1,10
ablation,all1,boxing,0,70000,76.5,10
ablation,all1,boxing,0,80000,84.8,10
ablation,all1,boxing,0,90000,81.3,10
ablation,all1,boxing,0,100000,84.96,100
ablation,all1,up_n_down,0,10000,781.0,10
ablation,all1,up_n_down,0,20000,32165.0,10
ablation,all1,up_n_down,0,30000,66276.0,10
ablation,all1,up_n_down,0,40000,20264.0,10
ablation,all1,up_n_down,0,50000,74236.0,10
ablation,all1,up_n_down,0,60000,79515.0,10
ablation,all1,up_n_down,0,70000,8877.0,10
ablation,all1,up_n_down,0,80000,6244.0,10
ablation,all1,up_n_down,0,90000,64925.0,10
ablation,all1,up_n_down,0,100000,20576.1,100
ablation,all1,frostbite,0,10000,83.0,10
ablation,all1,frostbite,0,20000,431.0,10
ablation,all1,frostbite,0,30000,609.0,10
ablation,all1,frostbite,0,40000,220.0,10
ablation,all1,frostbite,0,50000,1408.0,10
ablation,all1,frostbite,0,60000,1470.0,10
ablation,all1,frostbite,0,70000,1388.0,10
ablation,all1,frostbite,0,80000,1476.0,10
ablation,all1,frostbite,0,90000,1422.0,10
ablation,all1,frostbite,0,100000,1670.6,100
ablation,all1,road_runner,0,10000,320.0,10
ablation,all1,road_runner,0,20000,1250.0,10
ablation,all1,road_runner,0,30000,13740.0,10
ablation,all1,road_runner,0,40000,13180.0,10
ablation,all1,road_runner,0,50000,15090.0,10
ablation,all1,road_runner,0,60000,15190.0,10
ablation,all1,road_runner,0,70000,15600.0,10
ablation,all1,road_runner,0,80000,16340.0,10
ablation,all1,road_runner,0,90000,15050.0,10
ablation,all1,road_runner,0,100000,14847.0,100
