role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,all1_validnorm,boxing,0,10000,0,8.0,1780.0
ablation,all1_validnorm,boxing,0,10000,1,4.0,1781.0
ablation,all1_validnorm,boxing,0,10000,2,-2.0,1786.0
ablation,all1_validnorm,boxing,0,10000,3,0.0,1784.0
ablation,all1_validnorm,boxing,0,10000,4,-1.0,1784.0
ablation,all1_validnorm,boxing,0,10000,5,1.0,1785.0
ablation,all1_validnorm,boxing,0,10000,6,14.0,1785.0
ablation,all1_validnorm,boxing,0,10000,7,4.0,1779.0
ablation,all1_validnorm,boxing,0,10000,8,-2.0,1786.0
ablation,all1_validnorm,boxing,0,10000,9,3.0,1780.0
ablation,all1_validnorm,boxing,0,20000,0,33.0,1780.0
ablation,all1_validnorm,boxing,0,20000,1,47.0,1781.0
ablation,all1_validnorm,boxing,0,20000,2,54.0,1786.0
ablation,all1_validnorm,boxing,0,20000,3,40.0,1784.0
ablation,all1_validnorm,boxing,0,20000,4,42.0,1784.0
ablation,all1_validnorm,boxing,0,20000,5,41.0,1785.0
ablation,all1_validnorm,boxing,0,20000,6,21.0,1785.0
ablation,all1_validnorm,boxing,0,20000,7,77.0,1779.0
ablation,all1_validnorm,boxing,0,20000,8,42.0,1786.0
ablation,all1_validnorm,boxing,0,20000,9,53.0,1780.0
ablation,all1_validnorm,boxing,0,30000,0,65.0,1747.0
ablation,all1_validnorm,boxing,0,30000,1,14.0,1781.0
ablation,all1_validnorm,boxing,0,30000,2,27.0,1786.0
ablation,all1_validnorm,boxing,0,30000,3,48.0,1784.0
ablation,all1_validnorm,boxing,0,30000,4,52.0,1784.0
ablation,all1_validnorm,boxing,0,30000,5,69.0,1785.0
ablation,all1_validnorm,boxing,0,30000,6,30.0,1785.0
ablation,all1_validnorm,boxing,0,30000,7,47.0,1779.0
ablation,all1_validnorm,boxing,0,30000,8,52.0,1786.0
ablation,all1_validnorm,boxing,0,30000,9,39.0,1761.0
ablation,all1_validnorm,boxing,0,40000,0,70.0,1780.0
ablation,all1_validnorm,boxing,0,40000,1,68.0,1781.0
ablation,all1_validnorm,boxing,0,40000,2,56.0,1786.0
ablation,all1_validnorm,boxing,0,40000,3,76.0,1724.0
ablation,all1_validnorm,boxing,0,40000,4,83.0,1769.0
ablation,all1_validnorm,boxing,0,40000,5,67.0,1785.0
ablation,all1_validnorm,boxing,0,40000,6,56.0,1785.0
ablation,all1_validnorm,boxing,0,40000,7,80.0,1665.0
ablation,all1_validnorm,boxing,0,40000,8,47.0,1786.0
ablation,all1_validnorm,boxing,0,40000,9,45.0,1780.0
ablation,all1_validnorm,boxing,0,50000,0,62.0,1459.0
ablation,all1_validnorm,boxing,0,50000,1,74.0,1746.0
ablation,all1_validnorm,boxing,0,50000,2,79.0,1536.0
ablation,all1_validnorm,boxing,0,50000,3,81.0,1490.0
ablation,all1_validnorm,boxing,0,50000,4,77.0,1425.0
ablation,all1_validnorm,boxing,0,50000,5,83.0,1576.0
ablation,all1_validnorm,boxing,0,50000,6,76.0,1671.0
ablation,all1_validnorm,boxing,0,50000,7,68.0,1617.0
ablation,all1_validnorm,boxing,0,50000,8,70.0,1745.0
ablation,all1_validnorm,boxing,0,50000,9,80.0,1544.0
ablation,all1_validnorm,boxing,0,60000,0,81.0,1358.0
ablation,all1_validnorm,boxing,0,60000,1,72.0,1643.0
ablation,all1_validnorm,boxing,0,60000,2,74.0,1725.0
ablation,all1_validnorm,boxing,0,60000,3,77.0,1690.0
ablation,all1_validnorm,boxing,0,60000,4,81.0,1655.0
ablation,all1_validnorm,boxing,0,60000,5,87.0,1426.0
ablation,all1_validnorm,boxing,0,60000,6,59.0,1785.0
ablation,all1_validnorm,boxing,0,60000,7,76.0,1751.0
ablation,all1_validnorm,boxing,0,60000,8,73.0,1647.0
ablation,all1_validnorm,boxing,0,60000,9,74.0,1436.0
ablation,all1_validnorm,boxing,0,70000,0,66.0,1599.0
ablation,all1_validnorm,boxing,0,70000,1,78.0,1724.0
ablation,all1_validnorm,boxing,0,70000,2,84.0,1427.0
ablation,all1_validnorm,boxing,0,70000,3,76.0,1379.0
ablation,all1_validnorm,boxing,0,70000,4,66.0,1496.0
ablation,all1_validnorm,boxing,0,70000,5,81.0,1323.0
ablation,all1_validnorm,boxing,0,70000,6,80.0,1676.0
ablation,all1_validnorm,boxing,0,70000,7,66.0,1736.0
ablation,all1_validnorm,boxing,0,70000,8,52.0,1786.0
ablation,all1_validnorm,boxing,0,70000,9,60.0,1729.0
ablation,all1_validnorm,boxing,0,80000,0,77.0,1566.0
ablation,all1_validnorm,boxing,0,80000,1,66.0,1781.0
ablation,all1_validnorm,boxing,0,80000,2,81.0,1552.0
ablation,all1_validnorm,boxing,0,80000,3,90.0,1402.0
ablation,all1_validnorm,boxing,0,80000,4,66.0,1648.0
ablation,all1_validnorm,boxing,0,80000,5,83.0,1646.0
ablation,all1_validnorm,boxing,0,80000,6,76.0,1730.0
ablation,all1_validnorm,boxing,0,80000,7,92.0,1318.0
ablation,all1_validnorm,boxing,0,80000,8,79.0,1520.0
ablation,all1_validnorm,boxing,0,80000,9,75.0,1615.0
ablation,all1_validnorm,boxing,0,90000,0,77.0,1666.0
ablation,all1_validnorm,boxing,0,90000,1,84.0,1463.0
ablation,all1_validnorm,boxing,0,90000,2,85.0,1205.0
ablation,all1_validnorm,boxing,0,90000,3,87.0,1234.0
ablation,all1_validnorm,boxing,0,90000,4,85.0,1541.0
ablation,all1_validnorm,boxing,0,90000,5,86.0,1647.0
