role,arm,game,seed,agent_steps,mean_return,episodes
comparator,all1,boxing,0,10000,1.3,10
comparator,all1,boxing,0,20000,52.9,10
comparator,all1,boxing,0,30000,61.4,10
comparator,all1,boxing,0,40000,67.4,10
comparator,all1,boxing,0,50000,76.5,10
comparator,all1,boxing,0,60000,73.1,10
comparator,all1,boxing,0,70000,76.5,10
comparator,all1,boxing,0,80000,84.8,10
comparator,all1,boxing,0,90000,81.3,10
comparator,all1,boxing,0,100000,84.96,100
comparator,all1,up_n_down,0,10000,781.0,10
comparator,all1,up_n_down,0,20000,32165.0,10
comparator,all1,up_n_down,0,30000,66276.0,10
comparator,all1,up_n_down,0,40000,20264.0,10
comparator,all1,up_n_down,0,50000,74236.0,10
comparator,all1,up_n_down,0,60000,79515.0,10
comparator,all1,up_n_down,0,70000,8877.0,10
comparator,all1,up_n_down,0,80000,6244.0,10
comparator,all1,up_n_down,0,90000,64925.0,10
comparator,all1,up_n_down,0,100000,20576.1,100
comparator,all1,frostbite,0,10000,83.0,10
comparator,all1,frostbite,0,20000,431.0,10
comparator,all1,frostbite,0,30000,609.0,10
comparator,all1,frostbite,0,40000,220.0,10
comparator,all1,frostbite,0,50000,1408.0,10
comparator,all1,frostbite,0,60000,1470.0,10
comparator,all1,frostbite,0,70000,1388.0,10
comparator,all1,frostbite,0,80000,1476.0,10
comparator,all1,frostbite,0,90000,1422.0,10
comparator,all1,frostbite,0,100000,1670.6,100
comparator,all1,road_runner,0,10000,320.0,10
comparator,all1,road_runner,0,20000,1250.0,10
comparator,all1,road_runner,0,30000,13740.0,10
comparator,all1,road_runner,0,40000,13180.0,10
comparator,all1,road_runner,0,50000,15090.0,10
comparator,all1,road_runner,0,60000,15190.0,10
comparator,all1,road_runner,0,70000,15600.0,10
comparator,all1,road_runner,0,80000,16340.0,10
comparator,all1,road_runner,0,90000,15050.0,10
comparator,all1,road_runner,0,100000,14847.0,100
ablation,all1_validnorm,boxing,0,10000,2.9,10
ablation,all1_validnorm,boxing,0,20000,45.0,10
ablation,all1_validnorm,boxing,0,30000,44.3,10
ablation,all1_validnorm,boxing,0,40000,64.8,10
ablation,all1_validnorm,boxing,0,50000,75.0,10
ablation,all1_validnorm,boxing,0,60000,75.4,10
ablation,all1_validnorm,boxing,0,70000,70.9,10
ablation,all1_validnorm,boxing,0,80000,78.5,10
ablation,all1_validnorm,boxing,0,90000,82.3,10
ablation,all1_validnorm,boxing,0,100000,77.02,100
ablation,all1_validnorm,up_n_down,0,10000,774.0,10
ablation,all1_validnorm,up_n_down,0,20000,2182.0,10
ablation,all1_validnorm,up_n_down,0,30000,1637.0,10
ablation,all1_validnorm,up_n_down,0,40000,20550.0,10
ablation,all1_validnorm,up_n_down,0,50000,7936.0,10
ablation,all1_validnorm,up_n_down,0,60000,14438.0,10
ablation,all1_validnorm,up_n_down,0,70000,30490.0,10
ablation,all1_validnorm,up_n_down,0,80000,33088.0,10
ablation,all1_validnorm,up_n_down,0,90000,27377.0,10
ablation,all1_validnorm,up_n_down,0,100000,65304.3,100
ablation,all1_validnorm,frostbite,0,10000,73.0,10
ablation,all1_validnorm,frostbite,0,20000,166.0,10
ablation,all1_validnorm,frostbite,0,30000,207.0,10
ablation,all1_validnorm,frostbite,0,40000,257.0,10
ablation,all1_validnorm,frostbite,0,50000,213.0,10
ablation,all1_validnorm,frostbite,0,60000,216.0,10
ablation,all1_validnorm,frostbite,0,70000,198.0,10
ablation,all1_validnorm,frostbite,0,80000,654.0,10
ablation,all1_validnorm,frostbite,0,90000,1422.0,10
ablation,all1_validnorm,frostbite,0,100000,1651.2,100
ablation,all1_validnorm,road_runner,0,10000,720.0,10
ablation,all1_validnorm,road_runner,0,20000,930.0,10
ablation,all1_validnorm,road_runner,0,30000,1300.0,10
ablation,all1_validnorm,road_runner,0,40000,960.0,10
ablation,all1_validnorm,road_runner,0,50000,6700.0,10
ablation,all1_validnorm,road_runner,0,60000,11570.0,10
ablation,all1_validnorm,road_runner,0,70000,15820.0,10
ablation,all1_validnorm,road_runner,0,80000,14000.0,10
ablation,all1_validnorm,road_runner,0,90000,13910.0,10
ablation,all1_validnorm,road_runner,0,100000,14054.0,100
