role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,baseline,boxing,0,10000,0,28.0,1780.0
ablation,baseline,boxing,0,10000,1,10.0,1781.0
ablation,baseline,boxing,0,10000,2,-1.0,1786.0
ablation,baseline,boxing,0,10000,3,22.0,1784.0
ablation,baseline,boxing,0,10000,4,1.0,1784.0
ablation,baseline,boxing,0,10000,5,8.0,1785.0
ablation,baseline,boxing,0,10000,6,-3.0,1785.0
ablation,baseline,boxing,0,10000,7,15.0,1779.0
ablation,baseline,boxing,0,10000,8,10.0,1786.0
ablation,baseline,boxing,0,10000,9,29.0,1780.0
ablation,baseline,boxing,0,20000,0,33.0,1780.0
ablation,baseline,boxing,0,20000,1,9.0,1781.0
ablation,baseline,boxing,0,20000,2,16.0,1786.0
ablation,baseline,boxing,0,20000,3,26.0,1784.0
ablation,baseline,boxing,0,20000,4,12.0,1784.0
ablation,baseline,boxing,0,20000,5,4.0,1785.0
ablation,baseline,boxing,0,20000,6,5.0,1785.0
ablation,baseline,boxing,0,20000,7,9.0,1779.0
ablation,baseline,boxing,0,20000,8,4.0,1786.0
ablation,baseline,boxing,0,20000,9,12.0,1780.0
ablation,baseline,boxing,0,30000,0,47.0,1780.0
ablation,baseline,boxing,0,30000,1,13.0,1781.0
ablation,baseline,boxing,0,30000,2,20.0,1786.0
ablation,baseline,boxing,0,30000,3,18.0,1784.0
ablation,baseline,boxing,0,30000,4,31.0,1784.0
ablation,baseline,boxing,0,30000,5,32.0,1785.0
ablation,baseline,boxing,0,30000,6,34.0,1785.0
ablation,baseline,boxing,0,30000,7,34.0,1779.0
ablation,baseline,boxing,0,30000,8,13.0,1786.0
ablation,baseline,boxing,0,30000,9,36.0,1780.0
ablation,baseline,boxing,0,40000,0,30.0,1780.0
ablation,baseline,boxing,0,40000,1,1.0,1781.0
ablation,baseline,boxing,0,40000,2,46.0,1786.0
ablation,baseline,boxing,0,40000,3,21.0,1784.0
ablation,baseline,boxing,0,40000,4,15.0,1784.0
ablation,baseline,boxing,0,40000,5,22.0,1785.0
ablation,baseline,boxing,0,40000,6,30.0,1785.0
ablation,baseline,boxing,0,40000,7,23.0,1779.0
ablation,baseline,boxing,0,40000,8,23.0,1786.0
ablation,baseline,boxing,0,40000,9,7.0,1780.0
ablation,baseline,boxing,0,50000,0,21.0,1780.0
ablation,baseline,boxing,0,50000,1,32.0,1781.0
ablation,baseline,boxing,0,50000,2,11.0,1786.0
ablation,baseline,boxing,0,50000,3,36.0,1784.0
ablation,baseline,boxing,0,50000,4,24.0,1784.0
ablation,baseline,boxing,0,50000,5,29.0,1785.0
ablation,baseline,boxing,0,50000,6,21.0,1785.0
ablation,baseline,boxing,0,50000,7,14.0,1779.0
ablation,baseline,boxing,0,50000,8,36.0,1786.0
ablation,baseline,boxing,0,50000,9,9.0,1780.0
ablation,baseline,boxing,0,60000,0,42.0,1780.0
ablation,baseline,boxing,0,60000,1,29.0,1781.0
ablation,baseline,boxing,0,60000,2,49.0,1786.0
ablation,baseline,boxing,0,60000,3,26.0,1784.0
ablation,baseline,boxing,0,60000,4,42.0,1784.0
ablation,baseline,boxing,0,60000,5,31.0,1785.0
ablation,baseline,boxing,0,60000,6,25.0,1785.0
ablation,baseline,boxing,0,60000,7,20.0,1779.0
ablation,baseline,boxing,0,60000,8,33.0,1786.0
ablation,baseline,boxing,0,60000,9,51.0,1780.0
ablation,baseline,boxing,0,70000,0,41.0,1780.0
ablation,baseline,boxing,0,70000,1,30.0,1781.0
ablation,baseline,boxing,0,70000,2,33.0,1786.0
ablation,baseline,boxing,0,70000,3,42.0,1784.0
ablation,baseline,boxing,0,70000,4,36.0,1784.0
ablation,baseline,boxing,0,70000,5,23.0,1785.0
ablation,baseline,boxing,0,70000,6,38.0,1785.0
ablation,baseline,boxing,0,70000,7,43.0,1779.0
ablation,baseline,boxing,0,70000,8,43.0,1786.0
ablation,baseline,boxing,0,70000,9,38.0,1780.0
ablation,baseline,boxing,0,80000,0,57.0,1780.0
ablation,baseline,boxing,0,80000,1,65.0,1781.0
ablation,baseline,boxing,0,80000,2,56.0,1786.0
ablation,baseline,boxing,0,80000,3,56.0,1784.0
ablation,baseline,boxing,0,80000,4,36.0,1784.0
ablation,baseline,boxing,0,80000,5,35.0,1785.0
ablation,baseline,boxing,0,80000,6,26.0,1785.0
ablation,baseline,boxing,0,80000,7,51.0,1779.0
ablation,baseline,boxing,0,80000,8,17.0,1786.0
ablation,baseline,boxing,0,80000,9,52.0,1780.0
ablation,baseline,boxing,0,90000,0,23.0,1780.0
ablation,baseline,boxing,0,90000,1,15.0,1781.0
ablation,baseline,boxing,0,90000,2,43.0,1786.0
ablation,baseline,boxing,0,90000,3,35.0,1784.0
ablation,baseline,boxing,0,90000,4,35.0,1784.0
ablation,baseline,boxing,0,90000,5,37.0,1785.0
ablation,baseline,boxing,0,90000,6,17.0,1785.0
ablation,baseline,boxing,0,90000,7,31.0,1779.0
ablation,baseline,boxing,0,90000,8,25.0,1786.0
ablation,baseline,boxing,0,90000,9,53.0,1780.0
ablation,baseline,boxing,0,100000,0,76.0,1720.0
ablation,baseline,boxing,0,100000,1,78.0,1495.0
ablation,baseline,boxing,0,100000,2,58.0,1786.0
ablation,baseline,boxing,0,100000,3,47.0,1784.0
ablation,baseline,boxing,0,100000,4,55.0,1784.0
ablation,baseline,boxing,0,100000,5,42.0,1785.0
ablation,baseline,boxing,0,100000,6,62.0,1785.0
ablation,baseline,boxing,0,100000,7,68.0,1779.0
ablation,baseline,boxing,0,100000,8,78.0,1655.0
ablation,baseline,boxing,0,100000,9,53.0,1780.0
ablation,baseline,boxing,0,100000,10,78.0,1751.0
ablation,baseline,boxing,0,100000,11,51.0,1784.0
ablation,baseline,boxing,0,100000,12,72.0,1710.0
ablation,baseline,boxing,0,100000,13,56.0,1782.0
ablation,baseline,boxing,0,100000,14,61.0,1781.0
ablation,baseline,boxing,0,100000,15,63.0,1782.0
ablation,baseline,boxing,0,100000,16,55.0,1780.0
ablation,baseline,boxing,0,100000,17,71.0,1783.0
ablation,baseline,boxing,0,100000,18,59.0,1782.0
ablation,baseline,boxing,0,100000,19,59.0,1780.0
ablation,baseline,boxing,0,100000,20,50.0,1781.0
ablation,baseline,boxing,0,100000,21,55.0,1783.0
ablation,baseline,boxing,0,100000,22,58.0,1784.0
ablation,baseline,boxing,0,100000,23,64.0,1781.0
ablation,baseline,boxing,0,100000,24,58.0,1784.0
ablation,baseline,boxing,0,100000,25,54.0,1786.0
ablation,baseline,boxing,0,100000,26,60.0,1784.0
ablation,baseline,boxing,0,100000,27,40.0,1780.0
ablation,baseline,boxing,0,100000,28,61.0,1781.0
ablation,baseline,boxing,0,100000,29,40.0,1784.0
ablation,baseline,boxing,0,100000,30,57.0,1781.0
ablation,baseline,boxing,0,100000,31,64.0,1782.0
ablation,baseline,boxing,0,100000,32,50.0,1783.0
ablation,baseline,boxing,0,100000,33,74.0,1776.0
ablation,baseline,boxing,0,100000,34,80.0,1696.0
ablation,baseline,boxing,0,100000,35,48.0,1781.0
ablation,baseline,boxing,0,100000,36,56.0,1780.0
ablation,baseline,boxing,0,100000,37,77.0,1703.0
ablation,baseline,boxing,0,100000,38,50.0,1784.0
ablation,baseline,boxing,0,100000,39,53.0,1779.0
ablation,baseline,boxing,0,100000,40,52.0,1784.0
ablation,baseline,boxing,0,100000,41,69.0,1783.0
ablation,baseline,boxing,0,100000,42,67.0,1756.0
ablation,baseline,boxing,0,100000,43,65.0,1783.0
ablation,baseline,boxing,0,100000,44,45.0,1781.0
ablation,baseline,boxing,0,100000,45,69.0,1783.0
ablation,baseline,boxing,0,100000,46,69.0,1784.0
ablation,baseline,boxing,0,100000,47,45.0,1785.0
ablation,baseline,boxing,0,100000,48,67.0,1782.0
ablation,baseline,boxing,0,100000,49,52.0,1779.0
