role,arm,game,seed,agent_steps,mean_return,episodes
ablation,baseline,boxing,0,10000,11.9,10
ablation,baseline,boxing,0,20000,13.0,10
ablation,baseline,boxing,0,30000,27.8,10
ablation,baseline,boxing,0,40000,21.8,10
ablation,baseline,boxing,0,50000,23.3,10
ablation,baseline,boxing,0,60000,34.8,10
ablation,baseline,boxing,0,70000,36.7,10
ablation,baseline,boxing,0,80000,45.1,10
ablation,baseline,boxing,0,90000,31.4,10
ablation,baseline,boxing,0,100000,60.43,100
ablation,baseline,up_n_down,0,10000,23.0,10
ablation,baseline,up_n_down,0,20000,3624.0,10
ablation,baseline,up_n_down,0,30000,2110.0,10
ablation,baseline,up_n_down,0,40000,5080.0,10
ablation,baseline,up_n_down,0,50000,13788.0,10
ablation,baseline,up_n_down,0,60000,97490.0,10
ablation,baseline,up_n_down,0,70000,19358.0,10
ablation,baseline,up_n_down,0,80000,61897.0,10
ablation,baseline,up_n_down,0,90000,20753.0,10
ablation,baseline,up_n_down,0,100000,13424.8,100
ablation,baseline,frostbite,0,10000,152.0,10
ablation,baseline,frostbite,0,20000,310.0,10
ablation,baseline,frostbite,0,30000,273.0,10
ablation,baseline,frostbite,0,40000,311.0,10
ablation,baseline,frostbite,0,50000,384.0,10
ablation,baseline,frostbite,0,60000,476.0,10
ablation,baseline,frostbite,0,70000,942.0,10
ablation,baseline,frostbite,0,80000,1026.0,10
ablation,baseline,frostbite,0,90000,1053.0,10
ablation,baseline,frostbite,0,100000,1193.4,100
ablation,baseline,road_runner,0,10000,810.0,10
ablation,baseline,road_runner,0,20000,940.0,10
ablation,baseline,road_runner,0,30000,970.0,10
ablation,baseline,road_runner,0,40000,1040.0,10
ablation,baseline,road_runner,0,50000,3920.0,10
ablation,baseline,road_runner,0,60000,8670.0,10
ablation,baseline,road_runner,0,70000,9420.0,10
ablation,baseline,road_runner,0,80000,8880.0,10
ablation,baseline,road_runner,0,90000,9620.0,10
ablation,baseline,road_runner,0,100000,9214.0,100
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
