role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,compact_code,boxing,0,10000,0,4.0,1780.0
ablation,compact_code,boxing,0,10000,1,-3.0,1781.0
ablation,compact_code,boxing,0,10000,2,1.0,1786.0
ablation,compact_code,boxing,0,10000,3,-17.0,1784.0
ablation,compact_code,boxing,0,10000,4,0.0,1784.0
ablation,compact_code,boxing,0,10000,5,-10.0,1785.0
ablation,compact_code,boxing,0,10000,6,3.0,1785.0
ablation,compact_code,boxing,0,10000,7,4.0,1779.0
ablation,compact_code,boxing,0,10000,8,-3.0,1786.0
ablation,compact_code,boxing,0,10000,9,-11.0,1780.0
ablation,compact_code,boxing,0,20000,0,2.0,1780.0
ablation,compact_code,boxing,0,20000,1,-4.0,1781.0
ablation,compact_code,boxing,0,20000,2,-1.0,1786.0
ablation,compact_code,boxing,0,20000,3,7.0,1784.0
ablation,compact_code,boxing,0,20000,4,-2.0,1784.0
ablation,compact_code,boxing,0,20000,5,1.0,1785.0
ablation,compact_code,boxing,0,20000,6,7.0,1785.0
ablation,compact_code,boxing,0,20000,7,0.0,1779.0
ablation,compact_code,boxing,0,20000,8,-7.0,1786.0
ablation,compact_code,boxing,0,20000,9,-1.0,1780.0
ablation,compact_code,boxing,0,30000,0,55.0,1780.0
ablation,compact_code,boxing,0,30000,1,29.0,1781.0
ablation,compact_code,boxing,0,30000,2,54.0,1786.0
ablation,compact_code,boxing,0,30000,3,47.0,1784.0
ablation,compact_code,boxing,0,30000,4,20.0,1784.0
ablation,compact_code,boxing,0,30000,5,28.0,1785.0
ablation,compact_code,boxing,0,30000,6,47.0,1785.0
ablation,compact_code,boxing,0,30000,7,30.0,1779.0
ablation,compact_code,boxing,0,30000,8,32.0,1786.0
ablation,compact_code,boxing,0,30000,9,47.0,1780.0
ablation,compact_code,boxing,0,40000,0,55.0,1780.0
ablation,compact_code,boxing,0,40000,1,15.0,1781.0
ablation,compact_code,boxing,0,40000,2,33.0,1786.0
ablation,compact_code,boxing,0,40000,3,66.0,1784.0
ablation,compact_code,boxing,0,40000,4,24.0,1784.0
ablation,compact_code,boxing,0,40000,5,21.0,1785.0
ablation,compact_code,boxing,0,40000,6,43.0,1785.0
ablation,compact_code,boxing,0,40000,7,14.0,1779.0
ablation,compact_code,boxing,0,40000,8,39.0,1786.0
ablation,compact_code,boxing,0,40000,9,24.0,1780.0
ablation,compact_code,boxing,0,50000,0,69.0,1780.0
ablation,compact_code,boxing,0,50000,1,59.0,1781.0
ablation,compact_code,boxing,0,50000,2,56.0,1786.0
ablation,compact_code,boxing,0,50000,3,46.0,1784.0
ablation,compact_code,boxing,0,50000,4,63.0,1784.0
ablation,compact_code,boxing,0,50000,5,45.0,1785.0
ablation,compact_code,boxing,0,50000,6,55.0,1785.0
ablation,compact_code,boxing,0,50000,7,74.0,1724.0
ablation,compact_code,boxing,0,50000,8,75.0,1786.0
ablation,compact_code,boxing,0,50000,9,29.0,1780.0
ablation,compact_code,boxing,0,60000,0,42.0,1780.0
ablation,compact_code,boxing,0,60000,1,68.0,1781.0
ablation,compact_code,boxing,0,60000,2,61.0,1786.0
ablation,compact_code,boxing,0,60000,3,62.0,1784.0
ablation,compact_code,boxing,0,60000,4,66.0,1784.0
ablation,compact_code,boxing,0,60000,5,59.0,1785.0
ablation,compact_code,boxing,0,60000,6,73.0,1785.0
ablation,compact_code,boxing,0,60000,7,68.0,1779.0
ablation,compact_code,boxing,0,60000,8,40.0,1786.0
ablation,compact_code,boxing,0,60000,9,69.0,1780.0
ablation,compact_code,boxing,0,70000,0,83.0,1644.0
ablation,compact_code,boxing,0,70000,1,75.0,1781.0
ablation,compact_code,boxing,0,70000,2,39.0,1786.0
ablation,compact_code,boxing,0,70000,3,59.0,1784.0
ablation,compact_code,boxing,0,70000,4,41.0,1784.0
ablation,compact_code,boxing,0,70000,5,68.0,1757.0
ablation,compact_code,boxing,0,70000,6,70.0,1785.0
ablation,compact_code,boxing,0,70000,7,57.0,1779.0
ablation,compact_code,boxing,0,70000,8,42.0,1786.0
ablation,compact_code,boxing,0,70000,9,84.0,1726.0
ablation,compact_code,boxing,0,80000,0,68.0,1780.0
ablation,compact_code,boxing,0,80000,1,76.0,1781.0
ablation,compact_code,boxing,0,80000,2,61.0,1786.0
ablation,compact_code,boxing,0,80000,3,80.0,1781.0
ablation,compact_code,boxing,0,80000,4,76.0,1762.0
ablation,compact_code,boxing,0,80000,5,71.0,1666.0
ablation,compact_code,boxing,0,80000,6,42.0,1785.0
ablation,compact_code,boxing,0,80000,7,50.0,1779.0
ablation,compact_code,boxing,0,80000,8,71.0,1786.0
ablation,compact_code,boxing,0,80000,9,84.0,1707.0
ablation,compact_code,boxing,0,90000,0,70.0,1719.0
ablation,compact_code,boxing,0,90000,1,83.0,1714.0
ablation,compact_code,boxing,0,90000,2,84.0,1527.0
ablation,compact_code,boxing,0,90000,3,59.0,1784.0
ablation,compact_code,boxing,0,90000,4,80.0,1631.0
ablation,compact_code,boxing,0,90000,5,77.0,1744.0
ablation,compact_code,boxing,0,90000,6,91.0,1423.0
ablation,compact_code,boxing,0,90000,7,81.0,1674.0
ablation,compact_code,boxing,0,90000,8,78.0,1601.0
ablation,compact_code,boxing,0,90000,9,62.0,1780.0
ablation,compact_code,boxing,0,100000,0,50.0,1780.0
ablation,compact_code,boxing,0,100000,1,74.0,1781.0
ablation,compact_code,boxing,0,100000,2,42.0,1786.0
ablation,compact_code,boxing,0,100000,3,52.0,1784.0
ablation,compact_code,boxing,0,100000,4,46.0,1784.0
ablation,compact_code,boxing,0,100000,5,36.0,1785.0
ablation,compact_code,boxing,0,100000,6,34.0,1785.0
ablation,compact_code,boxing,0,100000,7,35.0,1779.0
ablation,compact_code,boxing,0,100000,8,83.0,1786.0
ablation,compact_code,boxing,0,100000,9,56.0,1780.0
ablation,compact_code,boxing,0,100000,10,43.0,1782.0
ablation,compact_code,boxing,0,100000,11,39.0,1784.0
ablation,compact_code,boxing,0,100000,12,7.0,1783.0
ablation,compact_code,boxing,0,100000,13,52.0,1782.0
ablation,compact_code,boxing,0,100000,14,52.0,1781.0
ablation,compact_code,boxing,0,100000,15,61.0,1782.0
ablation,compact_code,boxing,0,100000,16,3.0,1780.0
ablation,compact_code,boxing,0,100000,17,71.0,1786.0
ablation,compact_code,boxing,0,100000,18,69.0,1782.0
ablation,compact_code,boxing,0,100000,19,39.0,1780.0
ablation,compact_code,boxing,0,100000,20,60.0,1781.0
ablation,compact_code,boxing,0,100000,21,68.0,1783.0
ablation,compact_code,boxing,0,100000,22,29.0,1784.0
ablation,compact_code,boxing,0,100000,23,63.0,1719.0
