role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,compact_code,boxing,0,10000,-3.2,10
ablation,compact_code,boxing,0,20000,0.2,10
ablation,compact_code,boxing,0,30000,38.9,10
ablation,compact_code,boxing,0,40000,33.4,10
ablation,compact_code,boxing,0,50000,57.1,10
ablation,compact_code,boxing,0,60000,60.8,10
ablation,compact_code,boxing,0,70000,61.8,10
ablation,compact_code,boxing,0,80000,67.9,10
ablation,compact_code,boxing,0,90000,76.5,10
ablation,compact_code,boxing,0,100000,44.97,100
ablation,compact_code,up_n_down,0,10000,2100.0,10
ablation,compact_code,up_n_down,0,20000,3549.0,10
ablation,compact_code,up_n_down,0,30000,1929.0,10
ablation,compact_code,up_n_down,0,40000,94329.0,10
ablation,compact_code,up_n_down,0,50000,59158.0,10
ablation,compact_code,up_n_down,0,60000,16800.0,10
ablation,compact_code,up_n_down,0,70000,17881.0,10
ablation,compact_code,up_n_down,0,80000,34935.0,10
ablation,compact_code,up_n_down,0,90000,54209.0,10
ablation,compact_code,up_n_down,0,100000,48283.3,100
ablation,compact_code,frostbite,0,10000,123.0,10
ablation,compact_code,frostbite,0,20000,192.0,10
ablation,compact_code,frostbite,0,30000,218.0,10
ablation,compact_code,frostbite,0,40000,226.0,10
ablation,compact_code,frostbite,0,50000,239.0,10
ablation,compact_code,frostbite,0,60000,247.0,10
ablation,compact_code,frostbite,0,70000,237.0,10
ablation,compact_code,frostbite,0,80000,243.0,10
ablation,compact_code,frostbite,0,90000,240.0,10
ablation,compact_code,frostbite,0,100000,250.7,100
ablation,compact_code,road_runner,0,10000,1070.0,10
ablation,compact_code,road_runner,0,20000,2500.0,10
ablation,compact_code,road_runner,0,30000,6150.0,10
ablation,compact_code,road_runner,0,40000,6490.0,10
ablation,compact_code,road_runner,0,50000,15300.0,10
ablation,compact_code,road_runner,0,60000,15680.0,10
ablation,compact_code,road_runner,0,70000,16350.0,10
ablation,compact_code,road_runner,0,80000,16690.0,10
ablation,compact_code,road_runner,0,90000,16300.0,10
ablation,compact_code,road_runner,0,100000,16376.0,100
