role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,early_40000,boxing,0,10000,0,-2.0,1780.0
ablation,early_40000,boxing,0,10000,1,-1.0,1781.0
ablation,early_40000,boxing,0,10000,2,-1.0,1786.0
ablation,early_40000,boxing,0,10000,3,-7.0,1784.0
ablation,early_40000,boxing,0,10000,4,-5.0,1784.0
ablation,early_40000,boxing,0,10000,5,3.0,1785.0
ablation,early_40000,boxing,0,10000,6,10.0,1785.0
ablation,early_40000,boxing,0,10000,7,-2.0,1779.0
ablation,early_40000,boxing,0,10000,8,8.0,1786.0
ablation,early_40000,boxing,0,10000,9,3.0,1780.0
ablation,early_40000,boxing,0,20000,0,-2.0,1648.0
ablation,early_40000,boxing,0,20000,1,3.0,1641.0
ablation,early_40000,boxing,0,20000,2,2.0,1676.0
ablation,early_40000,boxing,0,20000,3,-25.0,1681.0
ablation,early_40000,boxing,0,20000,4,1.0,1680.0
ablation,early_40000,boxing,0,20000,5,-31.0,1693.0
ablation,early_40000,boxing,0,20000,6,-17.0,1785.0
ablation,early_40000,boxing,0,20000,7,3.0,1629.0
ablation,early_40000,boxing,0,20000,8,-17.0,1569.0
ablation,early_40000,boxing,0,20000,9,-19.0,1780.0
ablation,early_40000,boxing,0,30000,0,73.0,879.0
ablation,early_40000,boxing,0,30000,1,37.0,1305.0
ablation,early_40000,boxing,0,30000,2,44.0,1307.0
ablation,early_40000,boxing,0,30000,3,26.0,1594.0
ablation,early_40000,boxing,0,30000,4,62.0,1000.0
ablation,early_40000,boxing,0,30000,5,53.0,1057.0
ablation,early_40000,boxing,0,30000,6,45.0,1402.0
ablation,early_40000,boxing,0,30000,7,39.0,1376.0
ablation,early_40000,boxing,0,30000,8,39.0,1286.0
ablation,early_40000,boxing,0,30000,9,65.0,823.0
ablation,early_40000,boxing,0,40000,0,54.0,1195.0
ablation,early_40000,boxing,0,40000,1,57.0,1135.0
ablation,early_40000,boxing,0,40000,2,50.0,1220.0
ablation,early_40000,boxing,0,40000,3,54.0,1154.0
ablation,early_40000,boxing,0,40000,4,55.0,1256.0
ablation,early_40000,boxing,0,40000,5,66.0,1061.0
