role,arm,game,seed,agent_steps,mean_return,episodes
comparator,warmup_40000,boxing,0,10000,1.4,10
comparator,warmup_40000,boxing,0,20000,10.9,10
comparator,warmup_40000,boxing,0,30000,-24.6,10
comparator,warmup_40000,boxing,0,40000,40.6,10
comparator,warmup_40000,boxing,0,50000,53.9,10
comparator,warmup_40000,boxing,0,60000,64.1,10
comparator,warmup_40000,boxing,0,70000,64.0,10
comparator,warmup_40000,boxing,0,80000,75.3,10
comparator,warmup_40000,boxing,0,90000,68.3,10
comparator,warmup_40000,boxing,0,100000,75.88,100
comparator,warmup_40000,up_n_down,0,10000,691.0,10
comparator,warmup_40000,up_n_down,0,20000,2235.0,10
comparator,warmup_40000,up_n_down,0,30000,1018.0,10
comparator,warmup_40000,up_n_down,0,40000,1655.0,10
comparator,warmup_40000,up_n_down,0,50000,2514.0,10
comparator,warmup_40000,up_n_down,0,60000,2791.0,10
comparator,warmup_40000,up_n_down,0,70000,3219.0,10
comparator,warmup_40000,up_n_down,0,80000,2748.0,10
comparator,warmup_40000,up_n_down,0,90000,3376.0,10
comparator,warmup_40000,up_n_down,0,100000,3611.4,100
comparator,warmup_40000,frostbite,0,10000,62.0,10
comparator,warmup_40000,frostbite,0,20000,528.0,10
comparator,warmup_40000,frostbite,0,30000,300.0,10
comparator,warmup_40000,frostbite,0,40000,1016.0,10
comparator,warmup_40000,frostbite,0,50000,1086.0,10
comparator,warmup_40000,frostbite,0,60000,1517.0,10
comparator,warmup_40000,frostbite,0,70000,1297.0,10
comparator,warmup_40000,frostbite,0,80000,1253.0,10
comparator,warmup_40000,frostbite,0,90000,1594.0,10
comparator,warmup_40000,frostbite,0,100000,1820.8,100
comparator,warmup_40000,road_runner,0,10000,1220.0,10
comparator,warmup_40000,road_runner,0,20000,400.0,10
comparator,warmup_40000,road_runner,0,30000,5310.0,10
comparator,warmup_40000,road_runner,0,40000,7540.0,10
comparator,warmup_40000,road_runner,0,50000,9530.0,10
comparator,warmup_40000,road_runner,0,60000,13810.0,10
comparator,warmup_40000,road_runner,0,70000,15170.0,10
comparator,warmup_40000,road_runner,0,80000,16590.0,10
comparator,warmup_40000,road_runner,0,90000,17110.0,10
comparator,warmup_40000,road_runner,0,100000,15855.0,100
ablation,early_60000,boxing,0,10000,0.6,10
ablation,early_60000,boxing,0,20000,-10.2,10
ablation,early_60000,boxing,0,30000,48.3,10
ablation,early_60000,boxing,0,40000,55.3,10
ablation,early_60000,boxing,0,50000,74.6,10
ablation,early_60000,boxing,0,60000,66.2,10
ablation,early_60000,boxing,0,70000,75.4,10
ablation,early_60000,boxing,0,80000,71.4,10
ablation,early_60000,boxing,0,90000,74.1,10
ablation,early_60000,boxing,0,100000,73.62,100
ablation,early_60000,up_n_down,0,10000,1743.0,10
ablation,early_60000,up_n_down,0,20000,10514.0,10
ablation,early_60000,up_n_down,0,30000,33608.0,10
ablation,early_60000,up_n_down,0,40000,88115.0,10
ablation,early_60000,up_n_down,0,50000,112295.0,10
ablation,early_60000,up_n_down,0,60000,67502.0,10
ablation,early_60000,up_n_down,0,70000,64881.0,10
ablation,early_60000,up_n_down,0,80000,58539.0,10
ablation,early_60000,up_n_down,0,90000,66954.0,10
ablation,early_60000,up_n_down,0,100000,13703.2,100
ablation,early_60000,frostbite,0,10000,107.0,10
ablation,early_60000,frostbite,0,20000,185.0,10
ablation,early_60000,frostbite,0,30000,205.0,10
ablation,early_60000,frostbite,0,40000,231.0,10
ablation,early_60000,frostbite,0,50000,201.0,10
ablation,early_60000,frostbite,0,60000,656.0,10
ablation,early_60000,frostbite,0,70000,229.0,10
ablation,early_60000,frostbite,0,80000,586.0,10
ablation,early_60000,frostbite,0,90000,443.0,10
ablation,early_60000,frostbite,0,100000,1189.2,100
ablation,early_60000,road_runner,0,10000,590.0,10
ablation,early_60000,road_runner,0,20000,1860.0,10
ablation,early_60000,road_runner,0,30000,8080.0,10
ablation,early_60000,road_runner,0,40000,10680.0,10
ablation,early_60000,road_runner,0,50000,14350.0,10
ablation,early_60000,road_runner,0,60000,15640.0,10
ablation,early_60000,road_runner,0,70000,17080.0,10
ablation,early_60000,road_runner,0,80000,18390.0,10
ablation,early_60000,road_runner,0,90000,17060.0,10
ablation,early_60000,road_runner,0,100000,17445.0,100
