role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,ema_fast,boxing,0,10000,-5.1,10
ablation,ema_fast,boxing,0,20000,16.1,10
ablation,ema_fast,boxing,0,30000,39.6,10
ablation,ema_fast,boxing,0,40000,53.7,10
ablation,ema_fast,boxing,0,50000,60.7,10
ablation,ema_fast,boxing,0,60000,76.9,10
ablation,ema_fast,boxing,0,70000,88.0,10
ablation,ema_fast,boxing,0,80000,80.2,10
ablation,ema_fast,boxing,0,90000,79.7,10
ablation,ema_fast,boxing,0,100000,85.98,100
ablation,ema_fast,up_n_down,0,10000,159.0,10
ablation,ema_fast,up_n_down,0,20000,1611.0,10
ablation,ema_fast,up_n_down,0,30000,6771.0,10
ablation,ema_fast,up_n_down,0,40000,2402.0,10
ablation,ema_fast,up_n_down,0,50000,2417.0,10
ablation,ema_fast,up_n_down,0,60000,3239.0,10
ablation,ema_fast,up_n_down,0,70000,2568.0,10
ablation,ema_fast,up_n_down,0,80000,11382.0,10
ablation,ema_fast,up_n_down,0,90000,52725.0,10
ablation,ema_fast,up_n_down,0,100000,97046.7,100
ablation,ema_fast,frostbite,0,10000,74.0,10
ablation,ema_fast,frostbite,0,20000,155.0,10
ablation,ema_fast,frostbite,0,30000,184.0,10
ablation,ema_fast,frostbite,0,40000,223.0,10
ablation,ema_fast,frostbite,0,50000,211.0,10
ablation,ema_fast,frostbite,0,60000,197.0,10
ablation,ema_fast,frostbite,0,70000,208.0,10
ablation,ema_fast,frostbite,0,80000,229.0,10
ablation,ema_fast,frostbite,0,90000,225.0,10
ablation,ema_fast,frostbite,0,100000,224.5,100
ablation,ema_fast,road_runner,0,10000,830.0,10
ablation,ema_fast,road_runner,0,20000,3210.0,10
ablation,ema_fast,road_runner,0,30000,6230.0,10
ablation,ema_fast,road_runner,0,40000,8770.0,10
ablation,ema_fast,road_runner,0,50000,6840.0,10
ablation,ema_fast,road_runner,0,60000,7410.0,10
ablation,ema_fast,road_runner,0,70000,7410.0,10
ablation,ema_fast,road_runner,0,80000,6970.0,10
ablation,ema_fast,road_runner,0,90000,8920.0,10
ablation,ema_fast,road_runner,0,100000,8932.0,100
