role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,ema_slow,boxing,0,10000,-0.7,10
ablation,ema_slow,boxing,0,20000,29.6,10
ablation,ema_slow,boxing,0,30000,49.8,10
ablation,ema_slow,boxing,0,40000,58.1,10
ablation,ema_slow,boxing,0,50000,55.0,10
ablation,ema_slow,boxing,0,60000,79.2,10
ablation,ema_slow,boxing,0,70000,38.4,10
ablation,ema_slow,boxing,0,80000,44.2,10
ablation,ema_slow,boxing,0,90000,59.6,10
ablation,ema_slow,boxing,0,100000,80.66,100
ablation,ema_slow,up_n_down,0,10000,626.0,10
ablation,ema_slow,up_n_down,0,20000,4139.0,10
ablation,ema_slow,up_n_down,0,30000,5336.0,10
ablation,ema_slow,up_n_down,0,40000,2541.0,10
ablation,ema_slow,up_n_down,0,50000,2560.0,10
ablation,ema_slow,up_n_down,0,60000,2168.0,10
ablation,ema_slow,up_n_down,0,70000,3274.0,10
ablation,ema_slow,up_n_down,0,80000,7071.0,10
ablation,ema_slow,up_n_down,0,90000,24716.0,10
ablation,ema_slow,up_n_down,0,100000,41690.3,100
ablation,ema_slow,frostbite,0,10000,94.0,10
ablation,ema_slow,frostbite,0,20000,186.0,10
ablation,ema_slow,frostbite,0,30000,170.0,10
ablation,ema_slow,frostbite,0,40000,184.0,10
ablation,ema_slow,frostbite,0,50000,230.0,10
ablation,ema_slow,frostbite,0,60000,818.0,10
ablation,ema_slow,frostbite,0,70000,947.0,10
ablation,ema_slow,frostbite,0,80000,1462.0,10
ablation,ema_slow,frostbite,0,90000,267.0,10
ablation,ema_slow,frostbite,0,100000,897.7,100
ablation,ema_slow,road_runner,0,10000,890.0,10
ablation,ema_slow,road_runner,0,20000,2620.0,10
ablation,ema_slow,road_runner,0,30000,4550.0,10
ablation,ema_slow,road_runner,0,40000,8180.0,10
ablation,ema_slow,road_runner,0,50000,11340.0,10
ablation,ema_slow,road_runner,0,60000,14470.0,10
ablation,ema_slow,road_runner,0,70000,13000.0,10
ablation,ema_slow,road_runner,0,80000,13260.0,10
ablation,ema_slow,road_runner,0,90000,16330.0,10
ablation,ema_slow,road_runner,0,100000,12557.0,100
