role,arm,game,seed,agent_steps,mean_return,episodes
comparator,baseline,boxing,0,10000,11.9,10
comparator,baseline,boxing,0,20000,13.0,10
comparator,baseline,boxing,0,30000,27.8,10
comparator,baseline,boxing,0,40000,21.8,10
comparator,baseline,boxing,0,50000,23.3,10
comparator,baseline,boxing,0,60000,34.8,10
comparator,baseline,boxing,0,70000,36.7,10
comparator,baseline,boxing,0,80000,45.1,10
comparator,baseline,boxing,0,90000,31.4,10
comparator,baseline,boxing,0,100000,60.43,100
comparator,baseline,up_n_down,0,10000,23.0,10
comparator,baseline,up_n_down,0,20000,3624.0,10
comparator,baseline,up_n_down,0,30000,2110.0,10
comparator,baseline,up_n_down,0,40000,5080.0,10
comparator,baseline,up_n_down,0,50000,13788.0,10
comparator,baseline,up_n_down,0,60000,97490.0,10
comparator,baseline,up_n_down,0,70000,19358.0,10
comparator,baseline,up_n_down,0,80000,61897.0,10
comparator,baseline,up_n_down,0,90000,20753.0,10
comparator,baseline,up_n_down,0,100000,13424.8,100
comparator,baseline,frostbite,0,10000,152.0,10
comparator,baseline,frostbite,0,20000,310.0,10
comparator,baseline,frostbite,0,30000,273.0,10
comparator,baseline,frostbite,0,40000,311.0,10
comparator,baseline,frostbite,0,50000,384.0,10
comparator,baseline,frostbite,0,60000,476.0,10
comparator,baseline,frostbite,0,70000,942.0,10
comparator,baseline,frostbite,0,80000,1026.0,10
comparator,baseline,frostbite,0,90000,1053.0,10
comparator,baseline,frostbite,0,100000,1193.4,100
comparator,baseline,road_runner,0,10000,810.0,10
comparator,baseline,road_runner,0,20000,940.0,10
comparator,baseline,road_runner,0,30000,970.0,10
comparator,baseline,road_runner,0,40000,1040.0,10
comparator,baseline,road_runner,0,50000,3920.0,10
comparator,baseline,road_runner,0,60000,8670.0,10
comparator,baseline,road_runner,0,70000,9420.0,10
comparator,baseline,road_runner,0,80000,8880.0,10
comparator,baseline,road_runner,0,90000,9620.0,10
comparator,baseline,road_runner,0,100000,9214.0,100
ablation,flat,boxing,0,10000,7.8,10
ablation,flat,boxing,0,20000,31.1,10
ablation,flat,boxing,0,30000,41.6,10
ablation,flat,boxing,0,40000,62.0,10
ablation,flat,boxing,0,50000,-40.6,10
ablation,flat,boxing,0,60000,68.4,10
ablation,flat,boxing,0,70000,72.0,10
ablation,flat,boxing,0,80000,71.6,10
ablation,flat,boxing,0,90000,75.2,10
ablation,flat,boxing,0,100000,73.13,100
ablation,flat,up_n_down,0,10000,1035.0,10
ablation,flat,up_n_down,0,20000,597.0,10
ablation,flat,up_n_down,0,30000,1882.0,10
ablation,flat,up_n_down,0,40000,2221.0,10
ablation,flat,up_n_down,0,50000,3908.0,10
ablation,flat,up_n_down,0,60000,3487.0,10
ablation,flat,up_n_down,0,70000,3810.0,10
ablation,flat,up_n_down,0,80000,4283.0,10
ablation,flat,up_n_down,0,90000,4794.0,10
ablation,flat,up_n_down,0,100000,4035.8,100
ablation,flat,frostbite,0,10000,62.0,10
ablation,flat,frostbite,0,20000,528.0,10
ablation,flat,frostbite,0,30000,300.0,10
ablation,flat,frostbite,0,40000,1016.0,10
ablation,flat,frostbite,0,50000,346.0,10
ablation,flat,frostbite,0,60000,1553.0,10
ablation,flat,frostbite,0,70000,2007.0,10
ablation,flat,frostbite,0,80000,1920.0,10
ablation,flat,frostbite,0,90000,2531.0,10
ablation,flat,frostbite,0,100000,2532.1,100
ablation,flat,road_runner,0,10000,20.0,10
ablation,flat,road_runner,0,20000,1420.0,10
ablation,flat,road_runner,0,30000,5790.0,10
ablation,flat,road_runner,0,40000,7410.0,10
ablation,flat,road_runner,0,50000,14800.0,10
ablation,flat,road_runner,0,60000,16430.0,10
ablation,flat,road_runner,0,70000,15830.0,10
ablation,flat,road_runner,0,80000,13000.0,10
ablation,flat,road_runner,0,90000,15700.0,10
ablation,flat,road_runner,0,100000,15831.0,100
