role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,flat_pruned,boxing,0,10000,0,5.0,1780.0
ablation,flat_pruned,boxing,0,10000,1,2.0,1781.0
ablation,flat_pruned,boxing,0,10000,2,1.0,1786.0
ablation,flat_pruned,boxing,0,10000,3,0.0,1784.0
ablation,flat_pruned,boxing,0,10000,4,6.0,1784.0
ablation,flat_pruned,boxing,0,10000,5,5.0,1785.0
ablation,flat_pruned,boxing,0,10000,6,1.0,1785.0
ablation,flat_pruned,boxing,0,10000,7,-1.0,1779.0
ablation,flat_pruned,boxing,0,10000,8,6.0,1786.0
ablation,flat_pruned,boxing,0,10000,9,-3.0,1780.0
ablation,flat_pruned,boxing,0,20000,0,57.0,1780.0
ablation,flat_pruned,boxing,0,20000,1,-3.0,1781.0
ablation,flat_pruned,boxing,0,20000,2,5.0,1786.0
ablation,flat_pruned,boxing,0,20000,3,39.0,1784.0
ablation,flat_pruned,boxing,0,20000,4,36.0,1784.0
ablation,flat_pruned,boxing,0,20000,5,23.0,1785.0
ablation,flat_pruned,boxing,0,20000,6,15.0,1785.0
ablation,flat_pruned,boxing,0,20000,7,43.0,1779.0
ablation,flat_pruned,boxing,0,20000,8,1.0,1786.0
ablation,flat_pruned,boxing,0,20000,9,24.0,1780.0
ablation,flat_pruned,boxing,0,30000,0,49.0,1780.0
ablation,flat_pruned,boxing,0,30000,1,12.0,1781.0
ablation,flat_pruned,boxing,0,30000,2,24.0,1786.0
ablation,flat_pruned,boxing,0,30000,3,26.0,1784.0
ablation,flat_pruned,boxing,0,30000,4,58.0,1624.0
ablation,flat_pruned,boxing,0,30000,5,40.0,1785.0
ablation,flat_pruned,boxing,0,30000,6,-3.0,1785.0
ablation,flat_pruned,boxing,0,30000,7,47.0,1779.0
ablation,flat_pruned,boxing,0,30000,8,9.0,1786.0
ablation,flat_pruned,boxing,0,30000,9,20.0,1780.0
ablation,flat_pruned,boxing,0,40000,0,54.0,1780.0
ablation,flat_pruned,boxing,0,40000,1,42.0,1781.0
ablation,flat_pruned,boxing,0,40000,2,47.0,1786.0
ablation,flat_pruned,boxing,0,40000,3,68.0,1784.0
ablation,flat_pruned,boxing,0,40000,4,50.0,1784.0
ablation,flat_pruned,boxing,0,40000,5,49.0,1785.0
ablation,flat_pruned,boxing,0,40000,6,52.0,1785.0
ablation,flat_pruned,boxing,0,40000,7,58.0,1779.0
ablation,flat_pruned,boxing,0,40000,8,19.0,1786.0
ablation,flat_pruned,boxing,0,40000,9,82.0,1694.0
ablation,flat_pruned,boxing,0,50000,0,43.0,1780.0
ablation,flat_pruned,boxing,0,50000,1,53.0,1781.0
ablation,flat_pruned,boxing,0,50000,2,50.0,1786.0
ablation,flat_pruned,boxing,0,50000,3,35.0,1784.0
ablation,flat_pruned,boxing,0,50000,4,40.0,1784.0
ablation,flat_pruned,boxing,0,50000,5,86.0,1663.0
ablation,flat_pruned,boxing,0,50000,6,42.0,1785.0
ablation,flat_pruned,boxing,0,50000,7,51.0,1779.0
ablation,flat_pruned,boxing,0,50000,8,55.0,1786.0
ablation,flat_pruned,boxing,0,50000,9,39.0,1780.0
ablation,flat_pruned,boxing,0,60000,0,49.0,1326.0
ablation,flat_pruned,boxing,0,60000,1,24.0,1710.0
ablation,flat_pruned,boxing,0,60000,2,35.0,1786.0
ablation,flat_pruned,boxing,0,60000,3,31.0,1784.0
ablation,flat_pruned,boxing,0,60000,4,51.0,1146.0
ablation,flat_pruned,boxing,0,60000,5,24.0,1785.0
ablation,flat_pruned,boxing,0,60000,6,46.0,1251.0
ablation,flat_pruned,boxing,0,60000,7,-8.0,1779.0
ablation,flat_pruned,boxing,0,60000,8,22.0,1778.0
ablation,flat_pruned,boxing,0,60000,9,18.0,1780.0
ablation,flat_pruned,boxing,0,70000,0,24.0,1780.0
ablation,flat_pruned,boxing,0,70000,1,49.0,1781.0
ablation,flat_pruned,boxing,0,70000,2,49.0,1786.0
ablation,flat_pruned,boxing,0,70000,3,50.0,1784.0
ablation,flat_pruned,boxing,0,70000,4,66.0,1784.0
ablation,flat_pruned,boxing,0,70000,5,65.0,1785.0
ablation,flat_pruned,boxing,0,70000,6,38.0,1785.0
ablation,flat_pruned,boxing,0,70000,7,51.0,1779.0
ablation,flat_pruned,boxing,0,70000,8,64.0,1785.0
ablation,flat_pruned,boxing,0,70000,9,62.0,1780.0
ablation,flat_pruned,boxing,0,80000,0,57.0,1172.0
ablation,flat_pruned,boxing,0,80000,1,69.0,1212.0
ablation,flat_pruned,boxing,0,80000,2,54.0,1592.0
ablation,flat_pruned,boxing,0,80000,3,55.0,1522.0
ablation,flat_pruned,boxing,0,80000,4,63.0,1059.0
ablation,flat_pruned,boxing,0,80000,5,61.0,1244.0
ablation,flat_pruned,boxing,0,80000,6,53.0,1418.0
ablation,flat_pruned,boxing,0,80000,7,48.0,1478.0
ablation,flat_pruned,boxing,0,80000,8,61.0,1210.0
ablation,flat_pruned,boxing,0,80000,9,65.0,1150.0
ablation,flat_pruned,boxing,0,90000,0,81.0,592.0
ablation,flat_pruned,boxing,0,90000,1,67.0,916.0
ablation,flat_pruned,boxing,0,90000,2,69.0,998.0
ablation,flat_pruned,boxing,0,90000,3,76.0,676.0
ablation,flat_pruned,boxing,0,90000,4,80.0,907.0
ablation,flat_pruned,boxing,0,90000,5,83.0,939.0
ablation,flat_pruned,boxing,0,90000,6,59.0,1232.0
ablation,flat_pruned,boxing,0,90000,7,62.0,1214.0
ablation,flat_pruned,boxing,0,90000,8,78.0,771.0
ablation,flat_pruned,boxing,0,90000,9,72.0,974.0
ablation,flat_pruned,boxing,0,100000,0,79.0,905.0
ablation,flat_pruned,boxing,0,100000,1,63.0,1456.0
ablation,flat_pruned,boxing,0,100000,2,84.0,725.0
ablation,flat_pruned,boxing,0,100000,3,77.0,1065.0
ablation,flat_pruned,boxing,0,100000,4,79.0,940.0
ablation,flat_pruned,boxing,0,100000,5,71.0,1247.0
ablation,flat_pruned,boxing,0,100000,6,86.0,899.0
ablation,flat_pruned,boxing,0,100000,7,71.0,832.0
ablation,flat_pruned,boxing,0,100000,8,81.0,685.0
ablation,flat_pruned,boxing,0,100000,9,67.0,1246.0
ablation,flat_pruned,boxing,0,100000,10,73.0,971.0
ablation,flat_pruned,boxing,0,100000,11,71.0,1140.0
ablation,flat_pruned,boxing,0,100000,12,63.0,1235.0
ablation,flat_pruned,boxing,0,100000,13,87.0,575.0
ablation,flat_pruned,boxing,0,100000,14,79.0,990.0
ablation,flat_pruned,boxing,0,100000,15,74.0,947.0
ablation,flat_pruned,boxing,0,100000,16,86.0,1091.0
ablation,flat_pruned,boxing,0,100000,17,74.0,1038.0
ablation,flat_pruned,boxing,0,100000,18,75.0,996.0
ablation,flat_pruned,boxing,0,100000,19,70.0,1375.0
ablation,flat_pruned,boxing,0,100000,20,65.0,1277.0
ablation,flat_pruned,boxing,0,100000,21,76.0,1006.0
ablation,flat_pruned,boxing,0,100000,22,78.0,1161.0
ablation,flat_pruned,boxing,0,100000,23,85.0,918.0
ablation,flat_pruned,boxing,0,100000,24,74.0,1223.0
ablation,flat_pruned,boxing,0,100000,25,79.0,1073.0
ablation,flat_pruned,boxing,0,100000,26,87.0,930.0
ablation,flat_pruned,boxing,0,100000,27,77.0,916.0
ablation,flat_pruned,boxing,0,100000,28,63.0,1164.0
ablation,flat_pruned,boxing,0,100000,29,85.0,978.0
ablation,flat_pruned,boxing,0,100000,30,67.0,1375.0
ablation,flat_pruned,boxing,0,100000,31,78.0,1060.0
ablation,flat_pruned,boxing,0,100000,32,73.0,1116.0
ablation,flat_pruned,boxing,0,100000,33,68.0,1390.0
ablation,flat_pruned,boxing,0,100000,34,84.0,881.0
ablation,flat_pruned,boxing,0,100000,35,69.0,1420.0
ablation,flat_pruned,boxing,0,100000,36,66.0,1256.0
ablation,flat_pruned,boxing,0,100000,37,75.0,1094.0
ablation,flat_pruned,boxing,0,100000,38,83.0,1000.0
ablation,flat_pruned,boxing,0,100000,39,78.0,947.0
