role,arm,game,seed,agent_steps,mean_return,episodes
comparator,flat,boxing,0,10000,7.8,10
comparator,flat,boxing,0,20000,31.1,10
comparator,flat,boxing,0,30000,41.6,10
comparator,flat,boxing,0,40000,62.0,10
comparator,flat,boxing,0,50000,-40.6,10
comparator,flat,boxing,0,60000,68.4,10
comparator,flat,boxing,0,70000,72.0,10
comparator,flat,boxing,0,80000,71.6,10
comparator,flat,boxing,0,90000,75.2,10
comparator,flat,boxing,0,100000,73.13,100
comparator,flat,up_n_down,0,10000,1035.0,10
comparator,flat,up_n_down,0,20000,597.0,10
comparator,flat,up_n_down,0,30000,1882.0,10
comparator,flat,up_n_down,0,40000,2221.0,10
comparator,flat,up_n_down,0,50000,3908.0,10
comparator,flat,up_n_down,0,60000,3487.0,10
comparator,flat,up_n_down,0,70000,3810.0,10
comparator,flat,up_n_down,0,80000,4283.0,10
comparator,flat,up_n_down,0,90000,4794.0,10
comparator,flat,up_n_down,0,100000,4035.8,100
comparator,flat,frostbite,0,10000,62.0,10
comparator,flat,frostbite,0,20000,528.0,10
comparator,flat,frostbite,0,30000,300.0,10
comparator,flat,frostbite,0,40000,1016.0,10
comparator,flat,frostbite,0,50000,346.0,10
comparator,flat,frostbite,0,60000,1553.0,10
comparator,flat,frostbite,0,70000,2007.0,10
comparator,flat,frostbite,0,80000,1920.0,10
comparator,flat,frostbite,0,90000,2531.0,10
comparator,flat,frostbite,0,100000,2532.1,100
comparator,flat,road_runner,0,10000,20.0,10
comparator,flat,road_runner,0,20000,1420.0,10
comparator,flat,road_runner,0,30000,5790.0,10
comparator,flat,road_runner,0,40000,7410.0,10
comparator,flat,road_runner,0,50000,14800.0,10
comparator,flat,road_runner,0,60000,16430.0,10
comparator,flat,road_runner,0,70000,15830.0,10
comparator,flat,road_runner,0,80000,13000.0,10
comparator,flat,road_runner,0,90000,15700.0,10
comparator,flat,road_runner,0,100000,15831.0,100
ablation,flat_pruned,boxing,0,10000,2.2,10
ablation,flat_pruned,boxing,0,20000,24.0,10
ablation,flat_pruned,boxing,0,30000,28.2,10
ablation,flat_pruned,boxing,0,40000,52.1,10
ablation,flat_pruned,boxing,0,50000,49.4,10
ablation,flat_pruned,boxing,0,60000,29.2,10
ablation,flat_pruned,boxing,0,70000,51.8,10
ablation,flat_pruned,boxing,0,80000,58.6,10
ablation,flat_pruned,boxing,0,90000,72.7,10
ablation,flat_pruned,boxing,0,100000,75.45,100
ablation,flat_pruned,up_n_down,0,10000,1606.0,10
ablation,flat_pruned,up_n_down,0,20000,1200.0,10
ablation,flat_pruned,up_n_down,0,30000,2386.0,10
ablation,flat_pruned,up_n_down,0,40000,1463.0,10
ablation,flat_pruned,up_n_down,0,50000,2410.0,10
ablation,flat_pruned,up_n_down,0,60000,3020.0,10
ablation,flat_pruned,up_n_down,0,70000,3265.0,10
ablation,flat_pruned,up_n_down,0,80000,4887.0,10
ablation,flat_pruned,up_n_down,0,90000,4088.0,10
ablation,flat_pruned,up_n_down,0,100000,7178.1,100
ablation,flat_pruned,frostbite,0,10000,134.0,10
ablation,flat_pruned,frostbite,0,20000,141.0,10
ablation,flat_pruned,frostbite,0,30000,215.0,10
ablation,flat_pruned,frostbite,0,40000,960.0,10
ablation,flat_pruned,frostbite,0,50000,2183.0,10
ablation,flat_pruned,frostbite,0,60000,1809.0,10
ablation,flat_pruned,frostbite,0,70000,1983.0,10
ablation,flat_pruned,frostbite,0,80000,2215.0,10
ablation,flat_pruned,frostbite,0,90000,2432.0,10
ablation,flat_pruned,frostbite,0,100000,1690.3,100
ablation,flat_pruned,road_runner,0,10000,790.0,10
ablation,flat_pruned,road_runner,0,20000,950.0,10
ablation,flat_pruned,road_runner,0,30000,960.0,10
ablation,flat_pruned,road_runner,0,40000,970.0,10
ablation,flat_pruned,road_runner,0,50000,2670.0,10
ablation,flat_pruned,road_runner,0,60000,9320.0,10
ablation,flat_pruned,road_runner,0,70000,9460.0,10
ablation,flat_pruned,road_runner,0,80000,9080.0,10
ablation,flat_pruned,road_runner,0,90000,9260.0,10
ablation,flat_pruned,road_runner,0,100000,9146.0,100
