role,arm,game,seed,agent_steps,mean_return,episodes
ablation,full,boxing,0,10000,1.8,10
ablation,full,boxing,0,20000,25.6,10
ablation,full,boxing,0,30000,37.3,10
ablation,full,boxing,0,40000,58.3,10
ablation,full,boxing,0,50000,56.0,10
ablation,full,boxing,0,60000,62.6,10
ablation,full,boxing,0,70000,62.8,10
ablation,full,boxing,0,80000,69.3,10
ablation,full,boxing,0,90000,63.2,10
ablation,full,boxing,0,100000,74.58,100
ablation,full,up_n_down,0,10000,144.0,10
ablation,full,up_n_down,0,20000,6082.0,10
ablation,full,up_n_down,0,30000,1731.0,10
ablation,full,up_n_down,0,40000,23756.0,10
ablation,full,up_n_down,0,50000,983.0,10
ablation,full,up_n_down,0,60000,60075.0,10
ablation,full,up_n_down,0,70000,69976.0,10
ablation,full,up_n_down,0,80000,20500.0,10
ablation,full,up_n_down,0,90000,81584.0,10
ablation,full,up_n_down,0,100000,22944.9,100
ablation,full,frostbite,0,10000,106.0,10
ablation,full,frostbite,0,20000,117.0,10
ablation,full,frostbite,0,30000,195.0,10
ablation,full,frostbite,0,40000,226.0,10
ablation,full,frostbite,0,50000,227.0,10
ablation,full,frostbite,0,60000,1893.0,10
ablation,full,frostbite,0,70000,1830.0,10
ablation,full,frostbite,0,80000,2795.0,10
ablation,full,frostbite,0,90000,3193.0,10
ablation,full,frostbite,0,100000,2779.5,100
ablation,full,road_runner,0,10000,780.0,10
ablation,full,road_runner,0,20000,2620.0,10
ablation,full,road_runner,0,30000,6330.0,10
ablation,full,road_runner,0,40000,14030.0,10
ablation,full,road_runner,0,50000,14720.0,10
ablation,full,road_runner,0,60000,15390.0,10
ablation,full,road_runner,0,70000,14840.0,10
ablation,full,road_runner,0,80000,14940.0,10
ablation,full,road_runner,0,90000,12290.0,10
ablation,full,road_runner,0,100000,15017.0,100
comparator,flat,boxing,0,10000,7.8,10
comparator,flat,boxing,0,20000,31.1,10
comparator,flat,boxing,0,30000,41.6,10
comparator,flat,boxing,0,40000,62.0,10
comparator,flat,boxing,0,50000,-40.6,10
comparator,flat,boxing,0,60000,68.4,10
comparator,flat,boxing,0,70000,72.0,10
comparator,flat,boxing,0,80000,71.6,10
comparator,flat,boxing,0,90000,75.2,10
comparator,flat,boxing,0,100000,73.13,100
comparator,flat,up_n_down,0,10000,1035.0,10
comparator,flat,up_n_down,0,20000,597.0,10
comparator,flat,up_n_down,0,30000,1882.0,10
comparator,flat,up_n_down,0,40000,2221.0,10
comparator,flat,up_n_down,0,50000,3908.0,10
comparator,flat,up_n_down,0,60000,3487.0,10
comparator,flat,up_n_down,0,70000,3810.0,10
comparator,flat,up_n_down,0,80000,4283.0,10
comparator,flat,up_n_down,0,90000,4794.0,10
comparator,flat,up_n_down,0,100000,4035.8,100
comparator,flat,frostbite,0,10000,62.0,10
comparator,flat,frostbite,0,20000,528.0,10
comparator,flat,frostbite,0,30000,300.0,10
comparator,flat,frostbite,0,40000,1016.0,10
comparator,flat,frostbite,0,50000,346.0,10
comparator,flat,frostbite,0,60000,1553.0,10
comparator,flat,frostbite,0,70000,2007.0,10
comparator,flat,frostbite,0,80000,1920.0,10
comparator,flat,frostbite,0,90000,2531.0,10
comparator,flat,frostbite,0,100000,2532.1,100
comparator,flat,road_runner,0,10000,20.0,10
comparator,flat,road_runner,0,20000,1420.0,10
comparator,flat,road_runner,0,30000,5790.0,10
comparator,flat,road_runner,0,40000,7410.0,10
comparator,flat,road_runner,0,50000,14800.0,10
comparator,flat,road_runner,0,60000,16430.0,10
comparator,flat,road_runner,0,70000,15830.0,10
comparator,flat,road_runner,0,80000,13000.0,10
comparator,flat,road_runner,0,90000,15700.0,10
comparator,flat,road_runner,0,100000,15831.0,100
