role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,full_validnorm,boxing,0,10000,0,-1.0,1780.0
ablation,full_validnorm,boxing,0,10000,1,13.0,1781.0
ablation,full_validnorm,boxing,0,10000,2,-1.0,1786.0
ablation,full_validnorm,boxing,0,10000,3,0.0,1784.0
ablation,full_validnorm,boxing,0,10000,4,9.0,1784.0
ablation,full_validnorm,boxing,0,10000,5,3.0,1785.0
ablation,full_validnorm,boxing,0,10000,6,1.0,1785.0
ablation,full_validnorm,boxing,0,10000,7,7.0,1779.0
ablation,full_validnorm,boxing,0,10000,8,4.0,1786.0
ablation,full_validnorm,boxing,0,10000,9,7.0,1780.0
ablation,full_validnorm,boxing,0,20000,0,39.0,1103.0
ablation,full_validnorm,boxing,0,20000,1,5.0,1713.0
ablation,full_validnorm,boxing,0,20000,2,45.0,1237.0
ablation,full_validnorm,boxing,0,20000,3,16.0,1410.0
ablation,full_validnorm,boxing,0,20000,4,44.0,1246.0
ablation,full_validnorm,boxing,0,20000,5,13.0,1428.0
ablation,full_validnorm,boxing,0,20000,6,34.0,1226.0
ablation,full_validnorm,boxing,0,20000,7,46.0,1117.0
ablation,full_validnorm,boxing,0,20000,8,35.0,1222.0
ablation,full_validnorm,boxing,0,20000,9,28.0,1280.0
ablation,full_validnorm,boxing,0,30000,0,18.0,1780.0
ablation,full_validnorm,boxing,0,30000,1,61.0,1625.0
ablation,full_validnorm,boxing,0,30000,2,40.0,1773.0
ablation,full_validnorm,boxing,0,30000,3,39.0,1784.0
ablation,full_validnorm,boxing,0,30000,4,58.0,1653.0
ablation,full_validnorm,boxing,0,30000,5,49.0,1785.0
ablation,full_validnorm,boxing,0,30000,6,40.0,1785.0
ablation,full_validnorm,boxing,0,30000,7,48.0,1779.0
ablation,full_validnorm,boxing,0,30000,8,43.0,1786.0
ablation,full_validnorm,boxing,0,30000,9,57.0,1525.0
ablation,full_validnorm,boxing,0,40000,0,55.0,1624.0
ablation,full_validnorm,boxing,0,40000,1,70.0,1296.0
ablation,full_validnorm,boxing,0,40000,2,66.0,1333.0
ablation,full_validnorm,boxing,0,40000,3,71.0,1224.0
ablation,full_validnorm,boxing,0,40000,4,68.0,1541.0
ablation,full_validnorm,boxing,0,40000,5,46.0,1515.0
ablation,full_validnorm,boxing,0,40000,6,72.0,1451.0
ablation,full_validnorm,boxing,0,40000,7,57.0,1707.0
ablation,full_validnorm,boxing,0,40000,8,59.0,1326.0
ablation,full_validnorm,boxing,0,40000,9,43.0,1716.0
ablation,full_validnorm,boxing,0,50000,0,68.0,1117.0
ablation,full_validnorm,boxing,0,50000,1,70.0,874.0
ablation,full_validnorm,boxing,0,50000,2,82.0,724.0
ablation,full_validnorm,boxing,0,50000,3,67.0,1045.0
ablation,full_validnorm,boxing,0,50000,4,59.0,954.0
ablation,full_validnorm,boxing,0,50000,5,73.0,899.0
ablation,full_validnorm,boxing,0,50000,6,46.0,1054.0
ablation,full_validnorm,boxing,0,50000,7,76.0,827.0
ablation,full_validnorm,boxing,0,50000,8,54.0,1343.0
ablation,full_validnorm,boxing,0,50000,9,59.0,1144.0
ablation,full_validnorm,boxing,0,60000,0,67.0,1204.0
ablation,full_validnorm,boxing,0,60000,1,59.0,1187.0
ablation,full_validnorm,boxing,0,60000,2,93.0,364.0
ablation,full_validnorm,boxing,0,60000,3,52.0,1214.0
ablation,full_validnorm,boxing,0,60000,4,54.0,1418.0
ablation,full_validnorm,boxing,0,60000,5,77.0,920.0
ablation,full_validnorm,boxing,0,60000,6,67.0,1122.0
ablation,full_validnorm,boxing,0,60000,7,85.0,795.0
ablation,full_validnorm,boxing,0,60000,8,88.0,426.0
ablation,full_validnorm,boxing,0,60000,9,68.0,965.0
ablation,full_validnorm,boxing,0,70000,0,76.0,1075.0
ablation,full_validnorm,boxing,0,70000,1,54.0,1374.0
ablation,full_validnorm,boxing,0,70000,2,82.0,667.0
ablation,full_validnorm,boxing,0,70000,3,69.0,1216.0
ablation,full_validnorm,boxing,0,70000,4,65.0,1162.0
ablation,full_validnorm,boxing,0,70000,5,73.0,1187.0
