role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,full_validnorm,boxing,0,10000,4.2,10
ablation,full_validnorm,boxing,0,20000,30.5,10
ablation,full_validnorm,boxing,0,30000,45.3,10
ablation,full_validnorm,boxing,0,40000,60.7,10
ablation,full_validnorm,boxing,0,50000,65.4,10
ablation,full_validnorm,boxing,0,60000,71.0,10
ablation,full_validnorm,boxing,0,70000,66.5,10
ablation,full_validnorm,boxing,0,80000,74.0,10
ablation,full_validnorm,boxing,0,90000,71.6,10
ablation,full_validnorm,boxing,0,100000,73.03,100
ablation,full_validnorm,up_n_down,0,10000,1552.0,10
ablation,full_validnorm,up_n_down,0,20000,9955.0,10
ablation,full_validnorm,up_n_down,0,30000,2275.0,10
ablation,full_validnorm,up_n_down,0,40000,3583.0,10
ablation,full_validnorm,up_n_down,0,50000,3282.0,10
ablation,full_validnorm,up_n_down,0,60000,52811.0,10
ablation,full_validnorm,up_n_down,0,70000,90062.0,10
ablation,full_validnorm,up_n_down,0,80000,14143.0,10
ablation,full_validnorm,up_n_down,0,90000,3200.0,10
ablation,full_validnorm,up_n_down,0,100000,10373.1,100
ablation,full_validnorm,frostbite,0,10000,69.0,10
ablation,full_validnorm,frostbite,0,20000,202.0,10
ablation,full_validnorm,frostbite,0,30000,218.0,10
ablation,full_validnorm,frostbite,0,40000,225.0,10
ablation,full_validnorm,frostbite,0,50000,225.0,10
ablation,full_validnorm,frostbite,0,60000,234.0,10
ablation,full_validnorm,frostbite,0,70000,242.0,10
ablation,full_validnorm,frostbite,0,80000,247.0,10
ablation,full_validnorm,frostbite,0,90000,248.0,10
ablation,full_validnorm,frostbite,0,100000,263.9,100
ablation,full_validnorm,road_runner,0,10000,950.0,10
ablation,full_validnorm,road_runner,0,20000,2100.0,10
ablation,full_validnorm,road_runner,0,30000,4140.0,10
ablation,full_validnorm,road_runner,0,40000,9800.0,10
ablation,full_validnorm,road_runner,0,50000,7380.0,10
ablation,full_validnorm,road_runner,0,60000,9620.0,10
ablation,full_validnorm,road_runner,0,70000,13450.0,10
ablation,full_validnorm,road_runner,0,80000,13470.0,10
ablation,full_validnorm,road_runner,0,90000,14470.0,10
ablation,full_validnorm,road_runner,0,100000,14927.0,100
