role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,joint_flat,boxing,0,10000,0,6.0,1780.0
ablation,joint_flat,boxing,0,10000,1,4.0,1781.0
ablation,joint_flat,boxing,0,10000,2,11.0,1786.0
ablation,joint_flat,boxing,0,10000,3,6.0,1784.0
ablation,joint_flat,boxing,0,10000,4,5.0,1784.0
ablation,joint_flat,boxing,0,10000,5,3.0,1785.0
ablation,joint_flat,boxing,0,10000,6,0.0,1785.0
ablation,joint_flat,boxing,0,10000,7,0.0,1779.0
ablation,joint_flat,boxing,0,10000,8,1.0,1786.0
ablation,joint_flat,boxing,0,10000,9,5.0,1780.0
ablation,joint_flat,boxing,0,20000,0,46.0,1780.0
ablation,joint_flat,boxing,0,20000,1,38.0,1781.0
ablation,joint_flat,boxing,0,20000,2,52.0,1786.0
ablation,joint_flat,boxing,0,20000,3,64.0,1784.0
ablation,joint_flat,boxing,0,20000,4,55.0,1784.0
ablation,joint_flat,boxing,0,20000,5,59.0,1785.0
ablation,joint_flat,boxing,0,20000,6,30.0,1785.0
ablation,joint_flat,boxing,0,20000,7,48.0,1779.0
ablation,joint_flat,boxing,0,20000,8,67.0,1786.0
ablation,joint_flat,boxing,0,20000,9,56.0,1780.0
ablation,joint_flat,boxing,0,30000,0,73.0,1780.0
ablation,joint_flat,boxing,0,30000,1,59.0,1781.0
ablation,joint_flat,boxing,0,30000,2,68.0,1786.0
ablation,joint_flat,boxing,0,30000,3,38.0,1784.0
ablation,joint_flat,boxing,0,30000,4,54.0,1784.0
ablation,joint_flat,boxing,0,30000,5,68.0,1785.0
ablation,joint_flat,boxing,0,30000,6,42.0,1785.0
ablation,joint_flat,boxing,0,30000,7,40.0,1779.0
ablation,joint_flat,boxing,0,30000,8,66.0,1786.0
ablation,joint_flat,boxing,0,30000,9,54.0,1780.0
ablation,joint_flat,boxing,0,40000,0,75.0,1780.0
ablation,joint_flat,boxing,0,40000,1,53.0,1781.0
ablation,joint_flat,boxing,0,40000,2,81.0,1783.0
ablation,joint_flat,boxing,0,40000,3,45.0,1784.0
ablation,joint_flat,boxing,0,40000,4,68.0,1741.0
ablation,joint_flat,boxing,0,40000,5,57.0,1785.0
ablation,joint_flat,boxing,0,40000,6,81.0,1675.0
ablation,joint_flat,boxing,0,40000,7,65.0,1779.0
ablation,joint_flat,boxing,0,40000,8,78.0,1731.0
ablation,joint_flat,boxing,0,40000,9,64.0,1780.0
ablation,joint_flat,boxing,0,50000,0,54.0,1780.0
ablation,joint_flat,boxing,0,50000,1,46.0,1781.0
ablation,joint_flat,boxing,0,50000,2,44.0,1786.0
