role,arm,game,seed,agent_steps,mean_return,episodes
comparator,flat,boxing,0,10000,7.8,10
comparator,flat,boxing,0,20000,31.1,10
comparator,flat,boxing,0,30000,41.6,10
comparator,flat,boxing,0,40000,62.0,10
comparator,flat,boxing,0,50000,-40.6,10
comparator,flat,boxing,0,60000,68.4,10
comparator,flat,boxing,0,70000,72.0,10
comparator,flat,boxing,0,80000,71.6,10
comparator,flat,boxing,0,90000,75.2,10
comparator,flat,boxing,0,100000,73.13,100
comparator,flat,up_n_down,0,10000,1035.0,10
comparator,flat,up_n_down,0,20000,597.0,10
comparator,flat,up_n_down,0,30000,1882.0,10
comparator,flat,up_n_down,0,40000,2221.0,10
comparator,flat,up_n_down,0,50000,3908.0,10
comparator,flat,up_n_down,0,60000,3487.0,10
comparator,flat,up_n_down,0,70000,3810.0,10
comparator,flat,up_n_down,0,80000,4283.0,10
comparator,flat,up_n_down,0,90000,4794.0,10
comparator,flat,up_n_down,0,100000,4035.8,100
comparator,flat,frostbite,0,10000,62.0,10
comparator,flat,frostbite,0,20000,528.0,10
comparator,flat,frostbite,0,30000,300.0,10
comparator,flat,frostbite,0,40000,1016.0,10
comparator,flat,frostbite,0,50000,346.0,10
comparator,flat,frostbite,0,60000,1553.0,10
comparator,flat,frostbite,0,70000,2007.0,10
comparator,flat,frostbite,0,80000,1920.0,10
comparator,flat,frostbite,0,90000,2531.0,10
comparator,flat,frostbite,0,100000,2532.1,100
comparator,flat,road_runner,0,10000,20.0,10
comparator,flat,road_runner,0,20000,1420.0,10
comparator,flat,road_runner,0,30000,5790.0,10
comparator,flat,road_runner,0,40000,7410.0,10
comparator,flat,road_runner,0,50000,14800.0,10
comparator,flat,road_runner,0,60000,16430.0,10
comparator,flat,road_runner,0,70000,15830.0,10
comparator,flat,road_runner,0,80000,13000.0,10
comparator,flat,road_runner,0,90000,15700.0,10
comparator,flat,road_runner,0,100000,15831.0,100
ablation,joint_flat,boxing,0,10000,4.1,10
ablation,joint_flat,boxing,0,20000,51.5,10
ablation,joint_flat,boxing,0,30000,56.2,10
ablation,joint_flat,boxing,0,40000,66.7,10
ablation,joint_flat,boxing,0,50000,38.8,10
ablation,joint_flat,boxing,0,60000,71.7,10
ablation,joint_flat,boxing,0,70000,79.9,10
ablation,joint_flat,boxing,0,80000,72.3,10
ablation,joint_flat,boxing,0,90000,77.5,10
ablation,joint_flat,boxing,0,100000,74.77,100
ablation,joint_flat,up_n_down,0,10000,1035.0,10
ablation,joint_flat,up_n_down,0,20000,597.0,10
ablation,joint_flat,up_n_down,0,30000,1882.0,10
ablation,joint_flat,up_n_down,0,40000,2221.0,10
ablation,joint_flat,up_n_down,0,50000,3908.0,10
ablation,joint_flat,up_n_down,0,60000,3487.0,10
ablation,joint_flat,up_n_down,0,70000,3810.0,10
ablation,joint_flat,up_n_down,0,80000,4283.0,10
ablation,joint_flat,up_n_down,0,90000,4794.0,10
ablation,joint_flat,up_n_down,0,100000,4035.8,100
ablation,joint_flat,frostbite,0,10000,62.0,10
ablation,joint_flat,frostbite,0,20000,528.0,10
ablation,joint_flat,frostbite,0,30000,300.0,10
ablation,joint_flat,frostbite,0,40000,1016.0,10
ablation,joint_flat,frostbite,0,50000,346.0,10
ablation,joint_flat,frostbite,0,60000,1553.0,10
ablation,joint_flat,frostbite,0,70000,2007.0,10
ablation,joint_flat,frostbite,0,80000,1920.0,10
ablation,joint_flat,frostbite,0,90000,2531.0,10
ablation,joint_flat,frostbite,0,100000,2532.1,100
ablation,joint_flat,road_runner,0,10000,1880.0,10
ablation,joint_flat,road_runner,0,20000,2010.0,10
ablation,joint_flat,road_runner,0,30000,1650.0,10
ablation,joint_flat,road_runner,0,40000,5840.0,10
ablation,joint_flat,road_runner,0,50000,6640.0,10
ablation,joint_flat,road_runner,0,60000,13810.0,10
ablation,joint_flat,road_runner,0,70000,16680.0,10
ablation,joint_flat,road_runner,0,80000,15130.0,10
ablation,joint_flat,road_runner,0,90000,15370.0,10
ablation,joint_flat,road_runner,0,100000,16504.0,100
