role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,joint_full,boxing,0,10000,0,-25.0,1780.0
ablation,joint_full,boxing,0,10000,1,-2.0,1781.0
ablation,joint_full,boxing,0,10000,2,-4.0,1786.0
ablation,joint_full,boxing,0,10000,3,-9.0,1784.0
ablation,joint_full,boxing,0,10000,4,6.0,1784.0
ablation,joint_full,boxing,0,10000,5,2.0,1785.0
ablation,joint_full,boxing,0,10000,6,-3.0,1785.0
ablation,joint_full,boxing,0,10000,7,-15.0,1779.0
ablation,joint_full,boxing,0,10000,8,-2.0,1786.0
ablation,joint_full,boxing,0,10000,9,7.0,1780.0
ablation,joint_full,boxing,0,20000,0,4.0,1780.0
ablation,joint_full,boxing,0,20000,1,-1.0,1781.0
ablation,joint_full,boxing,0,20000,2,-3.0,1786.0
ablation,joint_full,boxing,0,20000,3,0.0,1784.0
ablation,joint_full,boxing,0,20000,4,0.0,1784.0
ablation,joint_full,boxing,0,20000,5,-3.0,1785.0
ablation,joint_full,boxing,0,20000,6,-6.0,1785.0
ablation,joint_full,boxing,0,20000,7,4.0,1779.0
ablation,joint_full,boxing,0,20000,8,0.0,1786.0
ablation,joint_full,boxing,0,20000,9,1.0,1780.0
ablation,joint_full,boxing,0,30000,0,30.0,1130.0
ablation,joint_full,boxing,0,30000,1,12.0,1431.0
ablation,joint_full,boxing,0,30000,2,13.0,1786.0
ablation,joint_full,boxing,0,30000,3,17.0,1784.0
ablation,joint_full,boxing,0,30000,4,24.0,1162.0
ablation,joint_full,boxing,0,30000,5,9.0,1785.0
ablation,joint_full,boxing,0,30000,6,28.0,1115.0
ablation,joint_full,boxing,0,30000,7,28.0,1093.0
ablation,joint_full,boxing,0,30000,8,44.0,932.0
ablation,joint_full,boxing,0,30000,9,20.0,1164.0
ablation,joint_full,boxing,0,40000,0,47.0,1101.0
ablation,joint_full,boxing,0,40000,1,49.0,1037.0
ablation,joint_full,boxing,0,40000,2,50.0,1101.0
ablation,joint_full,boxing,0,40000,3,46.0,1209.0
ablation,joint_full,boxing,0,40000,4,61.0,1158.0
ablation,joint_full,boxing,0,40000,5,75.0,827.0
ablation,joint_full,boxing,0,40000,6,47.0,905.0
ablation,joint_full,boxing,0,40000,7,54.0,1205.0
ablation,joint_full,boxing,0,40000,8,33.0,1269.0
ablation,joint_full,boxing,0,40000,9,53.0,1452.0
ablation,joint_full,boxing,0,50000,0,50.0,1347.0
ablation,joint_full,boxing,0,50000,1,75.0,871.0
ablation,joint_full,boxing,0,50000,2,61.0,1140.0
ablation,joint_full,boxing,0,50000,3,59.0,1281.0
ablation,joint_full,boxing,0,50000,4,59.0,953.0
ablation,joint_full,boxing,0,50000,5,45.0,1405.0
ablation,joint_full,boxing,0,50000,6,44.0,1472.0
ablation,joint_full,boxing,0,50000,7,57.0,1277.0
ablation,joint_full,boxing,0,50000,8,32.0,1608.0
ablation,joint_full,boxing,0,50000,9,53.0,1156.0
ablation,joint_full,boxing,0,60000,0,71.0,714.0
ablation,joint_full,boxing,0,60000,1,51.0,1097.0
ablation,joint_full,boxing,0,60000,2,76.0,639.0
ablation,joint_full,boxing,0,60000,3,55.0,943.0
ablation,joint_full,boxing,0,60000,4,97.0,325.0
ablation,joint_full,boxing,0,60000,5,70.0,766.0
ablation,joint_full,boxing,0,60000,6,48.0,1029.0
ablation,joint_full,boxing,0,60000,7,83.0,591.0
ablation,joint_full,boxing,0,60000,8,78.0,591.0
ablation,joint_full,boxing,0,60000,9,68.0,755.0
ablation,joint_full,boxing,0,70000,0,65.0,911.0
ablation,joint_full,boxing,0,70000,1,86.0,552.0
ablation,joint_full,boxing,0,70000,2,66.0,890.0
ablation,joint_full,boxing,0,70000,3,77.0,789.0
ablation,joint_full,boxing,0,70000,4,76.0,811.0
ablation,joint_full,boxing,0,70000,5,67.0,910.0
ablation,joint_full,boxing,0,70000,6,77.0,698.0
ablation,joint_full,boxing,0,70000,7,64.0,959.0
ablation,joint_full,boxing,0,70000,8,49.0,1177.0
ablation,joint_full,boxing,0,70000,9,67.0,732.0
ablation,joint_full,boxing,0,80000,0,73.0,617.0
ablation,joint_full,boxing,0,80000,1,72.0,604.0
ablation,joint_full,boxing,0,80000,2,62.0,693.0
ablation,joint_full,boxing,0,80000,3,59.0,666.0
ablation,joint_full,boxing,0,80000,4,61.0,766.0
ablation,joint_full,boxing,0,80000,5,55.0,790.0
ablation,joint_full,boxing,0,80000,6,72.0,664.0
ablation,joint_full,boxing,0,80000,7,58.0,839.0
ablation,joint_full,boxing,0,80000,8,49.0,892.0
ablation,joint_full,boxing,0,80000,9,88.0,464.0
ablation,joint_full,boxing,0,90000,0,71.0,821.0
ablation,joint_full,boxing,0,90000,1,56.0,825.0
ablation,joint_full,boxing,0,90000,2,56.0,1089.0
ablation,joint_full,boxing,0,90000,3,89.0,406.0
ablation,joint_full,boxing,0,90000,4,76.0,601.0
ablation,joint_full,boxing,0,90000,5,73.0,770.0
ablation,joint_full,boxing,0,90000,6,51.0,1009.0
ablation,joint_full,boxing,0,90000,7,67.0,925.0
ablation,joint_full,boxing,0,90000,8,78.0,544.0
ablation,joint_full,boxing,0,90000,9,80.0,527.0
ablation,joint_full,boxing,0,100000,0,71.0,841.0
ablation,joint_full,boxing,0,100000,1,68.0,969.0
ablation,joint_full,boxing,0,100000,2,72.0,797.0
ablation,joint_full,boxing,0,100000,3,80.0,559.0
ablation,joint_full,boxing,0,100000,4,71.0,821.0
ablation,joint_full,boxing,0,100000,5,92.0,409.0
ablation,joint_full,boxing,0,100000,6,93.0,398.0
ablation,joint_full,boxing,0,100000,7,77.0,547.0
ablation,joint_full,boxing,0,100000,8,60.0,875.0
ablation,joint_full,boxing,0,100000,9,91.0,475.0
ablation,joint_full,boxing,0,100000,10,69.0,845.0
ablation,joint_full,boxing,0,100000,11,91.0,422.0
ablation,joint_full,boxing,0,100000,12,72.0,709.0
ablation,joint_full,boxing,0,100000,13,88.0,482.0
ablation,joint_full,boxing,0,100000,14,78.0,597.0
ablation,joint_full,boxing,0,100000,15,83.0,557.0
ablation,joint_full,boxing,0,100000,16,80.0,622.0
ablation,joint_full,boxing,0,100000,17,64.0,898.0
ablation,joint_full,boxing,0,100000,18,74.0,667.0
ablation,joint_full,boxing,0,100000,19,57.0,888.0
ablation,joint_full,boxing,0,100000,20,86.0,601.0
ablation,joint_full,boxing,0,100000,21,98.0,285.0
ablation,joint_full,boxing,0,100000,22,84.0,514.0
ablation,joint_full,boxing,0,100000,23,78.0,650.0
ablation,joint_full,boxing,0,100000,24,47.0,1150.0
ablation,joint_full,boxing,0,100000,25,63.0,899.0
ablation,joint_full,boxing,0,100000,26,90.0,384.0
ablation,joint_full,boxing,0,100000,27,75.0,606.0
ablation,joint_full,boxing,0,100000,28,79.0,649.0
ablation,joint_full,boxing,0,100000,29,66.0,798.0
ablation,joint_full,boxing,0,100000,30,80.0,715.0
ablation,joint_full,boxing,0,100000,31,73.0,661.0
ablation,joint_full,boxing,0,100000,32,36.0,1351.0
ablation,joint_full,boxing,0,100000,33,67.0,787.0
ablation,joint_full,boxing,0,100000,34,81.0,550.0
ablation,joint_full,boxing,0,100000,35,55.0,980.0
ablation,joint_full,boxing,0,100000,36,94.0,326.0
ablation,joint_full,boxing,0,100000,37,77.0,611.0
ablation,joint_full,boxing,0,100000,38,83.0,626.0
ablation,joint_full,boxing,0,100000,39,80.0,627.0
ablation,joint_full,boxing,0,100000,40,96.0,381.0
ablation,joint_full,boxing,0,100000,41,75.0,722.0
ablation,joint_full,boxing,0,100000,42,86.0,517.0
ablation,joint_full,boxing,0,100000,43,71.0,703.0
ablation,joint_full,boxing,0,100000,44,92.0,380.0
ablation,joint_full,boxing,0,100000,45,66.0,945.0
ablation,joint_full,boxing,0,100000,46,96.0,324.0
ablation,joint_full,boxing,0,100000,47,73.0,665.0
ablation,joint_full,boxing,0,100000,48,82.0,524.0
ablation,joint_full,boxing,0,100000,49,61.0,923.0
ablation,joint_full,boxing,0,100000,50,52.0,855.0
ablation,joint_full,boxing,0,100000,51,81.0,583.0
ablation,joint_full,boxing,0,100000,52,89.0,435.0
ablation,joint_full,boxing,0,100000,53,80.0,514.0
ablation,joint_full,boxing,0,100000,54,92.0,366.0
ablation,joint_full,boxing,0,100000,55,62.0,941.0
ablation,joint_full,boxing,0,100000,56,82.0,654.0
ablation,joint_full,boxing,0,100000,57,86.0,442.0
ablation,joint_full,boxing,0,100000,58,81.0,655.0
ablation,joint_full,boxing,0,100000,59,72.0,752.0
ablation,joint_full,boxing,0,100000,60,81.0,575.0
ablation,joint_full,boxing,0,100000,61,90.0,409.0
ablation,joint_full,boxing,0,100000,62,81.0,528.0
ablation,joint_full,boxing,0,100000,63,80.0,547.0
ablation,joint_full,boxing,0,100000,64,71.0,770.0
ablation,joint_full,boxing,0,100000,65,49.0,961.0
ablation,joint_full,boxing,0,100000,66,91.0,430.0
ablation,joint_full,boxing,0,100000,67,78.0,551.0
ablation,joint_full,boxing,0,100000,68,80.0,548.0
ablation,joint_full,boxing,0,100000,69,77.0,634.0
ablation,joint_full,boxing,0,100000,70,75.0,702.0
ablation,joint_full,boxing,0,100000,71,89.0,445.0
ablation,joint_full,boxing,0,100000,72,81.0,557.0
