role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,joint_full,boxing,0,10000,-4.5,10
ablation,joint_full,boxing,0,20000,-0.4,10
ablation,joint_full,boxing,0,30000,22.5,10
ablation,joint_full,boxing,0,40000,51.5,10
ablation,joint_full,boxing,0,50000,53.5,10
ablation,joint_full,boxing,0,60000,69.7,10
ablation,joint_full,boxing,0,70000,69.4,10
ablation,joint_full,boxing,0,80000,64.9,10
ablation,joint_full,boxing,0,90000,69.7,10
ablation,joint_full,boxing,0,100000,76.05,100
ablation,joint_full,up_n_down,0,10000,1101.0,10
ablation,joint_full,up_n_down,0,20000,23530.0,10
ablation,joint_full,up_n_down,0,30000,8581.0,10
ablation,joint_full,up_n_down,0,40000,2808.0,10
ablation,joint_full,up_n_down,0,50000,2786.0,10
ablation,joint_full,up_n_down,0,60000,3315.0,10
ablation,joint_full,up_n_down,0,70000,5128.0,10
ablation,joint_full,up_n_down,0,80000,100383.0,10
ablation,joint_full,up_n_down,0,90000,8261.0,10
ablation,joint_full,up_n_down,0,100000,4731.4,100
ablation,joint_full,frostbite,0,10000,100.0,10
ablation,joint_full,frostbite,0,20000,166.0,10
ablation,joint_full,frostbite,0,30000,201.0,10
ablation,joint_full,frostbite,0,40000,208.0,10
ablation,joint_full,frostbite,0,50000,216.0,10
ablation,joint_full,frostbite,0,60000,244.0,10
ablation,joint_full,frostbite,0,70000,235.0,10
ablation,joint_full,frostbite,0,80000,250.0,10
ablation,joint_full,frostbite,0,90000,271.0,10
ablation,joint_full,frostbite,0,100000,825.8,100
ablation,joint_full,road_runner,0,10000,780.0,10
ablation,joint_full,road_runner,0,20000,930.0,10
ablation,joint_full,road_runner,0,30000,5360.0,10
ablation,joint_full,road_runner,0,40000,12500.0,10
ablation,joint_full,road_runner,0,50000,14760.0,10
ablation,joint_full,road_runner,0,60000,15210.0,10
ablation,joint_full,road_runner,0,70000,13730.0,10
ablation,joint_full,road_runner,0,80000,14080.0,10
ablation,joint_full,road_runner,0,90000,14950.0,10
ablation,joint_full,road_runner,0,100000,15435.0,100
