role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,joint_pdyn_only,boxing,0,10000,0,8.0,1697.0
ablation,joint_pdyn_only,boxing,0,10000,1,1.0,1781.0
ablation,joint_pdyn_only,boxing,0,10000,2,6.0,1786.0
ablation,joint_pdyn_only,boxing,0,10000,3,2.0,1784.0
ablation,joint_pdyn_only,boxing,0,10000,4,5.0,1784.0
ablation,joint_pdyn_only,boxing,0,10000,5,18.0,1785.0
ablation,joint_pdyn_only,boxing,0,10000,6,5.0,1785.0
ablation,joint_pdyn_only,boxing,0,10000,7,15.0,1779.0
ablation,joint_pdyn_only,boxing,0,10000,8,-1.0,1786.0
ablation,joint_pdyn_only,boxing,0,10000,9,-3.0,1780.0
ablation,joint_pdyn_only,boxing,0,20000,0,4.0,1694.0
ablation,joint_pdyn_only,boxing,0,20000,1,23.0,1710.0
ablation,joint_pdyn_only,boxing,0,20000,2,-20.0,1786.0
ablation,joint_pdyn_only,boxing,0,20000,3,7.0,1784.0
ablation,joint_pdyn_only,boxing,0,20000,4,-5.0,1784.0
ablation,joint_pdyn_only,boxing,0,20000,5,2.0,1785.0
ablation,joint_pdyn_only,boxing,0,20000,6,0.0,1785.0
ablation,joint_pdyn_only,boxing,0,20000,7,10.0,1779.0
ablation,joint_pdyn_only,boxing,0,20000,8,12.0,1786.0
ablation,joint_pdyn_only,boxing,0,20000,9,3.0,1780.0
ablation,joint_pdyn_only,boxing,0,30000,0,26.0,1336.0
ablation,joint_pdyn_only,boxing,0,30000,1,39.0,1258.0
ablation,joint_pdyn_only,boxing,0,30000,2,67.0,834.0
ablation,joint_pdyn_only,boxing,0,30000,3,24.0,1570.0
ablation,joint_pdyn_only,boxing,0,30000,4,42.0,1106.0
ablation,joint_pdyn_only,boxing,0,30000,5,29.0,1197.0
ablation,joint_pdyn_only,boxing,0,30000,6,32.0,1166.0
ablation,joint_pdyn_only,boxing,0,30000,7,64.0,749.0
ablation,joint_pdyn_only,boxing,0,30000,8,48.0,1029.0
ablation,joint_pdyn_only,boxing,0,30000,9,51.0,977.0
ablation,joint_pdyn_only,boxing,0,40000,0,52.0,953.0
ablation,joint_pdyn_only,boxing,0,40000,1,57.0,682.0
ablation,joint_pdyn_only,boxing,0,40000,2,39.0,1005.0
ablation,joint_pdyn_only,boxing,0,40000,3,49.0,797.0
ablation,joint_pdyn_only,boxing,0,40000,4,43.0,870.0
ablation,joint_pdyn_only,boxing,0,40000,5,25.0,1094.0
ablation,joint_pdyn_only,boxing,0,40000,6,71.0,568.0
ablation,joint_pdyn_only,boxing,0,40000,7,45.0,1018.0
ablation,joint_pdyn_only,boxing,0,40000,8,10.0,1122.0
ablation,joint_pdyn_only,boxing,0,40000,9,50.0,828.0
ablation,joint_pdyn_only,boxing,0,50000,0,83.0,507.0
ablation,joint_pdyn_only,boxing,0,50000,1,67.0,665.0
ablation,joint_pdyn_only,boxing,0,50000,2,86.0,397.0
ablation,joint_pdyn_only,boxing,0,50000,3,64.0,810.0
ablation,joint_pdyn_only,boxing,0,50000,4,87.0,456.0
ablation,joint_pdyn_only,boxing,0,50000,5,82.0,484.0
ablation,joint_pdyn_only,boxing,0,50000,6,66.0,687.0
ablation,joint_pdyn_only,boxing,0,50000,7,74.0,508.0
ablation,joint_pdyn_only,boxing,0,50000,8,88.0,466.0
ablation,joint_pdyn_only,boxing,0,50000,9,81.0,478.0
ablation,joint_pdyn_only,boxing,0,60000,0,93.0,371.0
