role,arm,game,seed,agent_steps,mean_return,episodes
comparator,pdyn_only,boxing,0,10000,-1.0,10
comparator,pdyn_only,boxing,0,20000,9.3,10
comparator,pdyn_only,boxing,0,30000,33.5,10
comparator,pdyn_only,boxing,0,40000,43.0,10
comparator,pdyn_only,boxing,0,50000,48.4,10
comparator,pdyn_only,boxing,0,60000,42.5,10
comparator,pdyn_only,boxing,0,70000,64.9,10
comparator,pdyn_only,boxing,0,80000,39.8,10
comparator,pdyn_only,boxing,0,90000,56.1,10
comparator,pdyn_only,boxing,0,100000,44.79,100
comparator,pdyn_only,up_n_down,0,10000,859.0,10
comparator,pdyn_only,up_n_down,0,20000,45822.0,10
comparator,pdyn_only,up_n_down,0,30000,27225.0,10
comparator,pdyn_only,up_n_down,0,40000,17329.0,10
comparator,pdyn_only,up_n_down,0,50000,31434.0,10
comparator,pdyn_only,up_n_down,0,60000,2915.0,10
comparator,pdyn_only,up_n_down,0,70000,17906.0,10
comparator,pdyn_only,up_n_down,0,80000,21472.0,10
comparator,pdyn_only,up_n_down,0,90000,3917.0,10
comparator,pdyn_only,up_n_down,0,100000,3554.9,100
comparator,pdyn_only,frostbite,0,10000,105.0,10
comparator,pdyn_only,frostbite,0,20000,163.0,10
comparator,pdyn_only,frostbite,0,30000,219.0,10
comparator,pdyn_only,frostbite,0,40000,212.0,10
comparator,pdyn_only,frostbite,0,50000,217.0,10
comparator,pdyn_only,frostbite,0,60000,220.0,10
comparator,pdyn_only,frostbite,0,70000,244.0,10
comparator,pdyn_only,frostbite,0,80000,348.0,10
comparator,pdyn_only,frostbite,0,90000,236.0,10
comparator,pdyn_only,frostbite,0,100000,255.7,100
comparator,pdyn_only,road_runner,0,10000,740.0,10
comparator,pdyn_only,road_runner,0,20000,970.0,10
comparator,pdyn_only,road_runner,0,30000,970.0,10
comparator,pdyn_only,road_runner,0,40000,990.0,10
comparator,pdyn_only,road_runner,0,50000,2120.0,10
comparator,pdyn_only,road_runner,0,60000,8460.0,10
comparator,pdyn_only,road_runner,0,70000,14750.0,10
comparator,pdyn_only,road_runner,0,80000,12100.0,10
comparator,pdyn_only,road_runner,0,90000,15480.0,10
comparator,pdyn_only,road_runner,0,100000,14824.0,100
ablation,joint_pdyn_only,boxing,0,10000,5.6,10
ablation,joint_pdyn_only,boxing,0,20000,3.6,10
ablation,joint_pdyn_only,boxing,0,30000,42.2,10
ablation,joint_pdyn_only,boxing,0,40000,44.1,10
ablation,joint_pdyn_only,boxing,0,50000,77.8,10
ablation,joint_pdyn_only,boxing,0,60000,78.1,10
ablation,joint_pdyn_only,boxing,0,70000,86.8,10
ablation,joint_pdyn_only,boxing,0,80000,80.2,10
ablation,joint_pdyn_only,boxing,0,90000,-39.8,10
ablation,joint_pdyn_only,boxing,0,100000,82.78,100
ablation,joint_pdyn_only,up_n_down,0,10000,1008.0,10
ablation,joint_pdyn_only,up_n_down,0,20000,3773.0,10
ablation,joint_pdyn_only,up_n_down,0,30000,3443.0,10
ablation,joint_pdyn_only,up_n_down,0,40000,1853.0,10
ablation,joint_pdyn_only,up_n_down,0,50000,4608.0,10
ablation,joint_pdyn_only,up_n_down,0,60000,16539.0,10
ablation,joint_pdyn_only,up_n_down,0,70000,33004.0,10
ablation,joint_pdyn_only,up_n_down,0,80000,215870.0,10
ablation,joint_pdyn_only,up_n_down,0,90000,195178.0,10
ablation,joint_pdyn_only,up_n_down,0,100000,194489.7,100
ablation,joint_pdyn_only,frostbite,0,10000,78.0,10
ablation,joint_pdyn_only,frostbite,0,20000,95.0,10
ablation,joint_pdyn_only,frostbite,0,30000,1028.0,10
ablation,joint_pdyn_only,frostbite,0,40000,954.0,10
ablation,joint_pdyn_only,frostbite,0,50000,1385.0,10
ablation,joint_pdyn_only,frostbite,0,60000,1330.0,10
ablation,joint_pdyn_only,frostbite,0,70000,2604.0,10
ablation,joint_pdyn_only,frostbite,0,80000,2592.0,10
ablation,joint_pdyn_only,frostbite,0,90000,2947.0,10
ablation,joint_pdyn_only,frostbite,0,100000,3055.2,100
ablation,joint_pdyn_only,road_runner,0,10000,840.0,10
ablation,joint_pdyn_only,road_runner,0,20000,1900.0,10
ablation,joint_pdyn_only,road_runner,0,30000,700.0,10
ablation,joint_pdyn_only,road_runner,0,40000,3700.0,10
ablation,joint_pdyn_only,road_runner,0,50000,4560.0,10
ablation,joint_pdyn_only,road_runner,0,60000,6520.0,10
ablation,joint_pdyn_only,road_runner,0,70000,6140.0,10
ablation,joint_pdyn_only,road_runner,0,80000,11120.0,10
ablation,joint_pdyn_only,road_runner,0,90000,12860.0,10
ablation,joint_pdyn_only,road_runner,0,100000,11966.0,100
