role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,joint_rec_only,boxing,0,10000,0,-6.0,1780.0
ablation,joint_rec_only,boxing,0,10000,1,5.0,1781.0
ablation,joint_rec_only,boxing,0,10000,2,13.0,1786.0
ablation,joint_rec_only,boxing,0,10000,3,12.0,1784.0
ablation,joint_rec_only,boxing,0,10000,4,-5.0,1784.0
ablation,joint_rec_only,boxing,0,10000,5,-2.0,1785.0
ablation,joint_rec_only,boxing,0,10000,6,8.0,1785.0
ablation,joint_rec_only,boxing,0,10000,7,2.0,1779.0
ablation,joint_rec_only,boxing,0,10000,8,11.0,1786.0
ablation,joint_rec_only,boxing,0,10000,9,1.0,1780.0
ablation,joint_rec_only,boxing,0,20000,0,25.0,1780.0
ablation,joint_rec_only,boxing,0,20000,1,31.0,1781.0
ablation,joint_rec_only,boxing,0,20000,2,52.0,1786.0
ablation,joint_rec_only,boxing,0,20000,3,60.0,1784.0
ablation,joint_rec_only,boxing,0,20000,4,24.0,1784.0
ablation,joint_rec_only,boxing,0,20000,5,28.0,1785.0
ablation,joint_rec_only,boxing,0,20000,6,25.0,1785.0
ablation,joint_rec_only,boxing,0,20000,7,18.0,1779.0
ablation,joint_rec_only,boxing,0,20000,8,39.0,1786.0
ablation,joint_rec_only,boxing,0,20000,9,15.0,1780.0
ablation,joint_rec_only,boxing,0,30000,0,34.0,1780.0
ablation,joint_rec_only,boxing,0,30000,1,59.0,1781.0
ablation,joint_rec_only,boxing,0,30000,2,43.0,1786.0
ablation,joint_rec_only,boxing,0,30000,3,30.0,1784.0
ablation,joint_rec_only,boxing,0,30000,4,47.0,1784.0
ablation,joint_rec_only,boxing,0,30000,5,46.0,1785.0
ablation,joint_rec_only,boxing,0,30000,6,43.0,1785.0
ablation,joint_rec_only,boxing,0,30000,7,54.0,1779.0
ablation,joint_rec_only,boxing,0,30000,8,58.0,1786.0
ablation,joint_rec_only,boxing,0,30000,9,48.0,1780.0
ablation,joint_rec_only,boxing,0,40000,0,55.0,1780.0
ablation,joint_rec_only,boxing,0,40000,1,68.0,1770.0
ablation,joint_rec_only,boxing,0,40000,2,56.0,1786.0
ablation,joint_rec_only,boxing,0,40000,3,63.0,1784.0
ablation,joint_rec_only,boxing,0,40000,4,72.0,1775.0
ablation,joint_rec_only,boxing,0,40000,5,68.0,1785.0
ablation,joint_rec_only,boxing,0,40000,6,51.0,1785.0
ablation,joint_rec_only,boxing,0,40000,7,55.0,1779.0
ablation,joint_rec_only,boxing,0,40000,8,65.0,1786.0
ablation,joint_rec_only,boxing,0,40000,9,47.0,1780.0
ablation,joint_rec_only,boxing,0,50000,0,78.0,1723.0
ablation,joint_rec_only,boxing,0,50000,1,86.0,1531.0
ablation,joint_rec_only,boxing,0,50000,2,80.0,1668.0
ablation,joint_rec_only,boxing,0,50000,3,81.0,1513.0
ablation,joint_rec_only,boxing,0,50000,4,68.0,1784.0
ablation,joint_rec_only,boxing,0,50000,5,62.0,1785.0
ablation,joint_rec_only,boxing,0,50000,6,79.0,1600.0
ablation,joint_rec_only,boxing,0,50000,7,61.0,1779.0
ablation,joint_rec_only,boxing,0,50000,8,71.0,1766.0
ablation,joint_rec_only,boxing,0,50000,9,72.0,1780.0
ablation,joint_rec_only,boxing,0,60000,0,72.0,1593.0
ablation,joint_rec_only,boxing,0,60000,1,83.0,1357.0
ablation,joint_rec_only,boxing,0,60000,2,71.0,1786.0
ablation,joint_rec_only,boxing,0,60000,3,60.0,1508.0
ablation,joint_rec_only,boxing,0,60000,4,68.0,1618.0
ablation,joint_rec_only,boxing,0,60000,5,84.0,1730.0
ablation,joint_rec_only,boxing,0,60000,6,67.0,1731.0
ablation,joint_rec_only,boxing,0,60000,7,69.0,1779.0
ablation,joint_rec_only,boxing,0,60000,8,63.0,1786.0
ablation,joint_rec_only,boxing,0,60000,9,76.0,1649.0
ablation,joint_rec_only,boxing,0,70000,0,49.0,1706.0
ablation,joint_rec_only,boxing,0,70000,1,29.0,1781.0
ablation,joint_rec_only,boxing,0,70000,2,54.0,1488.0
ablation,joint_rec_only,boxing,0,70000,3,37.0,1579.0
ablation,joint_rec_only,boxing,0,70000,4,54.0,1564.0
ablation,joint_rec_only,boxing,0,70000,5,48.0,1443.0
ablation,joint_rec_only,boxing,0,70000,6,45.0,1669.0
ablation,joint_rec_only,boxing,0,70000,7,34.0,1659.0
ablation,joint_rec_only,boxing,0,70000,8,42.0,1657.0
ablation,joint_rec_only,boxing,0,70000,9,18.0,1780.0
ablation,joint_rec_only,boxing,0,80000,0,48.0,1780.0
ablation,joint_rec_only,boxing,0,80000,1,83.0,1458.0
ablation,joint_rec_only,boxing,0,80000,2,82.0,1624.0
ablation,joint_rec_only,boxing,0,80000,3,75.0,1763.0
ablation,joint_rec_only,boxing,0,80000,4,68.0,1694.0
ablation,joint_rec_only,boxing,0,80000,5,63.0,1713.0
ablation,joint_rec_only,boxing,0,80000,6,67.0,1785.0
ablation,joint_rec_only,boxing,0,80000,7,79.0,1501.0
