role,arm,game,seed,agent_steps,mean_return,episodes
comparator,rec_only,boxing,0,10000,0.3,10
comparator,rec_only,boxing,0,20000,27.2,10
comparator,rec_only,boxing,0,30000,49.9,10
comparator,rec_only,boxing,0,40000,59.0,10
comparator,rec_only,boxing,0,50000,71.9,10
comparator,rec_only,boxing,0,60000,57.7,10
comparator,rec_only,boxing,0,70000,73.7,10
comparator,rec_only,boxing,0,80000,46.3,10
comparator,rec_only,boxing,0,90000,79.1,10
comparator,rec_only,boxing,0,100000,27.36,100
comparator,rec_only,up_n_down,0,10000,593.0,10
comparator,rec_only,up_n_down,0,20000,51896.0,10
comparator,rec_only,up_n_down,0,30000,22.0,10
comparator,rec_only,up_n_down,0,40000,71882.0,10
comparator,rec_only,up_n_down,0,50000,110226.0,10
comparator,rec_only,up_n_down,0,60000,6195.0,10
comparator,rec_only,up_n_down,0,70000,19073.0,10
comparator,rec_only,up_n_down,0,80000,58787.0,10
comparator,rec_only,up_n_down,0,90000,8901.0,10
comparator,rec_only,up_n_down,0,100000,19740.3,100
comparator,rec_only,frostbite,0,10000,134.0,10
comparator,rec_only,frostbite,0,20000,164.0,10
comparator,rec_only,frostbite,0,30000,209.0,10
comparator,rec_only,frostbite,0,40000,329.0,10
comparator,rec_only,frostbite,0,50000,218.0,10
comparator,rec_only,frostbite,0,60000,242.0,10
comparator,rec_only,frostbite,0,70000,252.0,10
comparator,rec_only,frostbite,0,80000,279.0,10
comparator,rec_only,frostbite,0,90000,331.0,10
comparator,rec_only,frostbite,0,100000,481.6,100
comparator,rec_only,road_runner,0,10000,770.0,10
comparator,rec_only,road_runner,0,20000,6590.0,10
comparator,rec_only,road_runner,0,30000,13280.0,10
comparator,rec_only,road_runner,0,40000,13140.0,10
comparator,rec_only,road_runner,0,50000,14550.0,10
comparator,rec_only,road_runner,0,60000,13960.0,10
comparator,rec_only,road_runner,0,70000,15150.0,10
comparator,rec_only,road_runner,0,80000,14420.0,10
comparator,rec_only,road_runner,0,90000,13340.0,10
comparator,rec_only,road_runner,0,100000,15801.0,100
ablation,joint_rec_only,boxing,0,10000,3.9,10
ablation,joint_rec_only,boxing,0,20000,31.7,10
ablation,joint_rec_only,boxing,0,30000,46.2,10
ablation,joint_rec_only,boxing,0,40000,60.0,10
ablation,joint_rec_only,boxing,0,50000,73.8,10
ablation,joint_rec_only,boxing,0,60000,71.3,10
ablation,joint_rec_only,boxing,0,70000,41.0,10
ablation,joint_rec_only,boxing,0,80000,72.5,10
ablation,joint_rec_only,boxing,0,90000,65.0,10
ablation,joint_rec_only,boxing,0,100000,73.22,100
ablation,joint_rec_only,up_n_down,0,10000,1615.0,10
ablation,joint_rec_only,up_n_down,0,20000,46911.0,10
ablation,joint_rec_only,up_n_down,0,30000,76023.0,10
ablation,joint_rec_only,up_n_down,0,40000,60568.0,10
ablation,joint_rec_only,up_n_down,0,50000,23658.0,10
ablation,joint_rec_only,up_n_down,0,60000,78123.0,10
ablation,joint_rec_only,up_n_down,0,70000,115438.0,10
ablation,joint_rec_only,up_n_down,0,80000,12544.0,10
ablation,joint_rec_only,up_n_down,0,90000,31525.0,10
ablation,joint_rec_only,up_n_down,0,100000,35369.8,100
ablation,joint_rec_only,frostbite,0,10000,68.0,10
ablation,joint_rec_only,frostbite,0,20000,201.0,10
ablation,joint_rec_only,frostbite,0,30000,702.0,10
ablation,joint_rec_only,frostbite,0,40000,2060.0,10
ablation,joint_rec_only,frostbite,0,50000,2696.0,10
ablation,joint_rec_only,frostbite,0,60000,2733.0,10
ablation,joint_rec_only,frostbite,0,70000,2311.0,10
ablation,joint_rec_only,frostbite,0,80000,2249.0,10
ablation,joint_rec_only,frostbite,0,90000,2508.0,10
ablation,joint_rec_only,frostbite,0,100000,2409.6,100
ablation,joint_rec_only,road_runner,0,10000,580.0,10
ablation,joint_rec_only,road_runner,0,20000,700.0,10
ablation,joint_rec_only,road_runner,0,30000,7490.0,10
ablation,joint_rec_only,road_runner,0,40000,12180.0,10
ablation,joint_rec_only,road_runner,0,50000,13310.0,10
ablation,joint_rec_only,road_runner,0,60000,14320.0,10
ablation,joint_rec_only,road_runner,0,70000,13080.0,10
ablation,joint_rec_only,road_runner,0,80000,14570.0,10
ablation,joint_rec_only,road_runner,0,90000,14560.0,10
ablation,joint_rec_only,road_runner,0,100000,15926.0,100
