role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,level1_long,boxing,0,10000,0,17.0,1780.0
ablation,level1_long,boxing,0,10000,1,10.0,1781.0
ablation,level1_long,boxing,0,10000,2,13.0,1786.0
ablation,level1_long,boxing,0,10000,3,-1.0,1784.0
ablation,level1_long,boxing,0,10000,4,12.0,1784.0
ablation,level1_long,boxing,0,10000,5,7.0,1785.0
ablation,level1_long,boxing,0,10000,6,1.0,1785.0
ablation,level1_long,boxing,0,10000,7,21.0,1779.0
ablation,level1_long,boxing,0,10000,8,22.0,1786.0
ablation,level1_long,boxing,0,10000,9,7.0,1780.0
ablation,level1_long,boxing,0,20000,0,24.0,1780.0
ablation,level1_long,boxing,0,20000,1,11.0,1781.0
ablation,level1_long,boxing,0,20000,2,1.0,1786.0
ablation,level1_long,boxing,0,20000,3,20.0,1784.0
ablation,level1_long,boxing,0,20000,4,5.0,1784.0
ablation,level1_long,boxing,0,20000,5,8.0,1785.0
ablation,level1_long,boxing,0,20000,6,31.0,1785.0
ablation,level1_long,boxing,0,20000,7,23.0,1779.0
ablation,level1_long,boxing,0,20000,8,13.0,1786.0
ablation,level1_long,boxing,0,20000,9,17.0,1780.0
ablation,level1_long,boxing,0,30000,0,59.0,1103.0
ablation,level1_long,boxing,0,30000,1,45.0,1406.0
ablation,level1_long,boxing,0,30000,2,53.0,1152.0
ablation,level1_long,boxing,0,30000,3,36.0,1300.0
ablation,level1_long,boxing,0,30000,4,73.0,877.0
ablation,level1_long,boxing,0,30000,5,58.0,1125.0
ablation,level1_long,boxing,0,30000,6,72.0,1015.0
ablation,level1_long,boxing,0,30000,7,63.0,1096.0
ablation,level1_long,boxing,0,30000,8,43.0,1248.0
ablation,level1_long,boxing,0,30000,9,40.0,1421.0
ablation,level1_long,boxing,0,40000,0,73.0,940.0
ablation,level1_long,boxing,0,40000,1,75.0,887.0
ablation,level1_long,boxing,0,40000,2,79.0,793.0
ablation,level1_long,boxing,0,40000,3,79.0,782.0
ablation,level1_long,boxing,0,40000,4,81.0,886.0
ablation,level1_long,boxing,0,40000,5,58.0,1144.0
ablation,level1_long,boxing,0,40000,6,71.0,853.0
ablation,level1_long,boxing,0,40000,7,62.0,1054.0
ablation,level1_long,boxing,0,40000,8,59.0,1230.0
ablation,level1_long,boxing,0,40000,9,65.0,920.0
ablation,level1_long,boxing,0,50000,0,94.0,635.0
ablation,level1_long,boxing,0,50000,1,92.0,573.0
ablation,level1_long,boxing,0,50000,2,87.0,604.0
ablation,level1_long,boxing,0,50000,3,69.0,820.0
ablation,level1_long,boxing,0,50000,4,89.0,636.0
ablation,level1_long,boxing,0,50000,5,75.0,807.0
ablation,level1_long,boxing,0,50000,6,74.0,806.0
ablation,level1_long,boxing,0,50000,7,83.0,593.0
ablation,level1_long,boxing,0,50000,8,73.0,952.0
ablation,level1_long,boxing,0,50000,9,96.0,550.0
ablation,level1_long,boxing,0,60000,0,78.0,790.0
ablation,level1_long,boxing,0,60000,1,78.0,751.0
ablation,level1_long,boxing,0,60000,2,88.0,724.0
ablation,level1_long,boxing,0,60000,3,71.0,953.0
ablation,level1_long,boxing,0,60000,4,73.0,777.0
ablation,level1_long,boxing,0,60000,5,76.0,794.0
ablation,level1_long,boxing,0,60000,6,92.0,695.0
ablation,level1_long,boxing,0,60000,7,79.0,843.0
ablation,level1_long,boxing,0,60000,8,75.0,888.0
ablation,level1_long,boxing,0,60000,9,68.0,891.0
ablation,level1_long,boxing,0,70000,0,93.0,578.0
ablation,level1_long,boxing,0,70000,1,85.0,522.0
ablation,level1_long,boxing,0,70000,2,75.0,703.0
ablation,level1_long,boxing,0,70000,3,76.0,734.0
ablation,level1_long,boxing,0,70000,4,93.0,504.0
ablation,level1_long,boxing,0,70000,5,83.0,657.0
ablation,level1_long,boxing,0,70000,6,84.0,608.0
ablation,level1_long,boxing,0,70000,7,98.0,363.0
ablation,level1_long,boxing,0,70000,8,64.0,1055.0
ablation,level1_long,boxing,0,70000,9,81.0,692.0
ablation,level1_long,boxing,0,80000,0,84.0,534.0
ablation,level1_long,boxing,0,80000,1,93.0,419.0
ablation,level1_long,boxing,0,80000,2,34.0,1786.0
ablation,level1_long,boxing,0,80000,3,84.0,574.0
ablation,level1_long,boxing,0,80000,4,93.0,532.0
ablation,level1_long,boxing,0,80000,5,81.0,606.0
ablation,level1_long,boxing,0,80000,6,68.0,739.0
ablation,level1_long,boxing,0,80000,7,81.0,537.0
ablation,level1_long,boxing,0,80000,8,77.0,717.0
ablation,level1_long,boxing,0,80000,9,75.0,664.0
ablation,level1_long,boxing,0,90000,0,78.0,790.0
ablation,level1_long,boxing,0,90000,1,74.0,866.0
ablation,level1_long,boxing,0,90000,2,76.0,837.0
ablation,level1_long,boxing,0,90000,3,83.0,620.0
ablation,level1_long,boxing,0,90000,4,88.0,558.0
ablation,level1_long,boxing,0,90000,5,88.0,544.0
ablation,level1_long,boxing,0,90000,6,92.0,527.0
ablation,level1_long,boxing,0,90000,7,86.0,576.0
ablation,level1_long,boxing,0,90000,8,69.0,856.0
ablation,level1_long,boxing,0,90000,9,85.0,513.0
ablation,level1_long,boxing,0,100000,0,90.0,458.0
ablation,level1_long,boxing,0,100000,1,90.0,476.0
ablation,level1_long,boxing,0,100000,2,88.0,572.0
ablation,level1_long,boxing,0,100000,3,85.0,672.0
ablation,level1_long,boxing,0,100000,4,94.0,437.0
ablation,level1_long,boxing,0,100000,5,63.0,874.0
ablation,level1_long,boxing,0,100000,6,84.0,590.0
ablation,level1_long,boxing,0,100000,7,84.0,624.0
ablation,level1_long,boxing,0,100000,8,82.0,637.0
ablation,level1_long,boxing,0,100000,9,80.0,818.0
ablation,level1_long,boxing,0,100000,10,85.0,683.0
ablation,level1_long,boxing,0,100000,11,84.0,665.0
ablation,level1_long,boxing,0,100000,12,74.0,785.0
ablation,level1_long,boxing,0,100000,13,88.0,733.0
ablation,level1_long,boxing,0,100000,14,89.0,540.0
ablation,level1_long,boxing,0,100000,15,91.0,514.0
ablation,level1_long,boxing,0,100000,16,90.0,601.0
ablation,level1_long,boxing,0,100000,17,91.0,633.0
ablation,level1_long,boxing,0,100000,18,65.0,986.0
ablation,level1_long,boxing,0,100000,19,73.0,892.0
ablation,level1_long,boxing,0,100000,20,91.0,561.0
ablation,level1_long,boxing,0,100000,21,80.0,684.0
ablation,level1_long,boxing,0,100000,22,67.0,937.0
ablation,level1_long,boxing,0,100000,23,93.0,526.0
