role,arm,game,seed,agent_steps,mean_return,episodes
comparator,all16,boxing,0,10000,5.7,10
comparator,all16,boxing,0,20000,20.8,10
comparator,all16,boxing,0,30000,39.0,10
comparator,all16,boxing,0,40000,55.5,10
comparator,all16,boxing,0,50000,66.2,10
comparator,all16,boxing,0,60000,61.4,10
comparator,all16,boxing,0,70000,66.1,10
comparator,all16,boxing,0,80000,63.1,10
comparator,all16,boxing,0,90000,71.2,10
comparator,all16,boxing,0,100000,71.94,100
comparator,all16,up_n_down,0,10000,11773.0,10
comparator,all16,up_n_down,0,20000,65668.0,10
comparator,all16,up_n_down,0,30000,66360.0,10
comparator,all16,up_n_down,0,40000,20188.0,10
comparator,all16,up_n_down,0,50000,17542.0,10
comparator,all16,up_n_down,0,60000,7038.0,10
comparator,all16,up_n_down,0,70000,8592.0,10
comparator,all16,up_n_down,0,80000,17615.0,10
comparator,all16,up_n_down,0,90000,32669.0,10
comparator,all16,up_n_down,0,100000,18829.1,100
comparator,all16,frostbite,0,10000,173.0,10
comparator,all16,frostbite,0,20000,184.0,10
comparator,all16,frostbite,0,30000,219.0,10
comparator,all16,frostbite,0,40000,168.0,10
comparator,all16,frostbite,0,50000,214.0,10
comparator,all16,frostbite,0,60000,242.0,10
comparator,all16,frostbite,0,70000,254.0,10
comparator,all16,frostbite,0,80000,561.0,10
comparator,all16,frostbite,0,90000,361.0,10
comparator,all16,frostbite,0,100000,394.0,100
comparator,all16,road_runner,0,10000,1170.0,10
comparator,all16,road_runner,0,20000,2460.0,10
comparator,all16,road_runner,0,30000,1390.0,10
comparator,all16,road_runner,0,40000,14420.0,10
comparator,all16,road_runner,0,50000,14880.0,10
comparator,all16,road_runner,0,60000,14860.0,10
comparator,all16,road_runner,0,70000,14360.0,10
comparator,all16,road_runner,0,80000,15560.0,10
comparator,all16,road_runner,0,90000,15560.0,10
comparator,all16,road_runner,0,100000,13935.0,100
ablation,level1_long,boxing,0,10000,10.9,10
ablation,level1_long,boxing,0,20000,15.3,10
ablation,level1_long,boxing,0,30000,54.2,10
ablation,level1_long,boxing,0,40000,70.2,10
ablation,level1_long,boxing,0,50000,83.2,10
ablation,level1_long,boxing,0,60000,77.8,10
ablation,level1_long,boxing,0,70000,83.2,10
ablation,level1_long,boxing,0,80000,77.0,10
ablation,level1_long,boxing,0,90000,81.9,10
ablation,level1_long,boxing,0,100000,83.18,100
ablation,level1_long,up_n_down,0,10000,4296.0,10
ablation,level1_long,up_n_down,0,20000,1651.0,10
ablation,level1_long,up_n_down,0,30000,1900.0,10
ablation,level1_long,up_n_down,0,40000,2032.0,10
ablation,level1_long,up_n_down,0,50000,1727.0,10
ablation,level1_long,up_n_down,0,60000,3952.0,10
ablation,level1_long,up_n_down,0,70000,5169.0,10
ablation,level1_long,up_n_down,0,80000,3189.0,10
ablation,level1_long,up_n_down,0,90000,4205.0,10
ablation,level1_long,up_n_down,0,100000,4383.0,100
ablation,level1_long,frostbite,0,10000,145.0,10
ablation,level1_long,frostbite,0,20000,216.0,10
ablation,level1_long,frostbite,0,30000,391.0,10
ablation,level1_long,frostbite,0,40000,546.0,10
ablation,level1_long,frostbite,0,50000,1126.0,10
ablation,level1_long,frostbite,0,60000,1624.0,10
ablation,level1_long,frostbite,0,70000,1583.0,10
ablation,level1_long,frostbite,0,80000,1533.0,10
ablation,level1_long,frostbite,0,90000,2616.0,10
ablation,level1_long,frostbite,0,100000,2589.5,100
ablation,level1_long,road_runner,0,10000,1300.0,10
ablation,level1_long,road_runner,0,20000,3500.0,10
ablation,level1_long,road_runner,0,30000,6700.0,10
ablation,level1_long,road_runner,0,40000,13690.0,10
ablation,level1_long,road_runner,0,50000,14970.0,10
ablation,level1_long,road_runner,0,60000,14330.0,10
ablation,level1_long,road_runner,0,70000,14120.0,10
ablation,level1_long,road_runner,0,80000,14750.0,10
ablation,level1_long,road_runner,0,90000,14500.0,10
ablation,level1_long,road_runner,0,100000,15379.0,100
