role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,level1_short,boxing,0,10000,0,0.0,1780.0
ablation,level1_short,boxing,0,10000,1,2.0,1781.0
ablation,level1_short,boxing,0,10000,2,-14.0,1786.0
ablation,level1_short,boxing,0,10000,3,3.0,1784.0
ablation,level1_short,boxing,0,10000,4,-4.0,1784.0
ablation,level1_short,boxing,0,10000,5,-2.0,1785.0
ablation,level1_short,boxing,0,10000,6,0.0,1785.0
ablation,level1_short,boxing,0,10000,7,-15.0,1779.0
ablation,level1_short,boxing,0,10000,8,-7.0,1786.0
ablation,level1_short,boxing,0,10000,9,7.0,1780.0
ablation,level1_short,boxing,0,20000,0,33.0,1780.0
ablation,level1_short,boxing,0,20000,1,41.0,1781.0
ablation,level1_short,boxing,0,20000,2,42.0,1786.0
ablation,level1_short,boxing,0,20000,3,20.0,1784.0
ablation,level1_short,boxing,0,20000,4,17.0,1784.0
ablation,level1_short,boxing,0,20000,5,34.0,1785.0
ablation,level1_short,boxing,0,20000,6,18.0,1785.0
ablation,level1_short,boxing,0,20000,7,20.0,1779.0
ablation,level1_short,boxing,0,20000,8,25.0,1786.0
ablation,level1_short,boxing,0,20000,9,33.0,1780.0
ablation,level1_short,boxing,0,30000,0,76.0,1046.0
ablation,level1_short,boxing,0,30000,1,60.0,1781.0
ablation,level1_short,boxing,0,30000,2,46.0,1553.0
ablation,level1_short,boxing,0,30000,3,69.0,1310.0
ablation,level1_short,boxing,0,30000,4,50.0,1543.0
ablation,level1_short,boxing,0,30000,5,50.0,1470.0
ablation,level1_short,boxing,0,30000,6,69.0,1185.0
ablation,level1_short,boxing,0,30000,7,74.0,1245.0
ablation,level1_short,boxing,0,30000,8,70.0,1401.0
ablation,level1_short,boxing,0,30000,9,61.0,1403.0
ablation,level1_short,boxing,0,40000,0,25.0,1407.0
ablation,level1_short,boxing,0,40000,1,68.0,965.0
ablation,level1_short,boxing,0,40000,2,54.0,1280.0
ablation,level1_short,boxing,0,40000,3,69.0,886.0
ablation,level1_short,boxing,0,40000,4,17.0,1657.0
ablation,level1_short,boxing,0,40000,5,61.0,1049.0
ablation,level1_short,boxing,0,40000,6,38.0,1501.0
ablation,level1_short,boxing,0,40000,7,59.0,1031.0
ablation,level1_short,boxing,0,40000,8,26.0,1579.0
ablation,level1_short,boxing,0,40000,9,41.0,1321.0
ablation,level1_short,boxing,0,50000,0,65.0,1251.0
ablation,level1_short,boxing,0,50000,1,71.0,1103.0
ablation,level1_short,boxing,0,50000,2,80.0,838.0
ablation,level1_short,boxing,0,50000,3,79.0,911.0
ablation,level1_short,boxing,0,50000,4,66.0,1027.0
ablation,level1_short,boxing,0,50000,5,76.0,894.0
ablation,level1_short,boxing,0,50000,6,84.0,779.0
ablation,level1_short,boxing,0,50000,7,67.0,1087.0
ablation,level1_short,boxing,0,50000,8,61.0,1191.0
ablation,level1_short,boxing,0,50000,9,90.0,914.0
ablation,level1_short,boxing,0,60000,0,71.0,886.0
ablation,level1_short,boxing,0,60000,1,80.0,694.0
ablation,level1_short,boxing,0,60000,2,93.0,520.0
ablation,level1_short,boxing,0,60000,3,85.0,552.0
ablation,level1_short,boxing,0,60000,4,71.0,805.0
ablation,level1_short,boxing,0,60000,5,58.0,1056.0
ablation,level1_short,boxing,0,60000,6,74.0,845.0
ablation,level1_short,boxing,0,60000,7,65.0,1068.0
ablation,level1_short,boxing,0,60000,8,55.0,1099.0
ablation,level1_short,boxing,0,60000,9,83.0,633.0
ablation,level1_short,boxing,0,70000,0,85.0,705.0
ablation,level1_short,boxing,0,70000,1,78.0,1034.0
ablation,level1_short,boxing,0,70000,2,62.0,844.0
ablation,level1_short,boxing,0,70000,3,83.0,717.0
ablation,level1_short,boxing,0,70000,4,98.0,411.0
ablation,level1_short,boxing,0,70000,5,92.0,535.0
ablation,level1_short,boxing,0,70000,6,93.0,627.0
ablation,level1_short,boxing,0,70000,7,87.0,763.0
ablation,level1_short,boxing,0,70000,8,67.0,962.0
ablation,level1_short,boxing,0,70000,9,76.0,977.0
ablation,level1_short,boxing,0,80000,0,95.0,435.0
ablation,level1_short,boxing,0,80000,1,87.0,621.0
ablation,level1_short,boxing,0,80000,2,97.0,469.0
ablation,level1_short,boxing,0,80000,3,74.0,737.0
ablation,level1_short,boxing,0,80000,4,78.0,649.0
ablation,level1_short,boxing,0,80000,5,90.0,697.0
ablation,level1_short,boxing,0,80000,6,63.0,990.0
ablation,level1_short,boxing,0,80000,7,75.0,872.0
ablation,level1_short,boxing,0,80000,8,85.0,588.0
ablation,level1_short,boxing,0,80000,9,97.0,342.0
ablation,level1_short,boxing,0,90000,0,82.0,626.0
ablation,level1_short,boxing,0,90000,1,55.0,1094.0
ablation,level1_short,boxing,0,90000,2,96.0,440.0
ablation,level1_short,boxing,0,90000,3,73.0,837.0
ablation,level1_short,boxing,0,90000,4,95.0,438.0
ablation,level1_short,boxing,0,90000,5,76.0,873.0
ablation,level1_short,boxing,0,90000,6,83.0,816.0
ablation,level1_short,boxing,0,90000,7,99.0,335.0
ablation,level1_short,boxing,0,90000,8,74.0,730.0
ablation,level1_short,boxing,0,90000,9,82.0,891.0
ablation,level1_short,boxing,0,100000,0,86.0,706.0
ablation,level1_short,boxing,0,100000,1,86.0,576.0
ablation,level1_short,boxing,0,100000,2,100.0,356.0
ablation,level1_short,boxing,0,100000,3,92.0,499.0
ablation,level1_short,boxing,0,100000,4,92.0,489.0
ablation,level1_short,boxing,0,100000,5,88.0,543.0
ablation,level1_short,boxing,0,100000,6,73.0,836.0
ablation,level1_short,boxing,0,100000,7,94.0,448.0
ablation,level1_short,boxing,0,100000,8,62.0,1180.0
ablation,level1_short,boxing,0,100000,9,93.0,481.0
ablation,level1_short,boxing,0,100000,10,92.0,523.0
ablation,level1_short,boxing,0,100000,11,94.0,447.0
ablation,level1_short,boxing,0,100000,12,85.0,618.0
ablation,level1_short,boxing,0,100000,13,88.0,607.0
ablation,level1_short,boxing,0,100000,14,94.0,561.0
ablation,level1_short,boxing,0,100000,15,87.0,677.0
ablation,level1_short,boxing,0,100000,16,88.0,745.0
ablation,level1_short,boxing,0,100000,17,87.0,519.0
ablation,level1_short,boxing,0,100000,18,91.0,557.0
ablation,level1_short,boxing,0,100000,19,97.0,406.0
ablation,level1_short,boxing,0,100000,20,99.0,345.0
ablation,level1_short,boxing,0,100000,21,90.0,507.0
ablation,level1_short,boxing,0,100000,22,87.0,606.0
ablation,level1_short,boxing,0,100000,23,89.0,664.0
ablation,level1_short,boxing,0,100000,24,87.0,541.0
ablation,level1_short,boxing,0,100000,25,93.0,550.0
ablation,level1_short,boxing,0,100000,26,88.0,506.0
ablation,level1_short,boxing,0,100000,27,89.0,596.0
ablation,level1_short,boxing,0,100000,28,76.0,702.0
ablation,level1_short,boxing,0,100000,29,85.0,599.0
ablation,level1_short,boxing,0,100000,30,100.0,298.0
ablation,level1_short,boxing,0,100000,31,80.0,734.0
ablation,level1_short,boxing,0,100000,32,90.0,472.0
ablation,level1_short,boxing,0,100000,33,90.0,576.0
ablation,level1_short,boxing,0,100000,34,95.0,459.0
ablation,level1_short,boxing,0,100000,35,78.0,863.0
ablation,level1_short,boxing,0,100000,36,90.0,427.0
ablation,level1_short,boxing,0,100000,37,69.0,1026.0
ablation,level1_short,boxing,0,100000,38,86.0,580.0
ablation,level1_short,boxing,0,100000,39,85.0,662.0
ablation,level1_short,boxing,0,100000,40,90.0,514.0
ablation,level1_short,boxing,0,100000,41,100.0,378.0
ablation,level1_short,boxing,0,100000,42,71.0,1014.0
ablation,level1_short,boxing,0,100000,43,88.0,602.0
ablation,level1_short,boxing,0,100000,44,90.0,499.0
ablation,level1_short,boxing,0,100000,45,88.0,587.0
ablation,level1_short,boxing,0,100000,46,88.0,606.0
ablation,level1_short,boxing,0,100000,47,87.0,587.0
ablation,level1_short,boxing,0,100000,48,88.0,752.0
ablation,level1_short,boxing,0,100000,49,80.0,664.0
ablation,level1_short,boxing,0,100000,50,88.0,653.0
ablation,level1_short,boxing,0,100000,51,93.0,505.0
ablation,level1_short,boxing,0,100000,52,87.0,546.0
ablation,level1_short,boxing,0,100000,53,92.0,580.0
ablation,level1_short,boxing,0,100000,54,96.0,373.0
ablation,level1_short,boxing,0,100000,55,93.0,476.0
ablation,level1_short,boxing,0,100000,56,93.0,500.0
ablation,level1_short,boxing,0,100000,57,79.0,698.0
ablation,level1_short,boxing,0,100000,58,99.0,353.0
ablation,level1_short,boxing,0,100000,59,89.0,643.0
ablation,level1_short,boxing,0,100000,60,86.0,561.0
ablation,level1_short,boxing,0,100000,61,72.0,929.0
