role,arm,game,seed,agent_steps,mean_return,episodes
comparator,all1,boxing,0,10000,1.3,10
comparator,all1,boxing,0,20000,52.9,10
comparator,all1,boxing,0,30000,61.4,10
comparator,all1,boxing,0,40000,67.4,10
comparator,all1,boxing,0,50000,76.5,10
comparator,all1,boxing,0,60000,73.1,10
comparator,all1,boxing,0,70000,76.5,10
comparator,all1,boxing,0,80000,84.8,10
comparator,all1,boxing,0,90000,81.3,10
comparator,all1,boxing,0,100000,84.96,100
comparator,all1,up_n_down,0,10000,781.0,10
comparator,all1,up_n_down,0,20000,32165.0,10
comparator,all1,up_n_down,0,30000,66276.0,10
comparator,all1,up_n_down,0,40000,20264.0,10
comparator,all1,up_n_down,0,50000,74236.0,10
comparator,all1,up_n_down,0,60000,79515.0,10
comparator,all1,up_n_down,0,70000,8877.0,10
comparator,all1,up_n_down,0,80000,6244.0,10
comparator,all1,up_n_down,0,90000,64925.0,10
comparator,all1,up_n_down,0,100000,20576.1,100
comparator,all1,frostbite,0,10000,83.0,10
comparator,all1,frostbite,0,20000,431.0,10
comparator,all1,frostbite,0,30000,609.0,10
comparator,all1,frostbite,0,40000,220.0,10
comparator,all1,frostbite,0,50000,1408.0,10
comparator,all1,frostbite,0,60000,1470.0,10
comparator,all1,frostbite,0,70000,1388.0,10
comparator,all1,frostbite,0,80000,1476.0,10
comparator,all1,frostbite,0,90000,1422.0,10
comparator,all1,frostbite,0,100000,1670.6,100
comparator,all1,road_runner,0,10000,320.0,10
comparator,all1,road_runner,0,20000,1250.0,10
comparator,all1,road_runner,0,30000,13740.0,10
comparator,all1,road_runner,0,40000,13180.0,10
comparator,all1,road_runner,0,50000,15090.0,10
comparator,all1,road_runner,0,60000,15190.0,10
comparator,all1,road_runner,0,70000,15600.0,10
comparator,all1,road_runner,0,80000,16340.0,10
comparator,all1,road_runner,0,90000,15050.0,10
comparator,all1,road_runner,0,100000,14847.0,100
ablation,level1_short,boxing,0,10000,-3.0,10
ablation,level1_short,boxing,0,20000,28.3,10
ablation,level1_short,boxing,0,30000,62.5,10
ablation,level1_short,boxing,0,40000,45.8,10
ablation,level1_short,boxing,0,50000,73.9,10
ablation,level1_short,boxing,0,60000,73.5,10
ablation,level1_short,boxing,0,70000,82.1,10
ablation,level1_short,boxing,0,80000,84.1,10
ablation,level1_short,boxing,0,90000,81.5,10
ablation,level1_short,boxing,0,100000,87.62,100
ablation,level1_short,up_n_down,0,10000,2755.0,10
ablation,level1_short,up_n_down,0,20000,13378.0,10
ablation,level1_short,up_n_down,0,30000,8288.0,10
ablation,level1_short,up_n_down,0,40000,86769.0,10
ablation,level1_short,up_n_down,0,50000,70354.0,10
ablation,level1_short,up_n_down,0,60000,17078.0,10
ablation,level1_short,up_n_down,0,70000,27305.0,10
ablation,level1_short,up_n_down,0,80000,33128.0,10
ablation,level1_short,up_n_down,0,90000,42841.0,10
ablation,level1_short,up_n_down,0,100000,53135.1,100
ablation,level1_short,frostbite,0,10000,112.0,10
ablation,level1_short,frostbite,0,20000,221.0,10
ablation,level1_short,frostbite,0,30000,195.0,10
ablation,level1_short,frostbite,0,40000,211.0,10
ablation,level1_short,frostbite,0,50000,238.0,10
ablation,level1_short,frostbite,0,60000,250.0,10
ablation,level1_short,frostbite,0,70000,257.0,10
ablation,level1_short,frostbite,0,80000,243.0,10
ablation,level1_short,frostbite,0,90000,273.0,10
ablation,level1_short,frostbite,0,100000,273.9,100
ablation,level1_short,road_runner,0,10000,510.0,10
ablation,level1_short,road_runner,0,20000,950.0,10
ablation,level1_short,road_runner,0,30000,640.0,10
ablation,level1_short,road_runner,0,40000,10810.0,10
ablation,level1_short,road_runner,0,50000,10400.0,10
ablation,level1_short,road_runner,0,60000,13220.0,10
ablation,level1_short,road_runner,0,70000,13320.0,10
ablation,level1_short,road_runner,0,80000,14240.0,10
ablation,level1_short,road_runner,0,90000,13070.0,10
ablation,level1_short,road_runner,0,100000,13292.0,100
