role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,level3,boxing,0,10000,6.5,10
ablation,level3,boxing,0,20000,33.2,10
ablation,level3,boxing,0,30000,61.6,10
ablation,level3,boxing,0,40000,69.4,10
ablation,level3,boxing,0,50000,74.2,10
ablation,level3,boxing,0,60000,77.2,10
ablation,level3,boxing,0,70000,81.2,10
ablation,level3,boxing,0,80000,79.2,10
ablation,level3,boxing,0,90000,80.1,10
ablation,level3,boxing,0,100000,85.24,100
ablation,level3,up_n_down,0,10000,1604.0,10
ablation,level3,up_n_down,0,20000,1225.0,10
ablation,level3,up_n_down,0,30000,2162.0,10
ablation,level3,up_n_down,0,40000,3080.0,10
ablation,level3,up_n_down,0,50000,3186.0,10
ablation,level3,up_n_down,0,60000,10075.0,10
ablation,level3,up_n_down,0,70000,6401.0,10
ablation,level3,up_n_down,0,80000,114633.0,10
ablation,level3,up_n_down,0,90000,184013.0,10
ablation,level3,up_n_down,0,100000,41688.7,100
ablation,level3,frostbite,0,10000,152.0,10
ablation,level3,frostbite,0,20000,183.0,10
ablation,level3,frostbite,0,30000,215.0,10
ablation,level3,frostbite,0,40000,206.0,10
ablation,level3,frostbite,0,50000,253.0,10
ablation,level3,frostbite,0,60000,243.0,10
ablation,level3,frostbite,0,70000,324.0,10
ablation,level3,frostbite,0,80000,525.0,10
ablation,level3,frostbite,0,90000,2451.0,10
ablation,level3,frostbite,0,100000,1812.0,100
ablation,level3,road_runner,0,10000,510.0,10
ablation,level3,road_runner,0,20000,890.0,10
ablation,level3,road_runner,0,30000,2730.0,10
ablation,level3,road_runner,0,40000,13940.0,10
ablation,level3,road_runner,0,50000,14460.0,10
ablation,level3,road_runner,0,60000,14680.0,10
ablation,level3,road_runner,0,70000,13770.0,10
ablation,level3,road_runner,0,80000,15910.0,10
ablation,level3,road_runner,0,90000,14770.0,10
ablation,level3,road_runner,0,100000,16476.0,100
