role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,no_actions,boxing,0,10000,0,7.0,1780.0
ablation,no_actions,boxing,0,10000,1,-4.0,1781.0
ablation,no_actions,boxing,0,10000,2,10.0,1786.0
ablation,no_actions,boxing,0,10000,3,4.0,1784.0
ablation,no_actions,boxing,0,10000,4,-1.0,1784.0
ablation,no_actions,boxing,0,10000,5,10.0,1785.0
ablation,no_actions,boxing,0,10000,6,3.0,1785.0
ablation,no_actions,boxing,0,10000,7,0.0,1779.0
ablation,no_actions,boxing,0,10000,8,1.0,1786.0
ablation,no_actions,boxing,0,10000,9,8.0,1780.0
ablation,no_actions,boxing,0,20000,0,32.0,1780.0
ablation,no_actions,boxing,0,20000,1,15.0,1781.0
ablation,no_actions,boxing,0,20000,2,43.0,1786.0
ablation,no_actions,boxing,0,20000,3,32.0,1784.0
ablation,no_actions,boxing,0,20000,4,30.0,1784.0
ablation,no_actions,boxing,0,20000,5,39.0,1785.0
ablation,no_actions,boxing,0,20000,6,22.0,1785.0
ablation,no_actions,boxing,0,20000,7,32.0,1779.0
ablation,no_actions,boxing,0,20000,8,11.0,1786.0
ablation,no_actions,boxing,0,20000,9,15.0,1780.0
ablation,no_actions,boxing,0,30000,0,51.0,1780.0
ablation,no_actions,boxing,0,30000,1,47.0,1781.0
ablation,no_actions,boxing,0,30000,2,52.0,1786.0
ablation,no_actions,boxing,0,30000,3,29.0,1784.0
ablation,no_actions,boxing,0,30000,4,48.0,1784.0
ablation,no_actions,boxing,0,30000,5,39.0,1785.0
ablation,no_actions,boxing,0,30000,6,27.0,1785.0
ablation,no_actions,boxing,0,30000,7,32.0,1779.0
ablation,no_actions,boxing,0,30000,8,45.0,1786.0
ablation,no_actions,boxing,0,30000,9,41.0,1780.0
ablation,no_actions,boxing,0,40000,0,33.0,1780.0
ablation,no_actions,boxing,0,40000,1,29.0,1781.0
ablation,no_actions,boxing,0,40000,2,45.0,1786.0
ablation,no_actions,boxing,0,40000,3,46.0,1784.0
ablation,no_actions,boxing,0,40000,4,54.0,1784.0
ablation,no_actions,boxing,0,40000,5,53.0,1785.0
ablation,no_actions,boxing,0,40000,6,15.0,1785.0
ablation,no_actions,boxing,0,40000,7,63.0,1779.0
ablation,no_actions,boxing,0,40000,8,40.0,1786.0
ablation,no_actions,boxing,0,40000,9,35.0,1780.0
ablation,no_actions,boxing,0,50000,0,66.0,1780.0
ablation,no_actions,boxing,0,50000,1,60.0,1781.0
ablation,no_actions,boxing,0,50000,2,51.0,1786.0
ablation,no_actions,boxing,0,50000,3,66.0,1784.0
ablation,no_actions,boxing,0,50000,4,48.0,1784.0
ablation,no_actions,boxing,0,50000,5,45.0,1785.0
ablation,no_actions,boxing,0,50000,6,25.0,1785.0
