role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,no_actions,boxing,0,10000,3.8,10
ablation,no_actions,boxing,0,20000,27.1,10
ablation,no_actions,boxing,0,30000,41.1,10
ablation,no_actions,boxing,0,40000,41.3,10
ablation,no_actions,boxing,0,50000,51.0,10
ablation,no_actions,boxing,0,60000,61.7,10
ablation,no_actions,boxing,0,70000,67.7,10
ablation,no_actions,boxing,0,80000,68.3,10
ablation,no_actions,boxing,0,90000,68.6,10
ablation,no_actions,boxing,0,100000,76.64,100
ablation,no_actions,up_n_down,0,10000,2898.0,10
ablation,no_actions,up_n_down,0,20000,1740.0,10
ablation,no_actions,up_n_down,0,30000,72226.0,10
ablation,no_actions,up_n_down,0,40000,8449.0,10
ablation,no_actions,up_n_down,0,50000,44284.0,10
ablation,no_actions,up_n_down,0,60000,10257.0,10
ablation,no_actions,up_n_down,0,70000,23997.0,10
ablation,no_actions,up_n_down,0,80000,33457.0,10
ablation,no_actions,up_n_down,0,90000,37888.0,10
ablation,no_actions,up_n_down,0,100000,231326.0,100
ablation,no_actions,frostbite,0,10000,136.0,10
ablation,no_actions,frostbite,0,20000,160.0,10
ablation,no_actions,frostbite,0,30000,200.0,10
ablation,no_actions,frostbite,0,40000,211.0,10
ablation,no_actions,frostbite,0,50000,185.0,10
ablation,no_actions,frostbite,0,60000,222.0,10
ablation,no_actions,frostbite,0,70000,232.0,10
ablation,no_actions,frostbite,0,80000,241.0,10
ablation,no_actions,frostbite,0,90000,261.0,10
ablation,no_actions,frostbite,0,100000,265.7,100
ablation,no_actions,road_runner,0,10000,810.0,10
ablation,no_actions,road_runner,0,20000,1760.0,10
ablation,no_actions,road_runner,0,30000,7000.0,10
ablation,no_actions,road_runner,0,40000,6560.0,10
ablation,no_actions,road_runner,0,50000,6200.0,10
ablation,no_actions,road_runner,0,60000,7340.0,10
ablation,no_actions,road_runner,0,70000,12460.0,10
ablation,no_actions,road_runner,0,80000,14130.0,10
ablation,no_actions,road_runner,0,90000,14380.0,10
ablation,no_actions,road_runner,0,100000,14144.0,100
