role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,online_target,boxing,0,10000,0,9.0,1780.0
ablation,online_target,boxing,0,10000,1,-3.0,1781.0
ablation,online_target,boxing,0,10000,2,9.0,1786.0
ablation,online_target,boxing,0,10000,3,7.0,1784.0
ablation,online_target,boxing,0,10000,4,2.0,1784.0
ablation,online_target,boxing,0,10000,5,4.0,1785.0
ablation,online_target,boxing,0,10000,6,-2.0,1785.0
ablation,online_target,boxing,0,10000,7,-3.0,1779.0
ablation,online_target,boxing,0,10000,8,-3.0,1786.0
ablation,online_target,boxing,0,10000,9,4.0,1780.0
ablation,online_target,boxing,0,20000,0,3.0,1780.0
ablation,online_target,boxing,0,20000,1,17.0,1781.0
ablation,online_target,boxing,0,20000,2,24.0,1776.0
ablation,online_target,boxing,0,20000,3,46.0,1570.0
ablation,online_target,boxing,0,20000,4,24.0,1784.0
ablation,online_target,boxing,0,20000,5,48.0,1592.0
ablation,online_target,boxing,0,20000,6,30.0,1626.0
ablation,online_target,boxing,0,20000,7,17.0,1779.0
ablation,online_target,boxing,0,20000,8,27.0,1786.0
ablation,online_target,boxing,0,20000,9,20.0,1767.0
ablation,online_target,boxing,0,30000,0,38.0,1501.0
ablation,online_target,boxing,0,30000,1,86.0,728.0
ablation,online_target,boxing,0,30000,2,54.0,1302.0
ablation,online_target,boxing,0,30000,3,65.0,1131.0
ablation,online_target,boxing,0,30000,4,34.0,1411.0
ablation,online_target,boxing,0,30000,5,53.0,1202.0
ablation,online_target,boxing,0,30000,6,43.0,1453.0
ablation,online_target,boxing,0,30000,7,31.0,1672.0
ablation,online_target,boxing,0,30000,8,37.0,1425.0
ablation,online_target,boxing,0,30000,9,47.0,1463.0
ablation,online_target,boxing,0,40000,0,59.0,1528.0
ablation,online_target,boxing,0,40000,1,67.0,1597.0
ablation,online_target,boxing,0,40000,2,65.0,1204.0
ablation,online_target,boxing,0,40000,3,13.0,1784.0
ablation,online_target,boxing,0,40000,4,72.0,1218.0
ablation,online_target,boxing,0,40000,5,75.0,1491.0
ablation,online_target,boxing,0,40000,6,59.0,1441.0
ablation,online_target,boxing,0,40000,7,60.0,1471.0
ablation,online_target,boxing,0,40000,8,62.0,1786.0
ablation,online_target,boxing,0,40000,9,59.0,1780.0
ablation,online_target,boxing,0,50000,0,42.0,1268.0
ablation,online_target,boxing,0,50000,1,70.0,956.0
ablation,online_target,boxing,0,50000,2,83.0,637.0
ablation,online_target,boxing,0,50000,3,55.0,1167.0
ablation,online_target,boxing,0,50000,4,56.0,1111.0
ablation,online_target,boxing,0,50000,5,66.0,902.0
ablation,online_target,boxing,0,50000,6,52.0,1191.0
ablation,online_target,boxing,0,50000,7,42.0,1212.0
ablation,online_target,boxing,0,50000,8,53.0,1113.0
ablation,online_target,boxing,0,50000,9,62.0,969.0
ablation,online_target,boxing,0,60000,0,73.0,1028.0
ablation,online_target,boxing,0,60000,1,68.0,1006.0
ablation,online_target,boxing,0,60000,2,55.0,1235.0
ablation,online_target,boxing,0,60000,3,66.0,847.0
