role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,online_target,boxing,0,10000,2.4,10
ablation,online_target,boxing,0,20000,25.6,10
ablation,online_target,boxing,0,30000,48.8,10
ablation,online_target,boxing,0,40000,59.1,10
ablation,online_target,boxing,0,50000,58.1,10
ablation,online_target,boxing,0,60000,58.6,10
ablation,online_target,boxing,0,70000,56.4,10
ablation,online_target,boxing,0,80000,83.3,10
ablation,online_target,boxing,0,90000,80.8,10
ablation,online_target,boxing,0,100000,83.18,100
ablation,online_target,up_n_down,0,10000,636.0,10
ablation,online_target,up_n_down,0,20000,1790.0,10
ablation,online_target,up_n_down,0,30000,1512.0,10
ablation,online_target,up_n_down,0,40000,1848.0,10
ablation,online_target,up_n_down,0,50000,2294.0,10
ablation,online_target,up_n_down,0,60000,2701.0,10
ablation,online_target,up_n_down,0,70000,4241.0,10
ablation,online_target,up_n_down,0,80000,3877.0,10
ablation,online_target,up_n_down,0,90000,6287.0,10
ablation,online_target,up_n_down,0,100000,9937.1,100
ablation,online_target,frostbite,0,10000,98.0,10
ablation,online_target,frostbite,0,20000,157.0,10
ablation,online_target,frostbite,0,30000,225.0,10
ablation,online_target,frostbite,0,40000,232.0,10
ablation,online_target,frostbite,0,50000,231.0,10
ablation,online_target,frostbite,0,60000,267.0,10
ablation,online_target,frostbite,0,70000,268.0,10
ablation,online_target,frostbite,0,80000,484.0,10
ablation,online_target,frostbite,0,90000,1566.0,10
ablation,online_target,frostbite,0,100000,1402.9,100
ablation,online_target,road_runner,0,10000,1010.0,10
ablation,online_target,road_runner,0,20000,840.0,10
ablation,online_target,road_runner,0,30000,2210.0,10
ablation,online_target,road_runner,0,40000,11200.0,10
ablation,online_target,road_runner,0,50000,10800.0,10
ablation,online_target,road_runner,0,60000,16180.0,10
ablation,online_target,road_runner,0,70000,16870.0,10
ablation,online_target,road_runner,0,80000,17570.0,10
ablation,online_target,road_runner,0,90000,15520.0,10
ablation,online_target,road_runner,0,100000,18306.0,100
