role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,pdyn_no_sg,boxing,0,10000,-26.7,10
ablation,pdyn_no_sg,boxing,0,20000,15.4,10
ablation,pdyn_no_sg,boxing,0,30000,56.4,10
ablation,pdyn_no_sg,boxing,0,40000,65.2,10
ablation,pdyn_no_sg,boxing,0,50000,65.7,10
ablation,pdyn_no_sg,boxing,0,60000,79.1,10
ablation,pdyn_no_sg,boxing,0,70000,85.1,10
ablation,pdyn_no_sg,boxing,0,80000,86.2,10
ablation,pdyn_no_sg,boxing,0,90000,84.4,10
ablation,pdyn_no_sg,boxing,0,100000,86.88,100
ablation,pdyn_no_sg,up_n_down,0,10000,1368.0,10
ablation,pdyn_no_sg,up_n_down,0,20000,54164.0,10
ablation,pdyn_no_sg,up_n_down,0,30000,74235.0,10
ablation,pdyn_no_sg,up_n_down,0,40000,112978.0,10
ablation,pdyn_no_sg,up_n_down,0,50000,20726.0,10
ablation,pdyn_no_sg,up_n_down,0,60000,4411.0,10
ablation,pdyn_no_sg,up_n_down,0,70000,10730.0,10
ablation,pdyn_no_sg,up_n_down,0,80000,10498.0,10
ablation,pdyn_no_sg,up_n_down,0,90000,54086.0,10
ablation,pdyn_no_sg,up_n_down,0,100000,71525.6,100
ablation,pdyn_no_sg,frostbite,0,10000,98.0,10
ablation,pdyn_no_sg,frostbite,0,20000,118.0,10
ablation,pdyn_no_sg,frostbite,0,30000,637.0,10
ablation,pdyn_no_sg,frostbite,0,40000,790.0,10
ablation,pdyn_no_sg,frostbite,0,50000,1082.0,10
ablation,pdyn_no_sg,frostbite,0,60000,1682.0,10
ablation,pdyn_no_sg,frostbite,0,70000,1739.0,10
ablation,pdyn_no_sg,frostbite,0,80000,2057.0,10
ablation,pdyn_no_sg,frostbite,0,90000,2008.0,10
ablation,pdyn_no_sg,frostbite,0,100000,1544.3,100
ablation,pdyn_no_sg,road_runner,0,10000,1070.0,10
ablation,pdyn_no_sg,road_runner,0,20000,9000.0,10
ablation,pdyn_no_sg,road_runner,0,30000,15120.0,10
ablation,pdyn_no_sg,road_runner,0,40000,15480.0,10
ablation,pdyn_no_sg,road_runner,0,50000,15870.0,10
ablation,pdyn_no_sg,road_runner,0,60000,15770.0,10
ablation,pdyn_no_sg,road_runner,0,70000,15230.0,10
ablation,pdyn_no_sg,road_runner,0,80000,15430.0,10
ablation,pdyn_no_sg,road_runner,0,90000,10180.0,10
ablation,pdyn_no_sg,road_runner,0,100000,15660.0,100
