role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,pdyn_only,boxing,0,10000,0,-1.0,1780.0
ablation,pdyn_only,boxing,0,10000,1,1.0,1781.0
ablation,pdyn_only,boxing,0,10000,2,2.0,1786.0
ablation,pdyn_only,boxing,0,10000,3,-3.0,1784.0
ablation,pdyn_only,boxing,0,10000,4,-7.0,1784.0
ablation,pdyn_only,boxing,0,10000,5,-2.0,1785.0
ablation,pdyn_only,boxing,0,10000,6,1.0,1785.0
ablation,pdyn_only,boxing,0,10000,7,-1.0,1779.0
ablation,pdyn_only,boxing,0,10000,8,0.0,1786.0
ablation,pdyn_only,boxing,0,10000,9,0.0,1780.0
ablation,pdyn_only,boxing,0,20000,0,14.0,1780.0
ablation,pdyn_only,boxing,0,20000,1,-2.0,1781.0
ablation,pdyn_only,boxing,0,20000,2,5.0,1786.0
ablation,pdyn_only,boxing,0,20000,3,5.0,1784.0
ablation,pdyn_only,boxing,0,20000,4,11.0,1784.0
ablation,pdyn_only,boxing,0,20000,5,12.0,1785.0
ablation,pdyn_only,boxing,0,20000,6,23.0,1785.0
ablation,pdyn_only,boxing,0,20000,7,5.0,1779.0
ablation,pdyn_only,boxing,0,20000,8,12.0,1786.0
ablation,pdyn_only,boxing,0,20000,9,8.0,1780.0
ablation,pdyn_only,boxing,0,30000,0,40.0,1780.0
ablation,pdyn_only,boxing,0,30000,1,43.0,1781.0
ablation,pdyn_only,boxing,0,30000,2,39.0,1786.0
ablation,pdyn_only,boxing,0,30000,3,46.0,1784.0
ablation,pdyn_only,boxing,0,30000,4,16.0,1784.0
ablation,pdyn_only,boxing,0,30000,5,47.0,1785.0
ablation,pdyn_only,boxing,0,30000,6,43.0,1785.0
ablation,pdyn_only,boxing,0,30000,7,27.0,1779.0
ablation,pdyn_only,boxing,0,30000,8,20.0,1786.0
ablation,pdyn_only,boxing,0,30000,9,14.0,1780.0
ablation,pdyn_only,boxing,0,40000,0,55.0,1780.0
ablation,pdyn_only,boxing,0,40000,1,40.0,1781.0
ablation,pdyn_only,boxing,0,40000,2,46.0,1786.0
ablation,pdyn_only,boxing,0,40000,3,38.0,1784.0
ablation,pdyn_only,boxing,0,40000,4,47.0,1784.0
ablation,pdyn_only,boxing,0,40000,5,21.0,1785.0
ablation,pdyn_only,boxing,0,40000,6,69.0,1785.0
ablation,pdyn_only,boxing,0,40000,7,37.0,1779.0
ablation,pdyn_only,boxing,0,40000,8,36.0,1786.0
ablation,pdyn_only,boxing,0,40000,9,41.0,1780.0
ablation,pdyn_only,boxing,0,50000,0,51.0,1780.0
ablation,pdyn_only,boxing,0,50000,1,43.0,1781.0
ablation,pdyn_only,boxing,0,50000,2,56.0,1786.0
ablation,pdyn_only,boxing,0,50000,3,50.0,1784.0
ablation,pdyn_only,boxing,0,50000,4,62.0,1784.0
ablation,pdyn_only,boxing,0,50000,5,27.0,1785.0
ablation,pdyn_only,boxing,0,50000,6,59.0,1785.0
ablation,pdyn_only,boxing,0,50000,7,57.0,1779.0
ablation,pdyn_only,boxing,0,50000,8,25.0,1786.0
ablation,pdyn_only,boxing,0,50000,9,54.0,1780.0
ablation,pdyn_only,boxing,0,60000,0,66.0,1780.0
ablation,pdyn_only,boxing,0,60000,1,20.0,1781.0
ablation,pdyn_only,boxing,0,60000,2,58.0,1786.0
ablation,pdyn_only,boxing,0,60000,3,26.0,1784.0
ablation,pdyn_only,boxing,0,60000,4,10.0,1784.0
ablation,pdyn_only,boxing,0,60000,5,52.0,1785.0
ablation,pdyn_only,boxing,0,60000,6,33.0,1785.0
ablation,pdyn_only,boxing,0,60000,7,69.0,1779.0
ablation,pdyn_only,boxing,0,60000,8,40.0,1786.0
ablation,pdyn_only,boxing,0,60000,9,51.0,1780.0
ablation,pdyn_only,boxing,0,70000,0,55.0,1780.0
ablation,pdyn_only,boxing,0,70000,1,80.0,1781.0
ablation,pdyn_only,boxing,0,70000,2,59.0,1786.0
ablation,pdyn_only,boxing,0,70000,3,73.0,1784.0
ablation,pdyn_only,boxing,0,70000,4,53.0,1784.0
ablation,pdyn_only,boxing,0,70000,5,48.0,1785.0
ablation,pdyn_only,boxing,0,70000,6,70.0,1785.0
ablation,pdyn_only,boxing,0,70000,7,65.0,1779.0
ablation,pdyn_only,boxing,0,70000,8,77.0,1786.0
ablation,pdyn_only,boxing,0,70000,9,69.0,1780.0
ablation,pdyn_only,boxing,0,80000,0,53.0,1780.0
ablation,pdyn_only,boxing,0,80000,1,54.0,1781.0
ablation,pdyn_only,boxing,0,80000,2,34.0,1786.0
ablation,pdyn_only,boxing,0,80000,3,37.0,1784.0
ablation,pdyn_only,boxing,0,80000,4,34.0,1784.0
ablation,pdyn_only,boxing,0,80000,5,59.0,1785.0
ablation,pdyn_only,boxing,0,80000,6,52.0,1785.0
ablation,pdyn_only,boxing,0,80000,7,19.0,1779.0
ablation,pdyn_only,boxing,0,80000,8,17.0,1786.0
ablation,pdyn_only,boxing,0,80000,9,39.0,1780.0
ablation,pdyn_only,boxing,0,90000,0,77.0,1780.0
ablation,pdyn_only,boxing,0,90000,1,57.0,1781.0
ablation,pdyn_only,boxing,0,90000,2,73.0,1786.0
ablation,pdyn_only,boxing,0,90000,3,46.0,1784.0
ablation,pdyn_only,boxing,0,90000,4,53.0,1784.0
ablation,pdyn_only,boxing,0,90000,5,51.0,1785.0
ablation,pdyn_only,boxing,0,90000,6,60.0,1785.0
ablation,pdyn_only,boxing,0,90000,7,60.0,1779.0
ablation,pdyn_only,boxing,0,90000,8,45.0,1786.0
ablation,pdyn_only,boxing,0,90000,9,39.0,1780.0
ablation,pdyn_only,boxing,0,100000,0,47.0,1780.0
ablation,pdyn_only,boxing,0,100000,1,37.0,1781.0
ablation,pdyn_only,boxing,0,100000,2,47.0,1786.0
ablation,pdyn_only,boxing,0,100000,3,45.0,1784.0
ablation,pdyn_only,boxing,0,100000,4,38.0,1784.0
ablation,pdyn_only,boxing,0,100000,5,49.0,1785.0
ablation,pdyn_only,boxing,0,100000,6,29.0,1785.0
ablation,pdyn_only,boxing,0,100000,7,54.0,1779.0
ablation,pdyn_only,boxing,0,100000,8,41.0,1786.0
ablation,pdyn_only,boxing,0,100000,9,48.0,1780.0
ablation,pdyn_only,boxing,0,100000,10,43.0,1782.0
ablation,pdyn_only,boxing,0,100000,11,33.0,1784.0
ablation,pdyn_only,boxing,0,100000,12,31.0,1783.0
ablation,pdyn_only,boxing,0,100000,13,37.0,1782.0
ablation,pdyn_only,boxing,0,100000,14,32.0,1781.0
ablation,pdyn_only,boxing,0,100000,15,53.0,1782.0
ablation,pdyn_only,boxing,0,100000,16,59.0,1780.0
ablation,pdyn_only,boxing,0,100000,17,46.0,1786.0
ablation,pdyn_only,boxing,0,100000,18,53.0,1782.0
ablation,pdyn_only,boxing,0,100000,19,52.0,1780.0
ablation,pdyn_only,boxing,0,100000,20,66.0,1781.0
ablation,pdyn_only,boxing,0,100000,21,71.0,1783.0
ablation,pdyn_only,boxing,0,100000,22,37.0,1784.0
ablation,pdyn_only,boxing,0,100000,23,46.0,1781.0
ablation,pdyn_only,boxing,0,100000,24,51.0,1784.0
ablation,pdyn_only,boxing,0,100000,25,27.0,1786.0
ablation,pdyn_only,boxing,0,100000,26,49.0,1784.0
ablation,pdyn_only,boxing,0,100000,27,24.0,1780.0
ablation,pdyn_only,boxing,0,100000,28,52.0,1781.0
