role,arm,game,seed,agent_steps,mean_return,episodes
comparator,flat,boxing,0,10000,7.8,10
comparator,flat,boxing,0,20000,31.1,10
comparator,flat,boxing,0,30000,41.6,10
comparator,flat,boxing,0,40000,62.0,10
comparator,flat,boxing,0,50000,-40.6,10
comparator,flat,boxing,0,60000,68.4,10
comparator,flat,boxing,0,70000,72.0,10
comparator,flat,boxing,0,80000,71.6,10
comparator,flat,boxing,0,90000,75.2,10
comparator,flat,boxing,0,100000,73.13,100
comparator,flat,up_n_down,0,10000,1035.0,10
comparator,flat,up_n_down,0,20000,597.0,10
comparator,flat,up_n_down,0,30000,1882.0,10
comparator,flat,up_n_down,0,40000,2221.0,10
comparator,flat,up_n_down,0,50000,3908.0,10
comparator,flat,up_n_down,0,60000,3487.0,10
comparator,flat,up_n_down,0,70000,3810.0,10
comparator,flat,up_n_down,0,80000,4283.0,10
comparator,flat,up_n_down,0,90000,4794.0,10
comparator,flat,up_n_down,0,100000,4035.8,100
comparator,flat,frostbite,0,10000,62.0,10
comparator,flat,frostbite,0,20000,528.0,10
comparator,flat,frostbite,0,30000,300.0,10
comparator,flat,frostbite,0,40000,1016.0,10
comparator,flat,frostbite,0,50000,346.0,10
comparator,flat,frostbite,0,60000,1553.0,10
comparator,flat,frostbite,0,70000,2007.0,10
comparator,flat,frostbite,0,80000,1920.0,10
comparator,flat,frostbite,0,90000,2531.0,10
comparator,flat,frostbite,0,100000,2532.1,100
comparator,flat,road_runner,0,10000,20.0,10
comparator,flat,road_runner,0,20000,1420.0,10
comparator,flat,road_runner,0,30000,5790.0,10
comparator,flat,road_runner,0,40000,7410.0,10
comparator,flat,road_runner,0,50000,14800.0,10
comparator,flat,road_runner,0,60000,16430.0,10
comparator,flat,road_runner,0,70000,15830.0,10
comparator,flat,road_runner,0,80000,13000.0,10
comparator,flat,road_runner,0,90000,15700.0,10
comparator,flat,road_runner,0,100000,15831.0,100
ablation,pdyn_only,boxing,0,10000,-1.0,10
ablation,pdyn_only,boxing,0,20000,9.3,10
ablation,pdyn_only,boxing,0,30000,33.5,10
ablation,pdyn_only,boxing,0,40000,43.0,10
ablation,pdyn_only,boxing,0,50000,48.4,10
ablation,pdyn_only,boxing,0,60000,42.5,10
ablation,pdyn_only,boxing,0,70000,64.9,10
ablation,pdyn_only,boxing,0,80000,39.8,10
ablation,pdyn_only,boxing,0,90000,56.1,10
ablation,pdyn_only,boxing,0,100000,44.79,100
ablation,pdyn_only,up_n_down,0,10000,859.0,10
ablation,pdyn_only,up_n_down,0,20000,45822.0,10
ablation,pdyn_only,up_n_down,0,30000,27225.0,10
ablation,pdyn_only,up_n_down,0,40000,17329.0,10
ablation,pdyn_only,up_n_down,0,50000,31434.0,10
ablation,pdyn_only,up_n_down,0,60000,2915.0,10
ablation,pdyn_only,up_n_down,0,70000,17906.0,10
ablation,pdyn_only,up_n_down,0,80000,21472.0,10
ablation,pdyn_only,up_n_down,0,90000,3917.0,10
ablation,pdyn_only,up_n_down,0,100000,3554.9,100
ablation,pdyn_only,frostbite,0,10000,105.0,10
ablation,pdyn_only,frostbite,0,20000,163.0,10
ablation,pdyn_only,frostbite,0,30000,219.0,10
ablation,pdyn_only,frostbite,0,40000,212.0,10
ablation,pdyn_only,frostbite,0,50000,217.0,10
ablation,pdyn_only,frostbite,0,60000,220.0,10
ablation,pdyn_only,frostbite,0,70000,244.0,10
ablation,pdyn_only,frostbite,0,80000,348.0,10
ablation,pdyn_only,frostbite,0,90000,236.0,10
ablation,pdyn_only,frostbite,0,100000,255.7,100
ablation,pdyn_only,road_runner,0,10000,740.0,10
ablation,pdyn_only,road_runner,0,20000,970.0,10
ablation,pdyn_only,road_runner,0,30000,970.0,10
ablation,pdyn_only,road_runner,0,40000,990.0,10
ablation,pdyn_only,road_runner,0,50000,2120.0,10
ablation,pdyn_only,road_runner,0,60000,8460.0,10
ablation,pdyn_only,road_runner,0,70000,14750.0,10
ablation,pdyn_only,road_runner,0,80000,12100.0,10
ablation,pdyn_only,road_runner,0,90000,15480.0,10
ablation,pdyn_only,road_runner,0,100000,14824.0,100
