role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,pdyn_pruned,boxing,0,10000,0,0.0,1780.0
ablation,pdyn_pruned,boxing,0,10000,1,7.0,1781.0
ablation,pdyn_pruned,boxing,0,10000,2,1.0,1786.0
ablation,pdyn_pruned,boxing,0,10000,3,-2.0,1784.0
ablation,pdyn_pruned,boxing,0,10000,4,7.0,1784.0
ablation,pdyn_pruned,boxing,0,10000,5,2.0,1785.0
ablation,pdyn_pruned,boxing,0,10000,6,7.0,1785.0
ablation,pdyn_pruned,boxing,0,10000,7,28.0,1779.0
ablation,pdyn_pruned,boxing,0,10000,8,11.0,1786.0
ablation,pdyn_pruned,boxing,0,10000,9,7.0,1780.0
ablation,pdyn_pruned,boxing,0,20000,0,30.0,1780.0
ablation,pdyn_pruned,boxing,0,20000,1,30.0,1781.0
ablation,pdyn_pruned,boxing,0,20000,2,29.0,1786.0
ablation,pdyn_pruned,boxing,0,20000,3,28.0,1784.0
ablation,pdyn_pruned,boxing,0,20000,4,34.0,1784.0
ablation,pdyn_pruned,boxing,0,20000,5,20.0,1785.0
ablation,pdyn_pruned,boxing,0,20000,6,28.0,1785.0
ablation,pdyn_pruned,boxing,0,20000,7,32.0,1779.0
ablation,pdyn_pruned,boxing,0,20000,8,38.0,1786.0
ablation,pdyn_pruned,boxing,0,20000,9,19.0,1780.0
ablation,pdyn_pruned,boxing,0,30000,0,23.0,1780.0
ablation,pdyn_pruned,boxing,0,30000,1,51.0,1781.0
ablation,pdyn_pruned,boxing,0,30000,2,28.0,1786.0
ablation,pdyn_pruned,boxing,0,30000,3,52.0,1784.0
ablation,pdyn_pruned,boxing,0,30000,4,53.0,1784.0
ablation,pdyn_pruned,boxing,0,30000,5,51.0,1785.0
ablation,pdyn_pruned,boxing,0,30000,6,46.0,1785.0
ablation,pdyn_pruned,boxing,0,30000,7,59.0,1779.0
ablation,pdyn_pruned,boxing,0,30000,8,27.0,1786.0
ablation,pdyn_pruned,boxing,0,30000,9,56.0,1780.0
ablation,pdyn_pruned,boxing,0,40000,0,31.0,1780.0
ablation,pdyn_pruned,boxing,0,40000,1,20.0,1781.0
ablation,pdyn_pruned,boxing,0,40000,2,41.0,1786.0
ablation,pdyn_pruned,boxing,0,40000,3,17.0,1784.0
ablation,pdyn_pruned,boxing,0,40000,4,46.0,1784.0
ablation,pdyn_pruned,boxing,0,40000,5,37.0,1785.0
ablation,pdyn_pruned,boxing,0,40000,6,31.0,1785.0
ablation,pdyn_pruned,boxing,0,40000,7,40.0,1779.0
ablation,pdyn_pruned,boxing,0,40000,8,30.0,1786.0
ablation,pdyn_pruned,boxing,0,40000,9,29.0,1780.0
ablation,pdyn_pruned,boxing,0,50000,0,55.0,1780.0
ablation,pdyn_pruned,boxing,0,50000,1,40.0,1781.0
