role,arm,game,seed,agent_steps,mean_return,episodes
comparator,pdyn_only,boxing,0,10000,-1.0,10
comparator,pdyn_only,boxing,0,20000,9.3,10
comparator,pdyn_only,boxing,0,30000,33.5,10
comparator,pdyn_only,boxing,0,40000,43.0,10
comparator,pdyn_only,boxing,0,50000,48.4,10
comparator,pdyn_only,boxing,0,60000,42.5,10
comparator,pdyn_only,boxing,0,70000,64.9,10
comparator,pdyn_only,boxing,0,80000,39.8,10
comparator,pdyn_only,boxing,0,90000,56.1,10
comparator,pdyn_only,boxing,0,100000,44.79,100
comparator,pdyn_only,up_n_down,0,10000,859.0,10
comparator,pdyn_only,up_n_down,0,20000,45822.0,10
comparator,pdyn_only,up_n_down,0,30000,27225.0,10
comparator,pdyn_only,up_n_down,0,40000,17329.0,10
comparator,pdyn_only,up_n_down,0,50000,31434.0,10
comparator,pdyn_only,up_n_down,0,60000,2915.0,10
comparator,pdyn_only,up_n_down,0,70000,17906.0,10
comparator,pdyn_only,up_n_down,0,80000,21472.0,10
comparator,pdyn_only,up_n_down,0,90000,3917.0,10
comparator,pdyn_only,up_n_down,0,100000,3554.9,100
comparator,pdyn_only,frostbite,0,10000,105.0,10
comparator,pdyn_only,frostbite,0,20000,163.0,10
comparator,pdyn_only,frostbite,0,30000,219.0,10
comparator,pdyn_only,frostbite,0,40000,212.0,10
comparator,pdyn_only,frostbite,0,50000,217.0,10
comparator,pdyn_only,frostbite,0,60000,220.0,10
comparator,pdyn_only,frostbite,0,70000,244.0,10
comparator,pdyn_only,frostbite,0,80000,348.0,10
comparator,pdyn_only,frostbite,0,90000,236.0,10
comparator,pdyn_only,frostbite,0,100000,255.7,100
comparator,pdyn_only,road_runner,0,10000,740.0,10
comparator,pdyn_only,road_runner,0,20000,970.0,10
comparator,pdyn_only,road_runner,0,30000,970.0,10
comparator,pdyn_only,road_runner,0,40000,990.0,10
comparator,pdyn_only,road_runner,0,50000,2120.0,10
comparator,pdyn_only,road_runner,0,60000,8460.0,10
comparator,pdyn_only,road_runner,0,70000,14750.0,10
comparator,pdyn_only,road_runner,0,80000,12100.0,10
comparator,pdyn_only,road_runner,0,90000,15480.0,10
comparator,pdyn_only,road_runner,0,100000,14824.0,100
ablation,pdyn_pruned,boxing,0,10000,6.8,10
ablation,pdyn_pruned,boxing,0,20000,28.8,10
ablation,pdyn_pruned,boxing,0,30000,44.6,10
ablation,pdyn_pruned,boxing,0,40000,32.2,10
ablation,pdyn_pruned,boxing,0,50000,41.6,10
ablation,pdyn_pruned,boxing,0,60000,1.4,10
ablation,pdyn_pruned,boxing,0,70000,49.4,10
ablation,pdyn_pruned,boxing,0,80000,60.2,10
ablation,pdyn_pruned,boxing,0,90000,53.5,10
ablation,pdyn_pruned,boxing,0,100000,60.75,100
ablation,pdyn_pruned,up_n_down,0,10000,1254.0,10
ablation,pdyn_pruned,up_n_down,0,20000,62709.0,10
ablation,pdyn_pruned,up_n_down,0,30000,1356.0,10
ablation,pdyn_pruned,up_n_down,0,40000,2382.0,10
ablation,pdyn_pruned,up_n_down,0,50000,9615.0,10
ablation,pdyn_pruned,up_n_down,0,60000,104574.0,10
ablation,pdyn_pruned,up_n_down,0,70000,10101.0,10
ablation,pdyn_pruned,up_n_down,0,80000,4354.0,10
ablation,pdyn_pruned,up_n_down,0,90000,6629.0,10
ablation,pdyn_pruned,up_n_down,0,100000,9605.8,100
ablation,pdyn_pruned,frostbite,0,10000,107.0,10
ablation,pdyn_pruned,frostbite,0,20000,111.0,10
ablation,pdyn_pruned,frostbite,0,30000,183.0,10
ablation,pdyn_pruned,frostbite,0,40000,203.0,10
ablation,pdyn_pruned,frostbite,0,50000,572.0,10
ablation,pdyn_pruned,frostbite,0,60000,1750.0,10
ablation,pdyn_pruned,frostbite,0,70000,1279.0,10
ablation,pdyn_pruned,frostbite,0,80000,1981.0,10
ablation,pdyn_pruned,frostbite,0,90000,1536.0,10
ablation,pdyn_pruned,frostbite,0,100000,1621.3,100
ablation,pdyn_pruned,road_runner,0,10000,690.0,10
ablation,pdyn_pruned,road_runner,0,20000,970.0,10
ablation,pdyn_pruned,road_runner,0,30000,940.0,10
ablation,pdyn_pruned,road_runner,0,40000,2350.0,10
ablation,pdyn_pruned,road_runner,0,50000,6620.0,10
ablation,pdyn_pruned,road_runner,0,60000,6870.0,10
ablation,pdyn_pruned,road_runner,0,70000,9560.0,10
ablation,pdyn_pruned,road_runner,0,80000,8670.0,10
ablation,pdyn_pruned,road_runner,0,90000,11610.0,10
ablation,pdyn_pruned,road_runner,0,100000,14986.0,100
