role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,pdyn_strong,boxing,0,10000,0,0.0,1780.0
ablation,pdyn_strong,boxing,0,10000,1,1.0,1781.0
ablation,pdyn_strong,boxing,0,10000,2,7.0,1786.0
ablation,pdyn_strong,boxing,0,10000,3,10.0,1784.0
ablation,pdyn_strong,boxing,0,10000,4,0.0,1784.0
ablation,pdyn_strong,boxing,0,10000,5,13.0,1785.0
ablation,pdyn_strong,boxing,0,10000,6,2.0,1785.0
ablation,pdyn_strong,boxing,0,10000,7,-13.0,1779.0
ablation,pdyn_strong,boxing,0,10000,8,-3.0,1786.0
ablation,pdyn_strong,boxing,0,10000,9,1.0,1780.0
ablation,pdyn_strong,boxing,0,20000,0,4.0,1780.0
ablation,pdyn_strong,boxing,0,20000,1,4.0,1781.0
ablation,pdyn_strong,boxing,0,20000,2,13.0,1786.0
ablation,pdyn_strong,boxing,0,20000,3,15.0,1784.0
ablation,pdyn_strong,boxing,0,20000,4,30.0,1784.0
ablation,pdyn_strong,boxing,0,20000,5,13.0,1785.0
ablation,pdyn_strong,boxing,0,20000,6,5.0,1785.0
ablation,pdyn_strong,boxing,0,20000,7,17.0,1779.0
ablation,pdyn_strong,boxing,0,20000,8,5.0,1786.0
ablation,pdyn_strong,boxing,0,20000,9,19.0,1780.0
ablation,pdyn_strong,boxing,0,30000,0,40.0,1780.0
ablation,pdyn_strong,boxing,0,30000,1,44.0,1781.0
ablation,pdyn_strong,boxing,0,30000,2,7.0,1786.0
ablation,pdyn_strong,boxing,0,30000,3,21.0,1784.0
ablation,pdyn_strong,boxing,0,30000,4,49.0,1784.0
ablation,pdyn_strong,boxing,0,30000,5,42.0,1785.0
ablation,pdyn_strong,boxing,0,30000,6,24.0,1785.0
ablation,pdyn_strong,boxing,0,30000,7,43.0,1779.0
ablation,pdyn_strong,boxing,0,30000,8,58.0,1786.0
ablation,pdyn_strong,boxing,0,30000,9,37.0,1780.0
ablation,pdyn_strong,boxing,0,40000,0,45.0,1780.0
ablation,pdyn_strong,boxing,0,40000,1,-4.0,1781.0
ablation,pdyn_strong,boxing,0,40000,2,51.0,1786.0
ablation,pdyn_strong,boxing,0,40000,3,44.0,1784.0
ablation,pdyn_strong,boxing,0,40000,4,33.0,1784.0
ablation,pdyn_strong,boxing,0,40000,5,52.0,1785.0
ablation,pdyn_strong,boxing,0,40000,6,46.0,1785.0
ablation,pdyn_strong,boxing,0,40000,7,51.0,1779.0
ablation,pdyn_strong,boxing,0,40000,8,33.0,1786.0
ablation,pdyn_strong,boxing,0,40000,9,41.0,1780.0
ablation,pdyn_strong,boxing,0,50000,0,74.0,1616.0
ablation,pdyn_strong,boxing,0,50000,1,82.0,1475.0
ablation,pdyn_strong,boxing,0,50000,2,74.0,1332.0
ablation,pdyn_strong,boxing,0,50000,3,38.0,1784.0
ablation,pdyn_strong,boxing,0,50000,4,41.0,1784.0
ablation,pdyn_strong,boxing,0,50000,5,75.0,1555.0
ablation,pdyn_strong,boxing,0,50000,6,73.0,1567.0
ablation,pdyn_strong,boxing,0,50000,7,63.0,1620.0
ablation,pdyn_strong,boxing,0,50000,8,40.0,1786.0
ablation,pdyn_strong,boxing,0,50000,9,62.0,1618.0
ablation,pdyn_strong,boxing,0,60000,0,4.0,1780.0
ablation,pdyn_strong,boxing,0,60000,1,60.0,1247.0
ablation,pdyn_strong,boxing,0,60000,2,61.0,1374.0
ablation,pdyn_strong,boxing,0,60000,3,57.0,1544.0
ablation,pdyn_strong,boxing,0,60000,4,51.0,1457.0
ablation,pdyn_strong,boxing,0,60000,5,51.0,1589.0
ablation,pdyn_strong,boxing,0,60000,6,45.0,1329.0
ablation,pdyn_strong,boxing,0,60000,7,58.0,1362.0
ablation,pdyn_strong,boxing,0,60000,8,-14.0,1786.0
ablation,pdyn_strong,boxing,0,60000,9,76.0,1021.0
ablation,pdyn_strong,boxing,0,70000,0,61.0,1307.0
ablation,pdyn_strong,boxing,0,70000,1,68.0,933.0
ablation,pdyn_strong,boxing,0,70000,2,64.0,1037.0
ablation,pdyn_strong,boxing,0,70000,3,52.0,1357.0
ablation,pdyn_strong,boxing,0,70000,4,70.0,1235.0
