role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,pdyn_strong,boxing,0,10000,1.8,10
ablation,pdyn_strong,boxing,0,20000,12.5,10
ablation,pdyn_strong,boxing,0,30000,36.5,10
ablation,pdyn_strong,boxing,0,40000,39.2,10
ablation,pdyn_strong,boxing,0,50000,62.2,10
ablation,pdyn_strong,boxing,0,60000,44.9,10
ablation,pdyn_strong,boxing,0,70000,66.6,10
ablation,pdyn_strong,boxing,0,80000,68.3,10
ablation,pdyn_strong,boxing,0,90000,61.5,10
ablation,pdyn_strong,boxing,0,100000,73.76,100
ablation,pdyn_strong,up_n_down,0,10000,1222.0,10
ablation,pdyn_strong,up_n_down,0,20000,38002.0,10
ablation,pdyn_strong,up_n_down,0,30000,21758.0,10
ablation,pdyn_strong,up_n_down,0,40000,4473.0,10
ablation,pdyn_strong,up_n_down,0,50000,37595.0,10
ablation,pdyn_strong,up_n_down,0,60000,5771.0,10
ablation,pdyn_strong,up_n_down,0,70000,4967.0,10
ablation,pdyn_strong,up_n_down,0,80000,17165.0,10
ablation,pdyn_strong,up_n_down,0,90000,18834.0,10
ablation,pdyn_strong,up_n_down,0,100000,9450.8,100
ablation,pdyn_strong,frostbite,0,10000,110.0,10
ablation,pdyn_strong,frostbite,0,20000,205.0,10
ablation,pdyn_strong,frostbite,0,30000,195.0,10
ablation,pdyn_strong,frostbite,0,40000,226.0,10
ablation,pdyn_strong,frostbite,0,50000,191.0,10
ablation,pdyn_strong,frostbite,0,60000,240.0,10
ablation,pdyn_strong,frostbite,0,70000,251.0,10
ablation,pdyn_strong,frostbite,0,80000,1864.0,10
ablation,pdyn_strong,frostbite,0,90000,1389.0,10
ablation,pdyn_strong,frostbite,0,100000,1193.4,100
ablation,pdyn_strong,road_runner,0,10000,1060.0,10
ablation,pdyn_strong,road_runner,0,20000,930.0,10
ablation,pdyn_strong,road_runner,0,30000,970.0,10
ablation,pdyn_strong,road_runner,0,40000,4450.0,10
ablation,pdyn_strong,road_runner,0,50000,7910.0,10
ablation,pdyn_strong,road_runner,0,60000,8810.0,10
ablation,pdyn_strong,road_runner,0,70000,8500.0,10
ablation,pdyn_strong,road_runner,0,80000,9190.0,10
ablation,pdyn_strong,road_runner,0,90000,12520.0,10
ablation,pdyn_strong,road_runner,0,100000,15569.0,100
