role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,pdyn_weak,boxing,0,10000,0,9.0,1780.0
ablation,pdyn_weak,boxing,0,10000,1,-6.0,1781.0
ablation,pdyn_weak,boxing,0,10000,2,-4.0,1786.0
ablation,pdyn_weak,boxing,0,10000,3,-1.0,1784.0
ablation,pdyn_weak,boxing,0,10000,4,3.0,1784.0
ablation,pdyn_weak,boxing,0,10000,5,-16.0,1785.0
ablation,pdyn_weak,boxing,0,10000,6,-1.0,1785.0
ablation,pdyn_weak,boxing,0,10000,7,-14.0,1779.0
ablation,pdyn_weak,boxing,0,10000,8,0.0,1786.0
ablation,pdyn_weak,boxing,0,10000,9,-1.0,1780.0
ablation,pdyn_weak,boxing,0,20000,0,38.0,1342.0
ablation,pdyn_weak,boxing,0,20000,1,4.0,1547.0
ablation,pdyn_weak,boxing,0,20000,2,5.0,1495.0
ablation,pdyn_weak,boxing,0,20000,3,-1.0,1661.0
ablation,pdyn_weak,boxing,0,20000,4,12.0,1440.0
ablation,pdyn_weak,boxing,0,20000,5,8.0,1785.0
ablation,pdyn_weak,boxing,0,20000,6,28.0,1342.0
ablation,pdyn_weak,boxing,0,20000,7,23.0,1506.0
ablation,pdyn_weak,boxing,0,20000,8,6.0,1786.0
ablation,pdyn_weak,boxing,0,20000,9,7.0,1622.0
ablation,pdyn_weak,boxing,0,30000,0,39.0,1452.0
ablation,pdyn_weak,boxing,0,30000,1,41.0,1347.0
ablation,pdyn_weak,boxing,0,30000,2,28.0,1540.0
ablation,pdyn_weak,boxing,0,30000,3,88.0,585.0
ablation,pdyn_weak,boxing,0,30000,4,44.0,1257.0
ablation,pdyn_weak,boxing,0,30000,5,34.0,1400.0
ablation,pdyn_weak,boxing,0,30000,6,54.0,1155.0
ablation,pdyn_weak,boxing,0,30000,7,40.0,1327.0
ablation,pdyn_weak,boxing,0,30000,8,58.0,1148.0
ablation,pdyn_weak,boxing,0,30000,9,57.0,1104.0
ablation,pdyn_weak,boxing,0,40000,0,59.0,1089.0
ablation,pdyn_weak,boxing,0,40000,1,44.0,1133.0
ablation,pdyn_weak,boxing,0,40000,2,50.0,1179.0
ablation,pdyn_weak,boxing,0,40000,3,49.0,1029.0
ablation,pdyn_weak,boxing,0,40000,4,80.0,653.0
ablation,pdyn_weak,boxing,0,40000,5,54.0,1123.0
ablation,pdyn_weak,boxing,0,40000,6,52.0,1205.0
ablation,pdyn_weak,boxing,0,40000,7,32.0,1160.0
ablation,pdyn_weak,boxing,0,40000,8,54.0,1125.0
ablation,pdyn_weak,boxing,0,40000,9,35.0,1191.0
ablation,pdyn_weak,boxing,0,50000,0,72.0,924.0
ablation,pdyn_weak,boxing,0,50000,1,68.0,1075.0
ablation,pdyn_weak,boxing,0,50000,2,78.0,939.0
ablation,pdyn_weak,boxing,0,50000,3,61.0,947.0
ablation,pdyn_weak,boxing,0,50000,4,54.0,1289.0
ablation,pdyn_weak,boxing,0,50000,5,61.0,1013.0
ablation,pdyn_weak,boxing,0,50000,6,49.0,1248.0
ablation,pdyn_weak,boxing,0,50000,7,59.0,1166.0
ablation,pdyn_weak,boxing,0,50000,8,93.0,463.0
ablation,pdyn_weak,boxing,0,50000,9,54.0,1472.0
ablation,pdyn_weak,boxing,0,60000,0,90.0,522.0
ablation,pdyn_weak,boxing,0,60000,1,52.0,1290.0
ablation,pdyn_weak,boxing,0,60000,2,91.0,563.0
ablation,pdyn_weak,boxing,0,60000,3,87.0,601.0
ablation,pdyn_weak,boxing,0,60000,4,74.0,722.0
ablation,pdyn_weak,boxing,0,60000,5,79.0,678.0
ablation,pdyn_weak,boxing,0,60000,6,86.0,568.0
ablation,pdyn_weak,boxing,0,60000,7,72.0,879.0
ablation,pdyn_weak,boxing,0,60000,8,79.0,608.0
ablation,pdyn_weak,boxing,0,60000,9,78.0,814.0
ablation,pdyn_weak,boxing,0,70000,0,92.0,384.0
ablation,pdyn_weak,boxing,0,70000,1,92.0,327.0
ablation,pdyn_weak,boxing,0,70000,2,53.0,813.0
ablation,pdyn_weak,boxing,0,70000,3,91.0,440.0
ablation,pdyn_weak,boxing,0,70000,4,48.0,1074.0
ablation,pdyn_weak,boxing,0,70000,5,89.0,453.0
ablation,pdyn_weak,boxing,0,70000,6,77.0,605.0
ablation,pdyn_weak,boxing,0,70000,7,64.0,750.0
ablation,pdyn_weak,boxing,0,70000,8,73.0,697.0
ablation,pdyn_weak,boxing,0,70000,9,63.0,790.0
ablation,pdyn_weak,boxing,0,80000,0,86.0,488.0
ablation,pdyn_weak,boxing,0,80000,1,69.0,891.0
ablation,pdyn_weak,boxing,0,80000,2,82.0,618.0
ablation,pdyn_weak,boxing,0,80000,3,100.0,263.0
ablation,pdyn_weak,boxing,0,80000,4,92.0,496.0
ablation,pdyn_weak,boxing,0,80000,5,70.0,899.0
ablation,pdyn_weak,boxing,0,80000,6,77.0,673.0
ablation,pdyn_weak,boxing,0,80000,7,75.0,727.0
ablation,pdyn_weak,boxing,0,80000,8,75.0,702.0
ablation,pdyn_weak,boxing,0,80000,9,96.0,380.0
