role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,pdyn_weak,boxing,0,10000,-3.1,10
ablation,pdyn_weak,boxing,0,20000,13.0,10
ablation,pdyn_weak,boxing,0,30000,48.3,10
ablation,pdyn_weak,boxing,0,40000,50.9,10
ablation,pdyn_weak,boxing,0,50000,64.9,10
ablation,pdyn_weak,boxing,0,60000,78.8,10
ablation,pdyn_weak,boxing,0,70000,74.2,10
ablation,pdyn_weak,boxing,0,80000,82.2,10
ablation,pdyn_weak,boxing,0,90000,81.1,10
ablation,pdyn_weak,boxing,0,100000,81.15,100
ablation,pdyn_weak,up_n_down,0,10000,191.0,10
ablation,pdyn_weak,up_n_down,0,20000,3975.0,10
ablation,pdyn_weak,up_n_down,0,30000,13403.0,10
ablation,pdyn_weak,up_n_down,0,40000,19817.0,10
ablation,pdyn_weak,up_n_down,0,50000,102514.0,10
ablation,pdyn_weak,up_n_down,0,60000,79632.0,10
ablation,pdyn_weak,up_n_down,0,70000,19798.0,10
ablation,pdyn_weak,up_n_down,0,80000,36633.0,10
ablation,pdyn_weak,up_n_down,0,90000,47998.0,10
ablation,pdyn_weak,up_n_down,0,100000,40395.7,100
ablation,pdyn_weak,frostbite,0,10000,83.0,10
ablation,pdyn_weak,frostbite,0,20000,166.0,10
ablation,pdyn_weak,frostbite,0,30000,182.0,10
ablation,pdyn_weak,frostbite,0,40000,213.0,10
ablation,pdyn_weak,frostbite,0,50000,217.0,10
ablation,pdyn_weak,frostbite,0,60000,273.0,10
ablation,pdyn_weak,frostbite,0,70000,296.0,10
ablation,pdyn_weak,frostbite,0,80000,358.0,10
ablation,pdyn_weak,frostbite,0,90000,348.0,10
ablation,pdyn_weak,frostbite,0,100000,324.4,100
ablation,pdyn_weak,road_runner,0,10000,900.0,10
ablation,pdyn_weak,road_runner,0,20000,900.0,10
ablation,pdyn_weak,road_runner,0,30000,7260.0,10
ablation,pdyn_weak,road_runner,0,40000,4530.0,10
ablation,pdyn_weak,road_runner,0,50000,7750.0,10
ablation,pdyn_weak,road_runner,0,60000,7980.0,10
ablation,pdyn_weak,road_runner,0,70000,9630.0,10
ablation,pdyn_weak,road_runner,0,80000,8620.0,10
ablation,pdyn_weak,road_runner,0,90000,9410.0,10
ablation,pdyn_weak,road_runner,0,100000,8291.0,100
