role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,permuted,boxing,0,10000,0,0.0,1780.0
ablation,permuted,boxing,0,10000,1,0.0,1781.0
ablation,permuted,boxing,0,10000,2,-6.0,1786.0
ablation,permuted,boxing,0,10000,3,-7.0,1784.0
ablation,permuted,boxing,0,10000,4,-2.0,1784.0
ablation,permuted,boxing,0,10000,5,-1.0,1785.0
ablation,permuted,boxing,0,10000,6,8.0,1724.0
ablation,permuted,boxing,0,10000,7,-3.0,1779.0
ablation,permuted,boxing,0,10000,8,6.0,1786.0
ablation,permuted,boxing,0,10000,9,2.0,1523.0
ablation,permuted,boxing,0,20000,0,24.0,1780.0
ablation,permuted,boxing,0,20000,1,16.0,1781.0
ablation,permuted,boxing,0,20000,2,28.0,1786.0
ablation,permuted,boxing,0,20000,3,31.0,1784.0
ablation,permuted,boxing,0,20000,4,13.0,1784.0
ablation,permuted,boxing,0,20000,5,25.0,1785.0
ablation,permuted,boxing,0,20000,6,14.0,1785.0
ablation,permuted,boxing,0,20000,7,25.0,1779.0
ablation,permuted,boxing,0,20000,8,39.0,1786.0
ablation,permuted,boxing,0,20000,9,25.0,1780.0
ablation,permuted,boxing,0,30000,0,74.0,609.0
ablation,permuted,boxing,0,30000,1,61.0,784.0
ablation,permuted,boxing,0,30000,2,70.0,782.0
ablation,permuted,boxing,0,30000,3,61.0,842.0
ablation,permuted,boxing,0,30000,4,60.0,816.0
ablation,permuted,boxing,0,30000,5,72.0,674.0
ablation,permuted,boxing,0,30000,6,36.0,969.0
ablation,permuted,boxing,0,30000,7,51.0,976.0
ablation,permuted,boxing,0,30000,8,57.0,970.0
ablation,permuted,boxing,0,30000,9,50.0,1074.0
ablation,permuted,boxing,0,40000,0,36.0,1255.0
ablation,permuted,boxing,0,40000,1,89.0,347.0
ablation,permuted,boxing,0,40000,2,89.0,439.0
ablation,permuted,boxing,0,40000,3,82.0,538.0
ablation,permuted,boxing,0,40000,4,75.0,661.0
ablation,permuted,boxing,0,40000,5,66.0,739.0
ablation,permuted,boxing,0,40000,6,87.0,408.0
ablation,permuted,boxing,0,40000,7,72.0,844.0
ablation,permuted,boxing,0,40000,8,86.0,447.0
ablation,permuted,boxing,0,40000,9,84.0,484.0
ablation,permuted,boxing,0,50000,0,59.0,703.0
ablation,permuted,boxing,0,50000,1,70.0,618.0
ablation,permuted,boxing,0,50000,2,72.0,834.0
ablation,permuted,boxing,0,50000,3,98.0,299.0
ablation,permuted,boxing,0,50000,4,84.0,493.0
ablation,permuted,boxing,0,50000,5,81.0,447.0
ablation,permuted,boxing,0,50000,6,77.0,609.0
ablation,permuted,boxing,0,50000,7,70.0,711.0
ablation,permuted,boxing,0,50000,8,61.0,855.0
ablation,permuted,boxing,0,50000,9,79.0,574.0
ablation,permuted,boxing,0,60000,0,96.0,376.0
ablation,permuted,boxing,0,60000,1,87.0,358.0
ablation,permuted,boxing,0,60000,2,59.0,972.0
ablation,permuted,boxing,0,60000,3,88.0,530.0
ablation,permuted,boxing,0,60000,4,86.0,469.0
ablation,permuted,boxing,0,60000,5,83.0,548.0
ablation,permuted,boxing,0,60000,6,67.0,652.0
ablation,permuted,boxing,0,60000,7,71.0,717.0
ablation,permuted,boxing,0,60000,8,80.0,583.0
ablation,permuted,boxing,0,60000,9,72.0,695.0
ablation,permuted,boxing,0,70000,0,98.0,286.0
ablation,permuted,boxing,0,70000,1,88.0,354.0
ablation,permuted,boxing,0,70000,2,92.0,465.0
ablation,permuted,boxing,0,70000,3,97.0,316.0
ablation,permuted,boxing,0,70000,4,98.0,319.0
ablation,permuted,boxing,0,70000,5,66.0,704.0
ablation,permuted,boxing,0,70000,6,77.0,532.0
ablation,permuted,boxing,0,70000,7,88.0,492.0
ablation,permuted,boxing,0,70000,8,74.0,554.0
