role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,permuted,boxing,0,10000,-0.3,10
ablation,permuted,boxing,0,20000,24.0,10
ablation,permuted,boxing,0,30000,59.2,10
ablation,permuted,boxing,0,40000,76.6,10
ablation,permuted,boxing,0,50000,75.1,10
ablation,permuted,boxing,0,60000,78.9,10
ablation,permuted,boxing,0,70000,84.9,10
ablation,permuted,boxing,0,80000,82.5,10
ablation,permuted,boxing,0,90000,81.1,10
ablation,permuted,boxing,0,100000,87.29,100
ablation,permuted,up_n_down,0,10000,992.0,10
ablation,permuted,up_n_down,0,20000,931.0,10
ablation,permuted,up_n_down,0,30000,3700.0,10
ablation,permuted,up_n_down,0,40000,1378.0,10
ablation,permuted,up_n_down,0,50000,27312.0,10
ablation,permuted,up_n_down,0,60000,13763.0,10
ablation,permuted,up_n_down,0,70000,57216.0,10
ablation,permuted,up_n_down,0,80000,232135.0,10
ablation,permuted,up_n_down,0,90000,243466.0,10
ablation,permuted,up_n_down,0,100000,230553.8,100
ablation,permuted,frostbite,0,10000,82.0,10
ablation,permuted,frostbite,0,20000,206.0,10
ablation,permuted,frostbite,0,30000,216.0,10
ablation,permuted,frostbite,0,40000,239.0,10
ablation,permuted,frostbite,0,50000,224.0,10
ablation,permuted,frostbite,0,60000,379.0,10
ablation,permuted,frostbite,0,70000,1081.0,10
ablation,permuted,frostbite,0,80000,2064.0,10
ablation,permuted,frostbite,0,90000,1999.0,10
ablation,permuted,frostbite,0,100000,1729.6,100
ablation,permuted,road_runner,0,10000,680.0,10
ablation,permuted,road_runner,0,20000,1160.0,10
ablation,permuted,road_runner,0,30000,6370.0,10
ablation,permuted,road_runner,0,40000,14160.0,10
ablation,permuted,road_runner,0,50000,14770.0,10
ablation,permuted,road_runner,0,60000,15020.0,10
ablation,permuted,road_runner,0,70000,14750.0,10
ablation,permuted,road_runner,0,80000,14910.0,10
ablation,permuted,road_runner,0,90000,15190.0,10
ablation,permuted,road_runner,0,100000,15397.0,100
