role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,raw_readout_flat,boxing,0,10000,0,3.0,1780.0
ablation,raw_readout_flat,boxing,0,10000,1,5.0,1781.0
ablation,raw_readout_flat,boxing,0,10000,2,-2.0,1786.0
ablation,raw_readout_flat,boxing,0,10000,3,25.0,1784.0
ablation,raw_readout_flat,boxing,0,10000,4,12.0,1784.0
ablation,raw_readout_flat,boxing,0,10000,5,11.0,1785.0
ablation,raw_readout_flat,boxing,0,10000,6,10.0,1785.0
ablation,raw_readout_flat,boxing,0,10000,7,9.0,1779.0
ablation,raw_readout_flat,boxing,0,10000,8,22.0,1786.0
ablation,raw_readout_flat,boxing,0,10000,9,12.0,1780.0
ablation,raw_readout_flat,boxing,0,20000,0,7.0,1780.0
ablation,raw_readout_flat,boxing,0,20000,1,5.0,1781.0
ablation,raw_readout_flat,boxing,0,20000,2,-7.0,1786.0
ablation,raw_readout_flat,boxing,0,20000,3,-4.0,1784.0
ablation,raw_readout_flat,boxing,0,20000,4,-15.0,1784.0
ablation,raw_readout_flat,boxing,0,20000,5,-15.0,1785.0
ablation,raw_readout_flat,boxing,0,20000,6,-2.0,1785.0
ablation,raw_readout_flat,boxing,0,20000,7,-2.0,1779.0
ablation,raw_readout_flat,boxing,0,20000,8,0.0,1786.0
ablation,raw_readout_flat,boxing,0,20000,9,-2.0,1780.0
ablation,raw_readout_flat,boxing,0,30000,0,36.0,1780.0
ablation,raw_readout_flat,boxing,0,30000,1,63.0,1781.0
ablation,raw_readout_flat,boxing,0,30000,2,69.0,1593.0
ablation,raw_readout_flat,boxing,0,30000,3,49.0,1784.0
ablation,raw_readout_flat,boxing,0,30000,4,23.0,1784.0
ablation,raw_readout_flat,boxing,0,30000,5,32.0,1785.0
ablation,raw_readout_flat,boxing,0,30000,6,65.0,1727.0
ablation,raw_readout_flat,boxing,0,30000,7,47.0,1779.0
ablation,raw_readout_flat,boxing,0,30000,8,56.0,1769.0
ablation,raw_readout_flat,boxing,0,30000,9,57.0,1750.0
ablation,raw_readout_flat,boxing,0,40000,0,64.0,1217.0
ablation,raw_readout_flat,boxing,0,40000,1,66.0,1257.0
ablation,raw_readout_flat,boxing,0,40000,2,59.0,1539.0
ablation,raw_readout_flat,boxing,0,40000,3,58.0,1541.0
ablation,raw_readout_flat,boxing,0,40000,4,74.0,1166.0
ablation,raw_readout_flat,boxing,0,40000,5,58.0,1504.0
ablation,raw_readout_flat,boxing,0,40000,6,65.0,1628.0
ablation,raw_readout_flat,boxing,0,40000,7,67.0,1207.0
