role,arm,game,seed,agent_steps,mean_return,episodes
comparator,flat,boxing,0,10000,7.8,10
comparator,flat,boxing,0,20000,31.1,10
comparator,flat,boxing,0,30000,41.6,10
comparator,flat,boxing,0,40000,62.0,10
comparator,flat,boxing,0,50000,-40.6,10
comparator,flat,boxing,0,60000,68.4,10
comparator,flat,boxing,0,70000,72.0,10
comparator,flat,boxing,0,80000,71.6,10
comparator,flat,boxing,0,90000,75.2,10
comparator,flat,boxing,0,100000,73.13,100
comparator,flat,up_n_down,0,10000,1035.0,10
comparator,flat,up_n_down,0,20000,597.0,10
comparator,flat,up_n_down,0,30000,1882.0,10
comparator,flat,up_n_down,0,40000,2221.0,10
comparator,flat,up_n_down,0,50000,3908.0,10
comparator,flat,up_n_down,0,60000,3487.0,10
comparator,flat,up_n_down,0,70000,3810.0,10
comparator,flat,up_n_down,0,80000,4283.0,10
comparator,flat,up_n_down,0,90000,4794.0,10
comparator,flat,up_n_down,0,100000,4035.8,100
comparator,flat,frostbite,0,10000,62.0,10
comparator,flat,frostbite,0,20000,528.0,10
comparator,flat,frostbite,0,30000,300.0,10
comparator,flat,frostbite,0,40000,1016.0,10
comparator,flat,frostbite,0,50000,346.0,10
comparator,flat,frostbite,0,60000,1553.0,10
comparator,flat,frostbite,0,70000,2007.0,10
comparator,flat,frostbite,0,80000,1920.0,10
comparator,flat,frostbite,0,90000,2531.0,10
comparator,flat,frostbite,0,100000,2532.1,100
comparator,flat,road_runner,0,10000,20.0,10
comparator,flat,road_runner,0,20000,1420.0,10
comparator,flat,road_runner,0,30000,5790.0,10
comparator,flat,road_runner,0,40000,7410.0,10
comparator,flat,road_runner,0,50000,14800.0,10
comparator,flat,road_runner,0,60000,16430.0,10
comparator,flat,road_runner,0,70000,15830.0,10
comparator,flat,road_runner,0,80000,13000.0,10
comparator,flat,road_runner,0,90000,15700.0,10
comparator,flat,road_runner,0,100000,15831.0,100
ablation,raw_readout_flat,boxing,0,10000,10.7,10
ablation,raw_readout_flat,boxing,0,20000,-3.5,10
ablation,raw_readout_flat,boxing,0,30000,49.7,10
ablation,raw_readout_flat,boxing,0,40000,63.0,10
ablation,raw_readout_flat,boxing,0,50000,66.7,10
ablation,raw_readout_flat,boxing,0,60000,76.2,10
ablation,raw_readout_flat,boxing,0,70000,77.0,10
ablation,raw_readout_flat,boxing,0,80000,83.1,10
ablation,raw_readout_flat,boxing,0,90000,76.3,10
ablation,raw_readout_flat,boxing,0,100000,82.68,100
ablation,raw_readout_flat,up_n_down,0,10000,934.0,10
ablation,raw_readout_flat,up_n_down,0,20000,2633.0,10
ablation,raw_readout_flat,up_n_down,0,30000,1945.0,10
ablation,raw_readout_flat,up_n_down,0,40000,2729.0,10
ablation,raw_readout_flat,up_n_down,0,50000,2473.0,10
ablation,raw_readout_flat,up_n_down,0,60000,2808.0,10
ablation,raw_readout_flat,up_n_down,0,70000,2744.0,10
ablation,raw_readout_flat,up_n_down,0,80000,3327.0,10
ablation,raw_readout_flat,up_n_down,0,90000,3232.0,10
ablation,raw_readout_flat,up_n_down,0,100000,4208.4,100
ablation,raw_readout_flat,frostbite,0,10000,53.0,10
ablation,raw_readout_flat,frostbite,0,20000,157.0,10
ablation,raw_readout_flat,frostbite,0,30000,217.0,10
ablation,raw_readout_flat,frostbite,0,40000,213.0,10
ablation,raw_readout_flat,frostbite,0,50000,232.0,10
ablation,raw_readout_flat,frostbite,0,60000,232.0,10
ablation,raw_readout_flat,frostbite,0,70000,253.0,10
ablation,raw_readout_flat,frostbite,0,80000,249.0,10
ablation,raw_readout_flat,frostbite,0,90000,238.0,10
ablation,raw_readout_flat,frostbite,0,100000,257.9,100
ablation,raw_readout_flat,road_runner,0,10000,740.0,10
ablation,raw_readout_flat,road_runner,0,20000,1150.0,10
ablation,raw_readout_flat,road_runner,0,30000,950.0,10
ablation,raw_readout_flat,road_runner,0,40000,970.0,10
ablation,raw_readout_flat,road_runner,0,50000,4720.0,10
ablation,raw_readout_flat,road_runner,0,60000,5830.0,10
ablation,raw_readout_flat,road_runner,0,70000,11720.0,10
ablation,raw_readout_flat,road_runner,0,80000,12480.0,10
ablation,raw_readout_flat,road_runner,0,90000,11710.0,10
ablation,raw_readout_flat,road_runner,0,100000,14029.0,100
