role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,raw_readout_full,boxing,0,10000,0,8.0,1780.0
ablation,raw_readout_full,boxing,0,10000,1,22.0,1781.0
ablation,raw_readout_full,boxing,0,10000,2,31.0,1786.0
ablation,raw_readout_full,boxing,0,10000,3,39.0,1784.0
ablation,raw_readout_full,boxing,0,10000,4,15.0,1784.0
ablation,raw_readout_full,boxing,0,10000,5,26.0,1785.0
ablation,raw_readout_full,boxing,0,10000,6,22.0,1785.0
ablation,raw_readout_full,boxing,0,10000,7,25.0,1779.0
ablation,raw_readout_full,boxing,0,10000,8,22.0,1786.0
ablation,raw_readout_full,boxing,0,10000,9,37.0,1780.0
ablation,raw_readout_full,boxing,0,20000,0,33.0,1780.0
ablation,raw_readout_full,boxing,0,20000,1,20.0,1781.0
ablation,raw_readout_full,boxing,0,20000,2,19.0,1786.0
ablation,raw_readout_full,boxing,0,20000,3,31.0,1784.0
ablation,raw_readout_full,boxing,0,20000,4,22.0,1784.0
ablation,raw_readout_full,boxing,0,20000,5,17.0,1785.0
ablation,raw_readout_full,boxing,0,20000,6,17.0,1785.0
ablation,raw_readout_full,boxing,0,20000,7,34.0,1779.0
ablation,raw_readout_full,boxing,0,20000,8,48.0,1786.0
ablation,raw_readout_full,boxing,0,20000,9,34.0,1780.0
ablation,raw_readout_full,boxing,0,30000,0,22.0,1780.0
ablation,raw_readout_full,boxing,0,30000,1,34.0,1781.0
ablation,raw_readout_full,boxing,0,30000,2,42.0,1786.0
ablation,raw_readout_full,boxing,0,30000,3,21.0,1784.0
ablation,raw_readout_full,boxing,0,30000,4,43.0,1784.0
ablation,raw_readout_full,boxing,0,30000,5,25.0,1785.0
ablation,raw_readout_full,boxing,0,30000,6,4.0,1785.0
ablation,raw_readout_full,boxing,0,30000,7,39.0,1779.0
ablation,raw_readout_full,boxing,0,30000,8,65.0,1786.0
ablation,raw_readout_full,boxing,0,30000,9,14.0,1780.0
ablation,raw_readout_full,boxing,0,40000,0,29.0,1780.0
ablation,raw_readout_full,boxing,0,40000,1,36.0,1781.0
