role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,raw_readout_full,boxing,0,10000,24.7,10
ablation,raw_readout_full,boxing,0,20000,27.5,10
ablation,raw_readout_full,boxing,0,30000,30.9,10
ablation,raw_readout_full,boxing,0,40000,40.5,10
ablation,raw_readout_full,boxing,0,50000,51.1,10
ablation,raw_readout_full,boxing,0,60000,32.7,10
ablation,raw_readout_full,boxing,0,70000,61.7,10
ablation,raw_readout_full,boxing,0,80000,58.0,10
ablation,raw_readout_full,boxing,0,90000,68.7,10
ablation,raw_readout_full,boxing,0,100000,59.27,100
ablation,raw_readout_full,up_n_down,0,10000,22.0,10
ablation,raw_readout_full,up_n_down,0,20000,1510.0,10
ablation,raw_readout_full,up_n_down,0,30000,2723.0,10
ablation,raw_readout_full,up_n_down,0,40000,2337.0,10
ablation,raw_readout_full,up_n_down,0,50000,13709.0,10
ablation,raw_readout_full,up_n_down,0,60000,4020.0,10
ablation,raw_readout_full,up_n_down,0,70000,3597.0,10
ablation,raw_readout_full,up_n_down,0,80000,5922.0,10
ablation,raw_readout_full,up_n_down,0,90000,51465.0,10
ablation,raw_readout_full,up_n_down,0,100000,5274.8,100
ablation,raw_readout_full,frostbite,0,10000,90.0,10
ablation,raw_readout_full,frostbite,0,20000,204.0,10
ablation,raw_readout_full,frostbite,0,30000,225.0,10
ablation,raw_readout_full,frostbite,0,40000,240.0,10
ablation,raw_readout_full,frostbite,0,50000,242.0,10
ablation,raw_readout_full,frostbite,0,60000,240.0,10
ablation,raw_readout_full,frostbite,0,70000,249.0,10
ablation,raw_readout_full,frostbite,0,80000,250.0,10
ablation,raw_readout_full,frostbite,0,90000,257.0,10
ablation,raw_readout_full,frostbite,0,100000,265.1,100
ablation,raw_readout_full,road_runner,0,10000,980.0,10
ablation,raw_readout_full,road_runner,0,20000,860.0,10
ablation,raw_readout_full,road_runner,0,30000,870.0,10
ablation,raw_readout_full,road_runner,0,40000,1480.0,10
ablation,raw_readout_full,road_runner,0,50000,3900.0,10
ablation,raw_readout_full,road_runner,0,60000,7070.0,10
ablation,raw_readout_full,road_runner,0,70000,7910.0,10
ablation,raw_readout_full,road_runner,0,80000,7870.0,10
ablation,raw_readout_full,road_runner,0,90000,8650.0,10
ablation,raw_readout_full,road_runner,0,100000,8492.0,100
