role,arm,game,seed,agent_steps,mean_return,episodes
comparator,flat,boxing,0,10000,7.8,10
comparator,flat,boxing,0,20000,31.1,10
comparator,flat,boxing,0,30000,41.6,10
comparator,flat,boxing,0,40000,62.0,10
comparator,flat,boxing,0,50000,-40.6,10
comparator,flat,boxing,0,60000,68.4,10
comparator,flat,boxing,0,70000,72.0,10
comparator,flat,boxing,0,80000,71.6,10
comparator,flat,boxing,0,90000,75.2,10
comparator,flat,boxing,0,100000,73.13,100
comparator,flat,up_n_down,0,10000,1035.0,10
comparator,flat,up_n_down,0,20000,597.0,10
comparator,flat,up_n_down,0,30000,1882.0,10
comparator,flat,up_n_down,0,40000,2221.0,10
comparator,flat,up_n_down,0,50000,3908.0,10
comparator,flat,up_n_down,0,60000,3487.0,10
comparator,flat,up_n_down,0,70000,3810.0,10
comparator,flat,up_n_down,0,80000,4283.0,10
comparator,flat,up_n_down,0,90000,4794.0,10
comparator,flat,up_n_down,0,100000,4035.8,100
comparator,flat,frostbite,0,10000,62.0,10
comparator,flat,frostbite,0,20000,528.0,10
comparator,flat,frostbite,0,30000,300.0,10
comparator,flat,frostbite,0,40000,1016.0,10
comparator,flat,frostbite,0,50000,346.0,10
comparator,flat,frostbite,0,60000,1553.0,10
comparator,flat,frostbite,0,70000,2007.0,10
comparator,flat,frostbite,0,80000,1920.0,10
comparator,flat,frostbite,0,90000,2531.0,10
comparator,flat,frostbite,0,100000,2532.1,100
comparator,flat,road_runner,0,10000,20.0,10
comparator,flat,road_runner,0,20000,1420.0,10
comparator,flat,road_runner,0,30000,5790.0,10
comparator,flat,road_runner,0,40000,7410.0,10
comparator,flat,road_runner,0,50000,14800.0,10
comparator,flat,road_runner,0,60000,16430.0,10
comparator,flat,road_runner,0,70000,15830.0,10
comparator,flat,road_runner,0,80000,13000.0,10
comparator,flat,road_runner,0,90000,15700.0,10
comparator,flat,road_runner,0,100000,15831.0,100
ablation,rec_only,boxing,0,10000,0.3,10
ablation,rec_only,boxing,0,20000,27.2,10
ablation,rec_only,boxing,0,30000,49.9,10
ablation,rec_only,boxing,0,40000,59.0,10
ablation,rec_only,boxing,0,50000,71.9,10
ablation,rec_only,boxing,0,60000,57.7,10
ablation,rec_only,boxing,0,70000,73.7,10
ablation,rec_only,boxing,0,80000,46.3,10
ablation,rec_only,boxing,0,90000,79.1,10
ablation,rec_only,boxing,0,100000,27.36,100
ablation,rec_only,up_n_down,0,10000,593.0,10
ablation,rec_only,up_n_down,0,20000,51896.0,10
ablation,rec_only,up_n_down,0,30000,22.0,10
ablation,rec_only,up_n_down,0,40000,71882.0,10
ablation,rec_only,up_n_down,0,50000,110226.0,10
ablation,rec_only,up_n_down,0,60000,6195.0,10
ablation,rec_only,up_n_down,0,70000,19073.0,10
ablation,rec_only,up_n_down,0,80000,58787.0,10
ablation,rec_only,up_n_down,0,90000,8901.0,10
ablation,rec_only,up_n_down,0,100000,19740.3,100
ablation,rec_only,frostbite,0,10000,134.0,10
ablation,rec_only,frostbite,0,20000,164.0,10
ablation,rec_only,frostbite,0,30000,209.0,10
ablation,rec_only,frostbite,0,40000,329.0,10
ablation,rec_only,frostbite,0,50000,218.0,10
ablation,rec_only,frostbite,0,60000,242.0,10
ablation,rec_only,frostbite,0,70000,252.0,10
ablation,rec_only,frostbite,0,80000,279.0,10
ablation,rec_only,frostbite,0,90000,331.0,10
ablation,rec_only,frostbite,0,100000,481.6,100
ablation,rec_only,road_runner,0,10000,770.0,10
ablation,rec_only,road_runner,0,20000,6590.0,10
ablation,rec_only,road_runner,0,30000,13280.0,10
ablation,rec_only,road_runner,0,40000,13140.0,10
ablation,rec_only,road_runner,0,50000,14550.0,10
ablation,rec_only,road_runner,0,60000,13960.0,10
ablation,rec_only,road_runner,0,70000,15150.0,10
ablation,rec_only,road_runner,0,80000,14420.0,10
ablation,rec_only,road_runner,0,90000,13340.0,10
ablation,rec_only,road_runner,0,100000,15801.0,100
