role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,rec_pruned,boxing,0,10000,0,1.0,1780.0
ablation,rec_pruned,boxing,0,10000,1,1.0,1781.0
ablation,rec_pruned,boxing,0,10000,2,-4.0,1786.0
ablation,rec_pruned,boxing,0,10000,3,16.0,1784.0
ablation,rec_pruned,boxing,0,10000,4,10.0,1784.0
ablation,rec_pruned,boxing,0,10000,5,3.0,1785.0
ablation,rec_pruned,boxing,0,10000,6,6.0,1785.0
ablation,rec_pruned,boxing,0,10000,7,7.0,1779.0
ablation,rec_pruned,boxing,0,10000,8,0.0,1786.0
ablation,rec_pruned,boxing,0,10000,9,2.0,1780.0
ablation,rec_pruned,boxing,0,20000,0,18.0,1780.0
ablation,rec_pruned,boxing,0,20000,1,25.0,1781.0
ablation,rec_pruned,boxing,0,20000,2,26.0,1786.0
ablation,rec_pruned,boxing,0,20000,3,24.0,1784.0
ablation,rec_pruned,boxing,0,20000,4,6.0,1784.0
ablation,rec_pruned,boxing,0,20000,5,16.0,1785.0
ablation,rec_pruned,boxing,0,20000,6,7.0,1785.0
ablation,rec_pruned,boxing,0,20000,7,4.0,1779.0
ablation,rec_pruned,boxing,0,20000,8,16.0,1786.0
ablation,rec_pruned,boxing,0,20000,9,26.0,1780.0
ablation,rec_pruned,boxing,0,30000,0,30.0,1780.0
ablation,rec_pruned,boxing,0,30000,1,31.0,1781.0
ablation,rec_pruned,boxing,0,30000,2,23.0,1786.0
ablation,rec_pruned,boxing,0,30000,3,40.0,1784.0
ablation,rec_pruned,boxing,0,30000,4,30.0,1784.0
ablation,rec_pruned,boxing,0,30000,5,28.0,1785.0
ablation,rec_pruned,boxing,0,30000,6,34.0,1785.0
ablation,rec_pruned,boxing,0,30000,7,19.0,1779.0
ablation,rec_pruned,boxing,0,30000,8,2.0,1786.0
ablation,rec_pruned,boxing,0,30000,9,13.0,1780.0
ablation,rec_pruned,boxing,0,40000,0,10.0,1780.0
ablation,rec_pruned,boxing,0,40000,1,20.0,1781.0
ablation,rec_pruned,boxing,0,40000,2,20.0,1786.0
ablation,rec_pruned,boxing,0,40000,3,32.0,1784.0
ablation,rec_pruned,boxing,0,40000,4,53.0,1784.0
ablation,rec_pruned,boxing,0,40000,5,40.0,1785.0
ablation,rec_pruned,boxing,0,40000,6,17.0,1785.0
ablation,rec_pruned,boxing,0,40000,7,16.0,1779.0
ablation,rec_pruned,boxing,0,40000,8,33.0,1786.0
ablation,rec_pruned,boxing,0,40000,9,29.0,1780.0
ablation,rec_pruned,boxing,0,50000,0,33.0,1780.0
ablation,rec_pruned,boxing,0,50000,1,34.0,1781.0
ablation,rec_pruned,boxing,0,50000,2,22.0,1786.0
ablation,rec_pruned,boxing,0,50000,3,14.0,1784.0
ablation,rec_pruned,boxing,0,50000,4,50.0,1784.0
ablation,rec_pruned,boxing,0,50000,5,4.0,1785.0
ablation,rec_pruned,boxing,0,50000,6,46.0,1785.0
ablation,rec_pruned,boxing,0,50000,7,23.0,1779.0
ablation,rec_pruned,boxing,0,50000,8,20.0,1786.0
ablation,rec_pruned,boxing,0,50000,9,28.0,1780.0
ablation,rec_pruned,boxing,0,60000,0,56.0,1780.0
ablation,rec_pruned,boxing,0,60000,1,36.0,1781.0
ablation,rec_pruned,boxing,0,60000,2,64.0,1786.0
ablation,rec_pruned,boxing,0,60000,3,52.0,1784.0
ablation,rec_pruned,boxing,0,60000,4,86.0,1652.0
ablation,rec_pruned,boxing,0,60000,5,56.0,1785.0
ablation,rec_pruned,boxing,0,60000,6,35.0,1785.0
ablation,rec_pruned,boxing,0,60000,7,78.0,1634.0
ablation,rec_pruned,boxing,0,60000,8,65.0,1786.0
ablation,rec_pruned,boxing,0,60000,9,63.0,1780.0
ablation,rec_pruned,boxing,0,70000,0,68.0,1714.0
ablation,rec_pruned,boxing,0,70000,1,67.0,1648.0
ablation,rec_pruned,boxing,0,70000,2,78.0,1706.0
ablation,rec_pruned,boxing,0,70000,3,84.0,1512.0
ablation,rec_pruned,boxing,0,70000,4,82.0,1436.0
ablation,rec_pruned,boxing,0,70000,5,76.0,1417.0
ablation,rec_pruned,boxing,0,70000,6,75.0,1682.0
ablation,rec_pruned,boxing,0,70000,7,63.0,1609.0
ablation,rec_pruned,boxing,0,70000,8,86.0,1489.0
ablation,rec_pruned,boxing,0,70000,9,76.0,1618.0
ablation,rec_pruned,boxing,0,80000,0,51.0,1780.0
ablation,rec_pruned,boxing,0,80000,1,67.0,1652.0
ablation,rec_pruned,boxing,0,80000,2,77.0,1733.0
ablation,rec_pruned,boxing,0,80000,3,69.0,1730.0
ablation,rec_pruned,boxing,0,80000,4,70.0,1784.0
ablation,rec_pruned,boxing,0,80000,5,57.0,1649.0
ablation,rec_pruned,boxing,0,80000,6,64.0,1658.0
ablation,rec_pruned,boxing,0,80000,7,73.0,1610.0
ablation,rec_pruned,boxing,0,80000,8,39.0,1786.0
ablation,rec_pruned,boxing,0,80000,9,71.0,1780.0
ablation,rec_pruned,boxing,0,90000,0,67.0,1780.0
ablation,rec_pruned,boxing,0,90000,1,64.0,1732.0
ablation,rec_pruned,boxing,0,90000,2,76.0,1786.0
ablation,rec_pruned,boxing,0,90000,3,63.0,1784.0
ablation,rec_pruned,boxing,0,90000,4,80.0,1784.0
ablation,rec_pruned,boxing,0,90000,5,85.0,1676.0
ablation,rec_pruned,boxing,0,90000,6,61.0,1785.0
ablation,rec_pruned,boxing,0,90000,7,83.0,1592.0
ablation,rec_pruned,boxing,0,90000,8,81.0,1786.0
ablation,rec_pruned,boxing,0,90000,9,82.0,1780.0
ablation,rec_pruned,boxing,0,100000,0,70.0,1590.0
ablation,rec_pruned,boxing,0,100000,1,60.0,1781.0
ablation,rec_pruned,boxing,0,100000,2,78.0,1675.0
ablation,rec_pruned,boxing,0,100000,3,67.0,1784.0
ablation,rec_pruned,boxing,0,100000,4,54.0,1784.0
ablation,rec_pruned,boxing,0,100000,5,79.0,1654.0
ablation,rec_pruned,boxing,0,100000,6,73.0,1581.0
ablation,rec_pruned,boxing,0,100000,7,58.0,1779.0
ablation,rec_pruned,boxing,0,100000,8,78.0,1753.0
ablation,rec_pruned,boxing,0,100000,9,67.0,1780.0
ablation,rec_pruned,boxing,0,100000,10,78.0,1782.0
ablation,rec_pruned,boxing,0,100000,11,68.0,1784.0
ablation,rec_pruned,boxing,0,100000,12,90.0,1577.0
ablation,rec_pruned,boxing,0,100000,13,66.0,1782.0
ablation,rec_pruned,boxing,0,100000,14,80.0,1740.0
ablation,rec_pruned,boxing,0,100000,15,82.0,1677.0
ablation,rec_pruned,boxing,0,100000,16,74.0,1780.0
ablation,rec_pruned,boxing,0,100000,17,57.0,1786.0
ablation,rec_pruned,boxing,0,100000,18,89.0,1539.0
ablation,rec_pruned,boxing,0,100000,19,71.0,1780.0
ablation,rec_pruned,boxing,0,100000,20,71.0,1781.0
