role,arm,game,seed,agent_steps,mean_return,episodes
comparator,rec_only,boxing,0,10000,0.3,10
comparator,rec_only,boxing,0,20000,27.2,10
comparator,rec_only,boxing,0,30000,49.9,10
comparator,rec_only,boxing,0,40000,59.0,10
comparator,rec_only,boxing,0,50000,71.9,10
comparator,rec_only,boxing,0,60000,57.7,10
comparator,rec_only,boxing,0,70000,73.7,10
comparator,rec_only,boxing,0,80000,46.3,10
comparator,rec_only,boxing,0,90000,79.1,10
comparator,rec_only,boxing,0,100000,27.36,100
comparator,rec_only,up_n_down,0,10000,593.0,10
comparator,rec_only,up_n_down,0,20000,51896.0,10
comparator,rec_only,up_n_down,0,30000,22.0,10
comparator,rec_only,up_n_down,0,40000,71882.0,10
comparator,rec_only,up_n_down,0,50000,110226.0,10
comparator,rec_only,up_n_down,0,60000,6195.0,10
comparator,rec_only,up_n_down,0,70000,19073.0,10
comparator,rec_only,up_n_down,0,80000,58787.0,10
comparator,rec_only,up_n_down,0,90000,8901.0,10
comparator,rec_only,up_n_down,0,100000,19740.3,100
comparator,rec_only,frostbite,0,10000,134.0,10
comparator,rec_only,frostbite,0,20000,164.0,10
comparator,rec_only,frostbite,0,30000,209.0,10
comparator,rec_only,frostbite,0,40000,329.0,10
comparator,rec_only,frostbite,0,50000,218.0,10
comparator,rec_only,frostbite,0,60000,242.0,10
comparator,rec_only,frostbite,0,70000,252.0,10
comparator,rec_only,frostbite,0,80000,279.0,10
comparator,rec_only,frostbite,0,90000,331.0,10
comparator,rec_only,frostbite,0,100000,481.6,100
comparator,rec_only,road_runner,0,10000,770.0,10
comparator,rec_only,road_runner,0,20000,6590.0,10
comparator,rec_only,road_runner,0,30000,13280.0,10
comparator,rec_only,road_runner,0,40000,13140.0,10
comparator,rec_only,road_runner,0,50000,14550.0,10
comparator,rec_only,road_runner,0,60000,13960.0,10
comparator,rec_only,road_runner,0,70000,15150.0,10
comparator,rec_only,road_runner,0,80000,14420.0,10
comparator,rec_only,road_runner,0,90000,13340.0,10
comparator,rec_only,road_runner,0,100000,15801.0,100
ablation,rec_pruned,boxing,0,10000,4.2,10
ablation,rec_pruned,boxing,0,20000,16.8,10
ablation,rec_pruned,boxing,0,30000,25.0,10
ablation,rec_pruned,boxing,0,40000,27.0,10
ablation,rec_pruned,boxing,0,50000,27.4,10
ablation,rec_pruned,boxing,0,60000,59.1,10
ablation,rec_pruned,boxing,0,70000,75.5,10
ablation,rec_pruned,boxing,0,80000,63.8,10
ablation,rec_pruned,boxing,0,90000,74.2,10
ablation,rec_pruned,boxing,0,100000,74.38,100
ablation,rec_pruned,up_n_down,0,10000,418.0,10
ablation,rec_pruned,up_n_down,0,20000,10613.0,10
ablation,rec_pruned,up_n_down,0,30000,17148.0,10
ablation,rec_pruned,up_n_down,0,40000,9795.0,10
ablation,rec_pruned,up_n_down,0,50000,5911.0,10
ablation,rec_pruned,up_n_down,0,60000,6995.0,10
ablation,rec_pruned,up_n_down,0,70000,59657.0,10
ablation,rec_pruned,up_n_down,0,80000,32195.0,10
ablation,rec_pruned,up_n_down,0,90000,28352.0,10
ablation,rec_pruned,up_n_down,0,100000,12814.1,100
ablation,rec_pruned,frostbite,0,10000,36.0,10
ablation,rec_pruned,frostbite,0,20000,212.0,10
ablation,rec_pruned,frostbite,0,30000,221.0,10
ablation,rec_pruned,frostbite,0,40000,215.0,10
ablation,rec_pruned,frostbite,0,50000,971.0,10
ablation,rec_pruned,frostbite,0,60000,1582.0,10
ablation,rec_pruned,frostbite,0,70000,2547.0,10
ablation,rec_pruned,frostbite,0,80000,2846.0,10
ablation,rec_pruned,frostbite,0,90000,2758.0,10
ablation,rec_pruned,frostbite,0,100000,2789.3,100
ablation,rec_pruned,road_runner,0,10000,2000.0,10
ablation,rec_pruned,road_runner,0,20000,3440.0,10
ablation,rec_pruned,road_runner,0,30000,11020.0,10
ablation,rec_pruned,road_runner,0,40000,11490.0,10
ablation,rec_pruned,road_runner,0,50000,13710.0,10
ablation,rec_pruned,road_runner,0,60000,14500.0,10
ablation,rec_pruned,road_runner,0,70000,2510.0,10
ablation,rec_pruned,road_runner,0,80000,14730.0,10
ablation,rec_pruned,road_runner,0,90000,14700.0,10
ablation,rec_pruned,road_runner,0,100000,14586.0,100
