role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,rec_strong,boxing,0,10000,0,0.0,1780.0
ablation,rec_strong,boxing,0,10000,1,-1.0,1781.0
ablation,rec_strong,boxing,0,10000,2,0.0,1786.0
ablation,rec_strong,boxing,0,10000,3,-9.0,1784.0
ablation,rec_strong,boxing,0,10000,4,-2.0,1784.0
ablation,rec_strong,boxing,0,10000,5,4.0,1785.0
ablation,rec_strong,boxing,0,10000,6,2.0,1785.0
ablation,rec_strong,boxing,0,10000,7,2.0,1779.0
ablation,rec_strong,boxing,0,10000,8,8.0,1786.0
ablation,rec_strong,boxing,0,10000,9,10.0,1780.0
ablation,rec_strong,boxing,0,20000,0,-2.0,1780.0
ablation,rec_strong,boxing,0,20000,1,34.0,1781.0
ablation,rec_strong,boxing,0,20000,2,28.0,1786.0
ablation,rec_strong,boxing,0,20000,3,35.0,1784.0
ablation,rec_strong,boxing,0,20000,4,30.0,1784.0
ablation,rec_strong,boxing,0,20000,5,18.0,1785.0
ablation,rec_strong,boxing,0,20000,6,34.0,1785.0
ablation,rec_strong,boxing,0,20000,7,45.0,1779.0
ablation,rec_strong,boxing,0,20000,8,39.0,1786.0
ablation,rec_strong,boxing,0,20000,9,13.0,1780.0
ablation,rec_strong,boxing,0,30000,0,60.0,1780.0
ablation,rec_strong,boxing,0,30000,1,74.0,1781.0
ablation,rec_strong,boxing,0,30000,2,38.0,1786.0
ablation,rec_strong,boxing,0,30000,3,49.0,1784.0
ablation,rec_strong,boxing,0,30000,4,64.0,1784.0
ablation,rec_strong,boxing,0,30000,5,52.0,1785.0
ablation,rec_strong,boxing,0,30000,6,29.0,1785.0
ablation,rec_strong,boxing,0,30000,7,39.0,1779.0
ablation,rec_strong,boxing,0,30000,8,42.0,1786.0
ablation,rec_strong,boxing,0,30000,9,42.0,1780.0
ablation,rec_strong,boxing,0,40000,0,74.0,1780.0
ablation,rec_strong,boxing,0,40000,1,61.0,1781.0
ablation,rec_strong,boxing,0,40000,2,79.0,1786.0
ablation,rec_strong,boxing,0,40000,3,69.0,1784.0
ablation,rec_strong,boxing,0,40000,4,57.0,1784.0
ablation,rec_strong,boxing,0,40000,5,50.0,1785.0
ablation,rec_strong,boxing,0,40000,6,54.0,1785.0
ablation,rec_strong,boxing,0,40000,7,65.0,1779.0
ablation,rec_strong,boxing,0,40000,8,59.0,1786.0
ablation,rec_strong,boxing,0,40000,9,66.0,1780.0
ablation,rec_strong,boxing,0,50000,0,84.0,1437.0
ablation,rec_strong,boxing,0,50000,1,82.0,1654.0
ablation,rec_strong,boxing,0,50000,2,67.0,1786.0
ablation,rec_strong,boxing,0,50000,3,83.0,1541.0
ablation,rec_strong,boxing,0,50000,4,88.0,1633.0
ablation,rec_strong,boxing,0,50000,5,74.0,1602.0
ablation,rec_strong,boxing,0,50000,6,72.0,1785.0
ablation,rec_strong,boxing,0,50000,7,63.0,1779.0
ablation,rec_strong,boxing,0,50000,8,91.0,1651.0
ablation,rec_strong,boxing,0,50000,9,77.0,1738.0
ablation,rec_strong,boxing,0,60000,0,71.0,1780.0
ablation,rec_strong,boxing,0,60000,1,67.0,1781.0
ablation,rec_strong,boxing,0,60000,2,75.0,1699.0
ablation,rec_strong,boxing,0,60000,3,60.0,1784.0
ablation,rec_strong,boxing,0,60000,4,74.0,1542.0
ablation,rec_strong,boxing,0,60000,5,59.0,1785.0
ablation,rec_strong,boxing,0,60000,6,75.0,1785.0
ablation,rec_strong,boxing,0,60000,7,66.0,1779.0
ablation,rec_strong,boxing,0,60000,8,71.0,1786.0
ablation,rec_strong,boxing,0,60000,9,55.0,1780.0
ablation,rec_strong,boxing,0,70000,0,78.0,1780.0
ablation,rec_strong,boxing,0,70000,1,81.0,1706.0
ablation,rec_strong,boxing,0,70000,2,81.0,1631.0
ablation,rec_strong,boxing,0,70000,3,78.0,1599.0
ablation,rec_strong,boxing,0,70000,4,91.0,1589.0
ablation,rec_strong,boxing,0,70000,5,85.0,1648.0
ablation,rec_strong,boxing,0,70000,6,84.0,1569.0
ablation,rec_strong,boxing,0,70000,7,76.0,1664.0
ablation,rec_strong,boxing,0,70000,8,83.0,1540.0
ablation,rec_strong,boxing,0,70000,9,83.0,1670.0
ablation,rec_strong,boxing,0,80000,0,80.0,1591.0
ablation,rec_strong,boxing,0,80000,1,93.0,1593.0
ablation,rec_strong,boxing,0,80000,2,82.0,1507.0
ablation,rec_strong,boxing,0,80000,3,75.0,1784.0
ablation,rec_strong,boxing,0,80000,4,78.0,1658.0
ablation,rec_strong,boxing,0,80000,5,89.0,1491.0
ablation,rec_strong,boxing,0,80000,6,89.0,1490.0
ablation,rec_strong,boxing,0,80000,7,79.0,1775.0
ablation,rec_strong,boxing,0,80000,8,72.0,1600.0
ablation,rec_strong,boxing,0,80000,9,52.0,1780.0
ablation,rec_strong,boxing,0,90000,0,83.0,1592.0
ablation,rec_strong,boxing,0,90000,1,84.0,1742.0
ablation,rec_strong,boxing,0,90000,2,66.0,1786.0
ablation,rec_strong,boxing,0,90000,3,77.0,1724.0
ablation,rec_strong,boxing,0,90000,4,77.0,1645.0
ablation,rec_strong,boxing,0,90000,5,75.0,1641.0
ablation,rec_strong,boxing,0,90000,6,59.0,1785.0
ablation,rec_strong,boxing,0,90000,7,66.0,1720.0
ablation,rec_strong,boxing,0,90000,8,81.0,1726.0
ablation,rec_strong,boxing,0,90000,9,83.0,1675.0
ablation,rec_strong,boxing,0,100000,0,81.0,1759.0
ablation,rec_strong,boxing,0,100000,1,37.0,1781.0
ablation,rec_strong,boxing,0,100000,2,79.0,1676.0
ablation,rec_strong,boxing,0,100000,3,75.0,1667.0
ablation,rec_strong,boxing,0,100000,4,78.0,1591.0
ablation,rec_strong,boxing,0,100000,5,67.0,1785.0
ablation,rec_strong,boxing,0,100000,6,75.0,1714.0
ablation,rec_strong,boxing,0,100000,7,81.0,1678.0
ablation,rec_strong,boxing,0,100000,8,68.0,1742.0
ablation,rec_strong,boxing,0,100000,9,83.0,1728.0
ablation,rec_strong,boxing,0,100000,10,77.0,1589.0
ablation,rec_strong,boxing,0,100000,11,77.0,1630.0
ablation,rec_strong,boxing,0,100000,12,76.0,1726.0
ablation,rec_strong,boxing,0,100000,13,66.0,1643.0
ablation,rec_strong,boxing,0,100000,14,76.0,1734.0
ablation,rec_strong,boxing,0,100000,15,75.0,1708.0
ablation,rec_strong,boxing,0,100000,16,62.0,1780.0
ablation,rec_strong,boxing,0,100000,17,81.0,1699.0
ablation,rec_strong,boxing,0,100000,18,85.0,1415.0
ablation,rec_strong,boxing,0,100000,19,72.0,1780.0
ablation,rec_strong,boxing,0,100000,20,71.0,1754.0
ablation,rec_strong,boxing,0,100000,21,59.0,1783.0
ablation,rec_strong,boxing,0,100000,22,77.0,1784.0
ablation,rec_strong,boxing,0,100000,23,84.0,1722.0
ablation,rec_strong,boxing,0,100000,24,84.0,1566.0
ablation,rec_strong,boxing,0,100000,25,76.0,1729.0
ablation,rec_strong,boxing,0,100000,26,75.0,1580.0
ablation,rec_strong,boxing,0,100000,27,79.0,1622.0
ablation,rec_strong,boxing,0,100000,28,85.0,1500.0
ablation,rec_strong,boxing,0,100000,29,70.0,1784.0
ablation,rec_strong,boxing,0,100000,30,91.0,1534.0
ablation,rec_strong,boxing,0,100000,31,80.0,1614.0
ablation,rec_strong,boxing,0,100000,32,70.0,1727.0
ablation,rec_strong,boxing,0,100000,33,83.0,1644.0
ablation,rec_strong,boxing,0,100000,34,93.0,1486.0
ablation,rec_strong,boxing,0,100000,35,86.0,1564.0
ablation,rec_strong,boxing,0,100000,36,81.0,1512.0
ablation,rec_strong,boxing,0,100000,37,74.0,1744.0
ablation,rec_strong,boxing,0,100000,38,82.0,1784.0
ablation,rec_strong,boxing,0,100000,39,88.0,1770.0
ablation,rec_strong,boxing,0,100000,40,51.0,1784.0
ablation,rec_strong,boxing,0,100000,41,76.0,1678.0
ablation,rec_strong,boxing,0,100000,42,80.0,1596.0
ablation,rec_strong,boxing,0,100000,43,77.0,1682.0
ablation,rec_strong,boxing,0,100000,44,74.0,1756.0
ablation,rec_strong,boxing,0,100000,45,83.0,1631.0
ablation,rec_strong,boxing,0,100000,46,76.0,1725.0
ablation,rec_strong,boxing,0,100000,47,82.0,1684.0
ablation,rec_strong,boxing,0,100000,48,78.0,1641.0
ablation,rec_strong,boxing,0,100000,49,75.0,1757.0
ablation,rec_strong,boxing,0,100000,50,77.0,1740.0
ablation,rec_strong,boxing,0,100000,51,66.0,1671.0
ablation,rec_strong,boxing,0,100000,52,82.0,1627.0
ablation,rec_strong,boxing,0,100000,53,90.0,1513.0
