role,arm,game,seed,agent_steps,mean_return,episodes
comparator,full,boxing,0,10000,1.8,10
comparator,full,boxing,0,20000,25.6,10
comparator,full,boxing,0,30000,37.3,10
comparator,full,boxing,0,40000,58.3,10
comparator,full,boxing,0,50000,56.0,10
comparator,full,boxing,0,60000,62.6,10
comparator,full,boxing,0,70000,62.8,10
comparator,full,boxing,0,80000,69.3,10
comparator,full,boxing,0,90000,63.2,10
comparator,full,boxing,0,100000,74.58,100
comparator,full,up_n_down,0,10000,144.0,10
comparator,full,up_n_down,0,20000,6082.0,10
comparator,full,up_n_down,0,30000,1731.0,10
comparator,full,up_n_down,0,40000,23756.0,10
comparator,full,up_n_down,0,50000,983.0,10
comparator,full,up_n_down,0,60000,60075.0,10
comparator,full,up_n_down,0,70000,69976.0,10
comparator,full,up_n_down,0,80000,20500.0,10
comparator,full,up_n_down,0,90000,81584.0,10
comparator,full,up_n_down,0,100000,22944.9,100
comparator,full,frostbite,0,10000,106.0,10
comparator,full,frostbite,0,20000,117.0,10
comparator,full,frostbite,0,30000,195.0,10
comparator,full,frostbite,0,40000,226.0,10
comparator,full,frostbite,0,50000,227.0,10
comparator,full,frostbite,0,60000,1893.0,10
comparator,full,frostbite,0,70000,1830.0,10
comparator,full,frostbite,0,80000,2795.0,10
comparator,full,frostbite,0,90000,3193.0,10
comparator,full,frostbite,0,100000,2779.5,100
comparator,full,road_runner,0,10000,780.0,10
comparator,full,road_runner,0,20000,2620.0,10
comparator,full,road_runner,0,30000,6330.0,10
comparator,full,road_runner,0,40000,14030.0,10
comparator,full,road_runner,0,50000,14720.0,10
comparator,full,road_runner,0,60000,15390.0,10
comparator,full,road_runner,0,70000,14840.0,10
comparator,full,road_runner,0,80000,14940.0,10
comparator,full,road_runner,0,90000,12290.0,10
comparator,full,road_runner,0,100000,15017.0,100
ablation,rec_strong,boxing,0,10000,1.4,10
ablation,rec_strong,boxing,0,20000,27.4,10
ablation,rec_strong,boxing,0,30000,48.9,10
ablation,rec_strong,boxing,0,40000,63.4,10
ablation,rec_strong,boxing,0,50000,78.1,10
ablation,rec_strong,boxing,0,60000,67.3,10
ablation,rec_strong,boxing,0,70000,82.0,10
ablation,rec_strong,boxing,0,80000,78.9,10
ablation,rec_strong,boxing,0,90000,75.1,10
ablation,rec_strong,boxing,0,100000,76.21,100
ablation,rec_strong,up_n_down,0,10000,1772.0,10
ablation,rec_strong,up_n_down,0,20000,5647.0,10
ablation,rec_strong,up_n_down,0,30000,42948.0,10
ablation,rec_strong,up_n_down,0,40000,99691.0,10
ablation,rec_strong,up_n_down,0,50000,249455.0,10
ablation,rec_strong,up_n_down,0,60000,62509.0,10
ablation,rec_strong,up_n_down,0,70000,187089.0,10
ablation,rec_strong,up_n_down,0,80000,236604.0,10
ablation,rec_strong,up_n_down,0,90000,68844.0,10
ablation,rec_strong,up_n_down,0,100000,130102.8,100
ablation,rec_strong,frostbite,0,10000,81.0,10
ablation,rec_strong,frostbite,0,20000,190.0,10
ablation,rec_strong,frostbite,0,30000,188.0,10
ablation,rec_strong,frostbite,0,40000,199.0,10
ablation,rec_strong,frostbite,0,50000,221.0,10
ablation,rec_strong,frostbite,0,60000,248.0,10
ablation,rec_strong,frostbite,0,70000,260.0,10
ablation,rec_strong,frostbite,0,80000,258.0,10
ablation,rec_strong,frostbite,0,90000,359.0,10
ablation,rec_strong,frostbite,0,100000,376.1,100
ablation,rec_strong,road_runner,0,10000,660.0,10
ablation,rec_strong,road_runner,0,20000,1420.0,10
ablation,rec_strong,road_runner,0,30000,8230.0,10
ablation,rec_strong,road_runner,0,40000,16290.0,10
ablation,rec_strong,road_runner,0,50000,12460.0,10
ablation,rec_strong,road_runner,0,60000,16840.0,10
ablation,rec_strong,road_runner,0,70000,15890.0,10
ablation,rec_strong,road_runner,0,80000,15500.0,10
ablation,rec_strong,road_runner,0,90000,15720.0,10
ablation,rec_strong,road_runner,0,100000,16710.0,100
