role,arm,game,seed,agent_steps,episode,episode_return,episode_length
ablation,rec_weak,boxing,0,10000,0,-7.0,1780.0
ablation,rec_weak,boxing,0,10000,1,1.0,1781.0
ablation,rec_weak,boxing,0,10000,2,5.0,1786.0
ablation,rec_weak,boxing,0,10000,3,-3.0,1784.0
ablation,rec_weak,boxing,0,10000,4,1.0,1784.0
ablation,rec_weak,boxing,0,10000,5,3.0,1785.0
ablation,rec_weak,boxing,0,10000,6,-3.0,1785.0
ablation,rec_weak,boxing,0,10000,7,-2.0,1779.0
ablation,rec_weak,boxing,0,10000,8,15.0,1786.0
ablation,rec_weak,boxing,0,10000,9,4.0,1780.0
ablation,rec_weak,boxing,0,20000,0,1.0,1780.0
ablation,rec_weak,boxing,0,20000,1,-6.0,1781.0
ablation,rec_weak,boxing,0,20000,2,0.0,1786.0
ablation,rec_weak,boxing,0,20000,3,-2.0,1784.0
ablation,rec_weak,boxing,0,20000,4,-4.0,1784.0
ablation,rec_weak,boxing,0,20000,5,-1.0,1785.0
ablation,rec_weak,boxing,0,20000,6,1.0,1785.0
ablation,rec_weak,boxing,0,20000,7,-3.0,1779.0
ablation,rec_weak,boxing,0,20000,8,-4.0,1786.0
ablation,rec_weak,boxing,0,20000,9,-7.0,1780.0
ablation,rec_weak,boxing,0,30000,0,0.0,1780.0
ablation,rec_weak,boxing,0,30000,1,5.0,1781.0
ablation,rec_weak,boxing,0,30000,2,1.0,1786.0
ablation,rec_weak,boxing,0,30000,3,18.0,1784.0
ablation,rec_weak,boxing,0,30000,4,10.0,1784.0
ablation,rec_weak,boxing,0,30000,5,7.0,1785.0
ablation,rec_weak,boxing,0,30000,6,-3.0,1785.0
ablation,rec_weak,boxing,0,30000,7,24.0,1779.0
ablation,rec_weak,boxing,0,30000,8,12.0,1786.0
ablation,rec_weak,boxing,0,30000,9,11.0,1780.0
ablation,rec_weak,boxing,0,40000,0,16.0,1780.0
ablation,rec_weak,boxing,0,40000,1,27.0,1781.0
ablation,rec_weak,boxing,0,40000,2,62.0,1786.0
ablation,rec_weak,boxing,0,40000,3,39.0,1784.0
ablation,rec_weak,boxing,0,40000,4,50.0,1784.0
ablation,rec_weak,boxing,0,40000,5,64.0,1785.0
ablation,rec_weak,boxing,0,40000,6,44.0,1785.0
ablation,rec_weak,boxing,0,40000,7,61.0,1779.0
ablation,rec_weak,boxing,0,40000,8,30.0,1786.0
ablation,rec_weak,boxing,0,40000,9,34.0,1780.0
ablation,rec_weak,boxing,0,50000,0,44.0,1473.0
ablation,rec_weak,boxing,0,50000,1,41.0,1547.0
ablation,rec_weak,boxing,0,50000,2,39.0,1618.0
ablation,rec_weak,boxing,0,50000,3,40.0,1713.0
ablation,rec_weak,boxing,0,50000,4,45.0,1527.0
ablation,rec_weak,boxing,0,50000,5,53.0,1279.0
ablation,rec_weak,boxing,0,50000,6,38.0,1785.0
ablation,rec_weak,boxing,0,50000,7,45.0,1555.0
ablation,rec_weak,boxing,0,50000,8,29.0,1604.0
ablation,rec_weak,boxing,0,50000,9,44.0,1649.0
ablation,rec_weak,boxing,0,60000,0,50.0,1682.0
ablation,rec_weak,boxing,0,60000,1,57.0,1322.0
ablation,rec_weak,boxing,0,60000,2,67.0,1392.0
ablation,rec_weak,boxing,0,60000,3,70.0,1410.0
ablation,rec_weak,boxing,0,60000,4,65.0,1419.0
ablation,rec_weak,boxing,0,60000,5,56.0,1419.0
ablation,rec_weak,boxing,0,60000,6,71.0,1463.0
ablation,rec_weak,boxing,0,60000,7,71.0,1368.0
ablation,rec_weak,boxing,0,60000,8,47.0,1623.0
ablation,rec_weak,boxing,0,60000,9,62.0,1464.0
ablation,rec_weak,boxing,0,70000,0,45.0,1400.0
ablation,rec_weak,boxing,0,70000,1,64.0,918.0
ablation,rec_weak,boxing,0,70000,2,72.0,808.0
ablation,rec_weak,boxing,0,70000,3,49.0,1377.0
ablation,rec_weak,boxing,0,70000,4,62.0,1112.0
ablation,rec_weak,boxing,0,70000,5,21.0,1647.0
